long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Gemella g_Leptotrichia g_Parvimonas Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister g_Mobiluncus
0.000000e+00 8.921871e-09 4.400238e+06 4.224555e+03 2.799249e-09 4.305814e-04 3.479952e-05 8.457439e-15 1.286615e-15 2.315285e-16 2.384593e-07 1.243840e-14 4.173755e-11 4.808557e-12 5.955256e-10
1.000000e+00 8.921805e-09 3.407833e+06 7.542854e+03 2.799202e-09 5.455341e-05 1.028897e-06 8.350084e-15 1.286519e-15 2.285941e-16 2.736523e-08 5.709720e-15 3.309549e-12 5.276772e-13 5.918419e-11
2.000000e+00 8.921721e-09 5.233871e+06 2.143869e+04 2.799246e-09 2.272458e-05 1.350756e-07 8.458067e-15 1.286571e-15 2.322352e-16 3.763962e-09 1.302038e-14 5.035214e-11 5.813626e-12 6.426306e-10
3.000000e+00 8.921880e-09 3.654165e+06 2.115664e+04 2.799207e-09 5.972375e-05 1.408795e-06 8.351197e-15 1.286483e-15 2.307396e-16 3.029094e-08 7.436525e-15 8.736525e-12 1.330424e-12 1.048274e-10
4.000000e+00 8.921715e-09 2.880407e+06 7.615433e+03 2.799259e-09 1.302372e-05 5.674054e-08 8.459580e-15 1.286542e-15 2.358257e-16 1.761642e-09 1.806554e-14 1.758581e-10 1.989822e-11 1.220477e-09
5.000000e+00 8.921904e-09 3.960743e+06 4.612779e+04 2.799228e-09 6.060621e-05 1.253382e-06 8.353175e-15 1.286461e-15 2.348992e-16 2.590492e-08 1.174285e-14 4.740045e-11 6.768418e-12 2.771951e-10
6.000000e+00 8.921712e-09 2.908464e+06 6.391589e+03 2.799155e-09 3.744608e-04 1.672760e-05 8.461980e-15 1.286527e-15 2.429085e-16 1.315995e-07 3.299013e-14 2.173099e-13 1.308385e-14 6.360928e-12
7.000000e+00 8.921866e-09 3.932896e+06 1.645971e+04 2.799237e-09 6.220428e-05 1.089698e-06 8.356021e-15 1.286453e-15 2.421393e-16 2.104973e-08 2.305201e-14 1.215646e-10 1.218297e-11 5.628270e-10
8.000000e+00 8.921704e-09 5.713291e+06 1.469885e+04 2.799276e-09 3.835754e-04 1.640636e-05 8.465267e-15 1.286525e-15 2.557272e-16 3.423091e-09 8.163341e-14 1.324756e-09 6.870231e-11 4.787563e-09
9.000000e+00 8.921778e-09 3.935799e+06 4.299040e+03 2.799232e-09 7.194557e-05 1.540770e-06 8.359734e-15 1.286458e-15 2.544481e-16 1.703333e-08 5.837731e-14 1.571318e-10 8.135596e-12 8.967630e-10
1.000000e+01 8.921838e-09 6.019728e+06 9.034784e+03 2.799280e-09 4.522294e-04 2.971965e-05 8.469442e-15 1.286537e-15 2.799683e-16 7.187458e-08 2.913764e-13 3.358123e-09 7.831931e-11 1.025656e-08
1.100000e+01 8.921697e-09 4.385169e+06 3.934136e+03 2.799246e-09 9.383284e-05 3.569916e-06 8.364316e-15 1.286477e-15 2.755892e-16 1.369360e-08 2.006851e-13 5.082117e-10 1.268730e-11 2.278326e-09
1.200000e+01 8.921670e-09 4.752937e+06 5.316881e+03 2.799257e-09 1.104390e-04 6.157981e-06 8.366826e-15 1.286487e-15 2.894773e-16 1.290891e-08 4.045881e-13 1.156420e-09 1.958989e-11 4.091656e-09
1.300000e+01 8.921645e-09 5.149884e+06 7.616432e+03 2.799267e-09 1.299841e-04 1.062230e-05 8.369335e-15 1.286494e-15 3.040654e-16 1.216918e-08 8.156633e-13 2.631396e-09 3.024786e-11 7.348223e-09
