long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Gardnerella_vaginalis g_Megasphaera g_Gemella g_Parvimonas Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister g_Mobiluncus
0.000000e+00 1.032342e+04 2.484578e-16 7.777896e-16 1.824146e+05 4.124968e+03 1.516508e+04 6.066436e+04 1.124383e+05 2.607012e-14 2.220446e-16 4.958112e+02 2.942340e+00
1.000000e+00 1.659157e+04 2.401201e-16 7.777612e-16 1.824149e+05 5.371638e+03 1.516513e+04 8.413003e+05 1.570213e+05 1.173536e-06 2.220446e-16 6.769395e+02 1.768960e+01
2.000000e+00 1.861036e+04 2.505071e-16 7.777797e-16 1.824146e+05 5.092320e+03 1.516511e+04 1.374702e+06 1.676058e+05 1.265061e-06 2.220446e-16 6.365326e+02 7.119258e+00
3.000000e+00 1.611559e+04 2.462658e-16 7.777555e-16 1.824146e+05 5.371638e+03 1.516511e+04 9.913103e+04 1.530732e+05 4.815844e-14 2.220446e-16 6.769395e+02 1.242864e+01
4.000000e+00 1.696786e+04 2.610083e-16 7.777764e-16 1.824145e+05 4.906668e+03 1.516509e+04 2.347390e+03 1.337556e+05 6.933793e-14 2.220446e-16 6.343747e+02 3.880495e+00
5.000000e+00 1.576983e+04 2.584602e-16 7.777537e-16 1.824143e+05 5.371638e+03 1.516509e+04 3.835691e+03 1.488566e+05 1.103555e-15 2.220446e-16 6.769395e+02 7.438332e+00
6.000000e+00 2.706961e+04 2.822617e-16 7.777754e-16 1.824146e+05 6.193802e+03 1.516514e+04 2.155077e+05 2.222562e+05 1.791303e-15 2.220446e-16 8.256565e+02 4.541817e+00
7.000000e+00 1.583245e+04 2.805896e-16 7.777531e-16 1.824143e+05 5.371638e+03 1.516509e+04 5.103118e+03 1.470807e+05 4.772496e-16 2.220446e-16 6.769395e+02 3.970107e+00
8.000000e+00 1.389829e+04 3.220911e-16 7.777750e-16 1.824145e+05 5.137832e+03 1.516508e+04 4.523848e+03 1.301429e+05 7.961532e-16 2.220446e-16 6.162137e+02 1.685375e+02
9.000000e+00 1.616374e+04 3.209102e-16 7.777529e-16 1.824147e+05 5.371638e+03 1.516510e+04 2.541701e+05 1.475062e+05 3.962348e-16 2.220446e-16 6.769395e+02 3.349169e+00
1.000000e+01 1.557277e+04 3.993101e-16 7.777749e-16 1.824146e+05 4.829641e+03 1.516508e+04 7.618479e+04 1.299071e+05 6.651690e-16 2.220446e-16 6.095401e+02 1.778471e+00
1.100000e+01 1.636312e+04 3.983970e-16 7.777528e-16 1.824146e+05 5.371638e+03 1.516510e+04 6.753745e+04 1.457992e+05 3.803061e-16 2.220446e-16 6.769395e+02 4.132566e+00
1.200000e+01 1.867560e+04 5.641706e-16 7.777749e-16 1.824146e+05 5.523964e+03 1.516511e+04 2.049614e+05 1.498388e+05 6.398980e-16 2.220446e-16 6.793788e+02 2.685894e+00
1.300000e+01 1.663314e+04 5.633638e-16 7.777528e-16 1.824145e+05 5.371638e+03 1.516510e+04 6.143488e+04 1.433780e+05 3.773145e-16 2.220446e-16 6.769395e+02 4.338216e+00
1.400000e+01 1.620098e+04 9.810757e-16 7.777749e-16 1.824145e+05 5.190176e+03 1.516509e+04 2.660646e+04 1.313154e+05 6.377775e-16 2.220446e-16 6.233443e+02 2.330751e+00
1.500000e+01 1.698009e+04 9.801971e-16 7.777528e-16 1.824145e+05 5.371638e+03 1.516510e+04 8.074475e+04 1.405855e+05 3.787148e-16 2.220446e-16 6.769395e+02 3.934350e+00
1.600000e+01 1.912202e+04 2.375200e-15 7.777749e-16 1.824146e+05 5.355312e+03 1.516510e+04 8.621381e+04 1.329850e+05 6.526447e-16 2.220446e-16 6.447097e+02 1.961178e+00
1.700000e+01 1.740043e+04 2.373867e-15 7.777528e-16 1.824145e+05 5.371638e+03 1.516510e+04 3.733788e+04 1.367366e+05 3.884593e-16 2.220446e-16 6.769395e+02 3.020570e+00
1.800000e+01 1.923063e+04 9.748152e-15 7.777749e-16 1.824146e+05 5.329075e+03 1.516510e+04 1.772391e+04 1.348518e+05 7.301625e-16 2.220446e-16 6.514188e+02 1.382235e+00
1.900000e+01 1.801512e+04 9.744727e-15 7.777529e-16 1.824145e+05 5.371638e+03 1.516510e+04 1.892440e+04 1.326233e+05 4.364006e-16 2.220446e-16 6.769395e+02 1.957657e+00
2.000000e+01 1.871026e+04 9.288349e-14 7.777750e-16 1.824146e+05 5.131710e+03 1.516511e+04 1.119045e+05 1.358261e+05 1.212813e-15 2.220446e-16 6.704711e+02 9.335644e-01
2.100000e+01 1.875549e+04 9.286304e-14 7.777530e-16 1.824146e+05 5.371638e+03 1.516511e+04 5.311978e+04 1.290017e+05 7.374424e-16 2.220446e-16 6.769395e+02 1.087412e+00
2.200000e+01 1.832369e+04 3.394561e-12 7.777753e-16 1.824146e+05 4.955521e+03 1.516510e+04 5.884339e+05 1.176261e+05 1.193021e-14 2.220446e-16 6.167570e+02 3.550279e-01
2.300000e+01 1.949774e+04 3.394093e-12 7.777535e-16 1.824150e+05 5.371638e+03 1.516512e+04 3.479532e+06 1.251042e+05 7.835838e-15 2.220446e-16 6.769395e+02 5.031598e-01
2.400000e+01 1.429928e+04 1.060512e-09 7.777761e-16 1.824145e+05 4.442341e+03 1.516505e+04 6.125479e+03 9.123778e+04 3.539903e-10 2.220446e-16 5.272551e+02 7.184582e+00
2.500000e+01 1.984431e+04 1.060421e-09 7.777550e-16 1.824145e+05 5.371638e+03 1.516510e+04 6.785589e+04 1.180317e+05 3.290882e-10 2.220446e-16 6.769395e+02 3.258522e-01
2.600000e+01 2.597650e+04 2.981560e-10 7.777787e-16 1.824146e+05 6.151038e+03 1.516514e+04 1.452524e+06 1.589573e+05 6.330649e-16 2.220446e-16 7.846618e+02 2.603264e-01
2.700000e+01 2.013389e+04 2.062617e-07 7.777595e-16 1.824142e+05 5.371638e+03 1.516509e+04 2.557067e+03 1.117221e+05 3.296847e-10 2.220446e-16 6.769395e+02 3.199955e-01
2.800000e+01 2.008240e+04 2.695839e-09 7.777865e-16 1.824145e+05 5.107137e+03 1.516509e+04 2.137737e+03 1.057370e+05 3.574207e-10 2.220446e-16 6.386478e+02 1.366282e-01
2.900000e+01 2.072751e+04 6.901500e-07 7.777732e-16 1.824146e+05 5.371638e+03 1.516509e+04 4.575995e+04 1.081043e+05 7.917530e-15 2.220446e-16 6.769395e+02 2.692127e-01
3.000000e+01 2.249611e+04 1.115044e-09 7.778107e-16 1.824146e+05 5.415250e+03 1.516509e+04 9.100417e+04 1.033099e+05 1.248660e-14 2.220446e-16 6.436456e+02 1.031265e-01
3.100000e+01 2.140187e+04 2.637408e-08 7.778155e-16 1.824147e+05 5.371638e+03 1.516509e+04 7.608084e+04 1.040757e+05 7.730916e-16 2.220446e-16 6.769395e+02 1.781678e-01
3.200000e+01 2.099368e+04 1.937631e-07 7.778846e-16 1.824145e+05 4.996693e+03 1.516508e+04 1.383783e+04 9.314779e+04 1.489952e-15 2.220446e-16 6.219748e+02 5.427269e-02
3.300000e+01 2.213779e+04 6.512363e-10 7.779450e-16 1.824146e+05 5.371638e+03 1.516509e+04 2.751979e+04 9.930727e+04 5.398681e-16 2.220446e-16 6.769395e+02 9.140331e-02
3.400000e+01 2.371310e+04 1.571180e-08 7.781116e-16 1.824146e+05 5.376764e+03 1.516511e+04 1.243045e+05 1.029957e+05 1.845312e-15 2.220446e-16 7.144497e+02 2.930564e-02
3.500000e+01 2.292017e+04 4.432202e-10 7.783425e-16 1.824145e+05 5.371638e+03 1.516509e+04 2.260888e+04 9.456043e+04 1.012935e-15 2.220446e-16 6.769395e+02 3.675693e-02
3.600000e+01 2.410471e+04 8.819331e-14 7.777749e-16 1.824146e+05 5.104863e+03 1.516508e+04 1.268121e+05 8.609063e+04 4.250319e-14 2.220446e-16 6.470172e+02 7.699197e-03
3.700000e+01 2.384836e+04 4.740606e-11 7.783425e-16 1.824149e+05 5.371638e+03 1.516509e+04 5.727957e+05 8.998498e+04 2.839533e-14 2.220446e-16 6.769395e+02 1.136797e-02
3.800000e+01 2.048521e+04 4.740704e-11 7.781116e-16 1.824146e+05 4.404843e+03 1.516505e+04 1.989538e+04 6.571908e+04 9.433399e-08 2.220448e-16 5.589047e+02 1.366311e-03
3.900000e+01 2.461064e+04 4.843727e-13 7.779450e-16 1.824147e+05 5.371638e+03 1.516508e+04 1.115931e+05 8.336352e+04 1.052764e-07 2.220448e-16 6.769395e+02 2.434859e-03
4.000000e+01 2.644917e+04 4.843888e-13 7.778846e-16 1.824146e+05 5.144066e+03 1.516509e+04 1.733956e+05 9.030246e+04 1.645444e-07 2.220464e-16 6.804757e+02 4.337076e-04
4.100000e+01 2.523179e+04 2.742140e-14 7.778155e-16 1.824143e+05 5.371638e+03 1.516506e+04 6.022703e+03 7.631632e+04 6.160438e-01 2.220464e-16 6.769395e+02 3.724680e-04
4.200000e+01 2.590906e+04 2.742286e-14 7.778107e-16 1.824145e+05 5.246987e+03 1.516507e+04 7.562425e+03 7.849602e+04 5.804394e-01 2.220595e-16 6.850405e+02 1.529121e-03
4.300000e+01 2.597866e+04 4.537608e-15 7.777732e-16 1.824144e+05 5.371638e+03 1.516506e+04 1.175057e+04 7.088439e+04 4.845175e+01 2.220595e-16 6.769395e+02 7.145137e-05
4.400000e+01 2.749855e+04 4.537993e-15 7.777865e-16 1.824146e+05 5.363866e+03 1.516507e+04 5.615442e+04 7.545394e+04 4.265044e+01 2.221665e-16 6.822076e+02 3.770962e-04
4.500000e+01 2.682933e+04 1.470273e-15 7.777595e-16 1.824146e+05 5.371638e+03 1.516505e+04 7.051033e+04 6.662818e+04 3.360171e+02 2.221665e-16 6.769395e+02 2.714683e-05
4.600000e+01 2.446270e+04 1.470472e-15 7.777787e-16 1.824145e+05 4.739003e+03 1.516504e+04 6.888675e+03 5.975462e+04 2.751793e+01 2.230439e-16 6.200394e+02 1.932960e-04
4.700000e+01 2.760629e+04 7.257764e-16 7.777550e-16 1.824146e+05 5.371638e+03 1.516505e+04 3.292021e+04 6.270487e+04 2.248511e+02 2.230439e-16 6.769395e+02 1.992394e-05
4.800000e+01 3.062003e+04 7.259334e-16 7.777761e-16 1.824146e+05 5.420512e+03 1.516506e+04 1.756724e+05 7.016359e+04 9.679226e+01 2.303551e-16 7.139979e+02 2.030603e-04
4.900000e+01 2.837530e+04 4.664021e-16 7.777535e-16 1.824144e+05 5.371638e+03 1.516504e+04 1.716273e+04 5.926540e+04 5.243545e+01 2.303551e-16 6.769395e+02 2.802295e-05
5.000000e+01 2.864071e+04 4.665632e-16 7.777753e-16 1.824145e+05 4.956763e+03 1.516503e+04 2.532428e+03 5.694823e+04 6.507255e-01 2.999274e-16 6.523276e+02 8.661339e-06
5.100000e+01 2.929998e+04 3.535912e-16 7.777531e-16 1.824143e+05 5.371638e+03 1.516503e+04 1.351381e+04 5.651534e+04 2.020611e+00 2.999274e-16 6.769395e+02 4.432307e-05
5.200000e+01 3.321405e+04 3.537862e-16 7.777751e-16 1.824146e+05 5.377932e+03 1.516505e+04 1.949576e+05 6.766757e+04 1.588631e-05 2.599548e-15 6.990023e+02 1.324262e-05
5.300000e+01 3.041135e+04 2.973329e-16 7.777530e-16 1.824145e+05 5.371638e+03 1.516503e+04 2.876670e+04 5.454711e+04 7.131921e-06 2.599548e-15 6.769395e+02 4.759888e-05
5.400000e+01 2.685361e+04 2.975952e-16 7.777750e-16 1.824145e+05 5.018656e+03 1.516501e+04 2.015414e+03 4.848551e+04 1.226347e+01 1.228161e-07 6.065059e+02 8.306929e-06
5.500000e+01 3.151584e+04 2.668238e-16 7.777530e-16 1.824145e+05 5.371638e+03 1.516502e+04 2.907549e+04 5.299483e+04 7.449172e-06 1.228161e-07 6.769395e+02 3.430343e-05
5.600000e+01 3.843164e+04 2.672012e-16 7.777753e-16 1.824145e+05 5.448526e+03 1.516503e+04 5.822010e+03 5.729139e+04 2.679163e-06 1.928841e-08 6.924489e+02 3.701627e-04
5.700000e+01 3.270896e+04 2.494450e-16 7.777535e-16 1.824140e+05 5.371638e+03 1.516500e+04 4.078968e+02 5.143773e+04 5.142473e-01 1.142644e+00 6.769395e+02 2.757055e-05
