long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Gemella g_Leptotrichia g_Parvimonas Atopobium_vaginae Prevotella_buccalis g_Dialister g_Mobiluncus
2.700000e+01 3.867677e-16 5.234535e-16 1.190124e+07 1.106095e+04 3.684886e-16 1.443308e-05 9.477924e-15 3.142155e-15 4.283450e-15 7.145691e+05 2.467376e+02 9.947420e+03 3.168951e-02
2.800000e+01 4.032387e-16 5.156273e-16 1.537849e+07 2.099461e+04 3.604068e-16 1.202971e-02 1.078570e-14 3.382024e-15 4.283450e-15 4.687137e+06 2.939089e+02 1.125173e+04 5.724912e-03
2.900000e+01 4.414702e-16 5.186061e-16 1.392583e+07 1.339593e+04 4.464704e-16 1.028079e-02 1.602991e-14 4.253471e-15 4.283450e-15 5.255592e+06 2.385001e+02 1.000104e+04 8.387267e-06
3.000000e+01 4.650862e-16 5.114436e-16 1.093670e+07 2.232687e+04 4.777985e-16 1.396053e+00 1.905143e-14 4.676646e-15 4.283450e-15 3.263823e+06 2.437138e+02 1.072683e+04 4.088104e-02
3.100000e+01 4.658242e-16 4.949461e-16 1.157801e+07 7.944667e+04 3.925120e-16 4.295120e+02 1.743382e-14 4.415807e-15 4.283449e-15 3.437360e+06 4.434279e+02 1.498427e+04 1.409033e-05
3.200000e+01 4.919841e-16 4.889134e-16 6.361091e+06 1.021690e+05 4.308447e-16 7.674717e+02 2.110874e-14 4.901776e-15 4.283449e-15 3.750574e+05 4.879977e+02 1.602075e+04 4.709782e-06
3.300000e+01 5.196128e-16 4.828886e-16 3.130447e+06 1.313901e+05 3.914055e-16 1.371354e+03 2.555831e-14 5.441181e-15 4.283449e-15 4.092329e+04 5.370474e+02 1.712892e+04 1.574274e-06
3.400000e+01 5.895836e-16 4.863051e-16 2.629117e+07 2.509512e+05 4.681140e-16 1.281393e+04 4.343638e-14 7.296398e-15 4.283449e-15 2.500738e+06 6.899020e+02 2.708197e+04 8.116615e-09
3.500000e+01 6.315557e-16 4.807785e-16 1.778363e+06 1.048826e+05 4.104499e-16 6.094283e+02 5.552852e-14 8.309016e-15 4.283449e-15 1.394063e+03 4.197208e+02 1.516862e+04 8.006070e-06
3.600000e+01 6.289948e-16 4.669563e-16 1.056869e+07 2.791531e+05 3.382253e-16 9.311636e+03 5.084379e-14 7.858971e-15 4.283449e-15 3.259268e+04 7.070534e+02 2.206165e+04 2.205169e-08
3.700000e+01 7.406330e-16 4.711465e-16 1.066543e+07 2.279100e+05 8.593847e-16 3.432565e+03 9.911341e-14 1.122669e-14 4.283449e-15 1.034654e+00 6.091770e+02 2.205237e+04 1.954765e-06
3.800000e+01 7.357277e-16 4.583022e-16 1.163951e+07 3.745637e+05 5.096555e-16 5.334844e+03 9.070644e-14 1.062972e-14 4.283448e-15 3.579298e+00 7.980349e+02 2.552974e+04 1.826741e-08
3.900000e+01 8.000452e-16 4.542481e-16 1.225493e+07 4.199387e+05 6.568611e-16 3.370871e+03 1.237998e-13 1.248735e-14 4.283448e-15 3.193472e-03 8.398746e+02 2.735083e+04 3.392940e-08
4.000000e+01 8.699850e-16 4.501481e-16 1.338927e+07 4.708105e+05 7.137871e-16 2.129916e+03 1.689670e-13 1.466953e-14 4.283448e-15 2.849236e-06 8.839078e+02 2.930181e+04 6.301954e-08
4.100000e+01 9.460386e-16 4.460016e-16 1.548457e+07 5.278449e+05 6.563728e-16 1.345808e+03 2.306130e-13 1.723295e-14 4.283448e-15 2.542106e-09 9.302497e+02 3.139197e+04 1.170508e-07
4.200000e+01 1.028740e-15 4.418080e-16 1.958411e+07 5.917885e+05 5.088813e-16 8.503614e+02 3.147499e-13 2.024420e-14 4.283448e-15 2.268082e-12 9.790212e+02 3.363122e+04 2.174070e-07
4.300000e+01 1.271154e-15 4.452551e-16 8.706941e+06 3.904195e+05 8.522607e-16 7.599567e+00 7.221545e-13 3.110338e-14 4.283448e-15 5.832414e-11 7.337849e+02 3.070639e+04 2.048135e-04
4.400000e+01 1.235825e-15 4.338630e-16 1.513311e+07 6.770998e+05 3.357756e-16 6.043445e+01 6.209184e-13 2.865537e-14 4.283448e-15 8.243308e-16 1.052900e+03 3.794025e+04 4.220500e-06
4.500000e+01 1.566793e-15 4.373958e-16 3.684267e+06 4.755144e+05 3.971340e-16 3.554894e-02 1.558000e-12 4.583268e-14 4.283448e-15 8.857912e-16 7.377886e+02 3.276386e+04 2.417562e-07
4.600000e+01 1.773662e-15 4.339700e-16 1.707451e+07 1.334816e+06 4.126556e-16 1.337660e-03 1.833299e-13 5.730586e-14 4.283448e-15 2.402942e-15 9.818180e+03 6.221857e+04 5.206133e-02
4.700000e+01 1.759248e-15 4.240611e-16 3.351684e+06 7.168863e+05 3.425790e-16 3.464127e-05 1.684096e-12 5.449126e-14 4.283448e-15 3.453318e-15 1.280694e+03 4.440582e+04 1.388470e-03
4.800000e+01 2.015974e-15 4.212065e-16 5.063413e+06 7.829135e+05 3.412421e-16 3.018811e-08 2.053028e-12 6.944006e-14 4.283448e-15 2.770735e-14 1.542317e+03 4.791816e+04 2.294015e-02
4.900000e+01 2.729508e-15 4.249715e-16 3.906330e+06 8.153441e+05 3.967112e-16 6.121456e-09 4.515238e-12 1.225021e-13 4.283448e-15 1.041300e-05 1.620529e+03 5.026641e+04 4.193711e-02
5.000000e+01 3.226581e-15 4.223605e-16 4.758061e+06 9.423992e+05 3.398944e-16 1.643686e-11 5.961057e-12 1.632378e-13 4.283448e-15 2.454152e-16 1.995969e+03 5.629758e+04 5.919226e-01
