long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Gemella g_Leptotrichia g_Parvimonas Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister g_Mobiluncus
0.000000e+00 1.534080e+03 7.482212e+07 1.435714e+05 8.657375e-05 3.177013e-13 1.828959e-15 3.501263e-16 3.281577e-16 1.147979e-15 3.019694e-16 3.590382e-14 1.030080e-10 7.592510e-14 1.474291e-14
1.000000e+00 7.462605e+00 5.615201e+07 1.438370e+05 1.629220e-07 3.213359e-13 1.830302e-15 3.501370e-16 3.272241e-16 1.147973e-15 3.019765e-16 3.590382e-14 1.037315e-10 7.592780e-14 1.474322e-14
2.000000e+00 1.047282e+01 8.213976e+07 1.443418e+05 3.070065e-06 3.839474e-13 1.839412e-15 3.506381e-16 3.265150e-16 1.147970e-15 3.021650e-16 3.590383e-14 1.114172e-10 7.593444e-14 1.474619e-14
3.000000e+00 1.614458e+01 1.279327e+08 1.446240e+05 1.964139e-11 5.386301e-13 1.856377e-15 3.516270e-16 3.260259e-16 1.147967e-15 3.025338e-16 3.590385e-14 1.275360e-10 7.592404e-14 1.475180e-14
4.000000e+00 1.911673e+01 1.069473e+08 1.444851e+05 9.534262e-13 8.877450e-13 1.881405e-15 3.531053e-16 3.257537e-16 1.147966e-15 3.030830e-16 3.590388e-14 1.555309e-10 7.594290e-14 1.476006e-14
5.000000e+00 2.424882e+01 1.329080e+08 1.448077e+05 2.926470e-11 1.729332e-12 1.914832e-15 3.550790e-16 3.256960e-16 1.147965e-15 3.038134e-16 3.590391e-14 2.021035e-10 7.592326e-14 1.477099e-14
6.000000e+00 2.585424e+01 3.312609e+08 1.457494e+05 7.821590e-06 4.024580e-12 1.957130e-15 3.575582e-16 3.258516e-16 1.147964e-15 3.047266e-16 3.590395e-14 2.800054e-10 7.593387e-14 1.478457e-14
7.000000e+00 8.903329e+02 1.590811e+08 1.451229e+05 1.177842e-06 1.136096e-11 2.008919e-15 3.605574e-16 3.262201e-16 1.147964e-15 3.058251e-16 3.590400e-14 3.754808e-11 7.592620e-14 1.480083e-14
8.000000e+00 2.993111e+01 1.999539e+08 1.451654e+05 3.324366e-02 3.967658e-11 2.070982e-15 3.640956e-16 3.268020e-16 1.147964e-15 3.071122e-16 3.590405e-14 5.222252e-10 7.592195e-14 1.481977e-14
9.000000e+00 1.682351e+03 2.141816e+08 1.447881e+05 4.011784e-03 1.756964e-10 2.144292e-15 3.681963e-16 3.275989e-16 1.147965e-15 3.085918e-16 3.590411e-14 7.049345e-10 7.591981e-14 1.484140e-14
1.000000e+01 1.004142e+02 2.010721e+08 1.445381e+05 4.093567e+04 1.756615e-11 2.230036e-15 3.728878e-16 3.286129e-16 1.147965e-15 3.102690e-16 3.590418e-14 1.019467e-09 7.591909e-14 1.486574e-14
1.100000e+01 2.968464e+02 2.372037e+08 1.441818e+05 1.330225e-01 2.877833e-09 2.329657e-15 3.782040e-16 3.298475e-16 1.147967e-15 3.121496e-16 3.590425e-14 1.581861e-09 7.591957e-14 1.489279e-14
1.200000e+01 5.218423e+02 1.432534e+08 1.429925e+05 2.066301e+02 1.128924e-08 2.444895e-15 3.841844e-16 3.313069e-16 1.147968e-15 3.142402e-16 3.590433e-14 2.900493e-10 7.592140e-14 1.492258e-14
1.300000e+01 9.059643e+02 1.541275e+08 1.417525e+05 2.241524e+03 1.110119e-09 2.577848e-15 3.908749e-16 3.329961e-16 1.147971e-15 3.165487e-16 3.588812e-14 3.768138e-09 7.592516e-14 1.163297e-14
1.400000e+01 2.558200e+03 1.325422e+08 1.410812e+05 2.014567e+04 3.705698e-08 2.544878e-15 3.900654e-16 3.310727e-16 1.147968e-15 3.155127e-16 3.590273e-14 2.830837e-09 7.592912e-14 1.462832e-14
1.500000e+01 4.195336e+03 8.841572e+07 1.394118e+05 1.154657e+04 1.007906e-07 2.693225e-15 3.973236e-16 3.329645e-16 1.147968e-15 3.180045e-16 3.590276e-14 4.303461e-09 7.593788e-14 1.463386e-14
