long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Gemella g_Leptotrichia g_Parvimonas Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister g_Mobiluncus
0.000000e+00 5.491156e+09 1.664896e+07 1.020799e+08 9.884997e+07 2.056115e+09 3.902664e+08 5.302604e+05 2.102489e-15 1.975680e+05 7.826215e+07 2.778711e-02 7.582059e+05 1.038255e+05 6.358683e-14
1.000000e+00 5.491353e+09 5.791225e+07 9.390352e+07 7.347598e+07 7.068662e+09 3.994171e+08 5.309290e+05 2.102433e-15 2.064820e+05 7.164470e+08 2.270607e-02 1.508713e+06 1.315796e+05 6.384345e-14
2.000000e+00 5.490871e+09 2.756904e+07 7.451531e+07 6.680768e+07 2.221051e+09 1.150690e+08 5.293256e+05 2.102405e-15 1.854205e+05 3.766432e+08 9.984097e+01 2.340329e+05 7.770189e+04 6.440468e-14
3.000000e+00 5.491193e+09 2.748214e+07 8.026554e+07 8.251793e+07 4.962228e+09 2.197518e+08 5.292088e+05 2.102405e-15 1.721340e+05 1.856892e+09 1.016647e+02 1.971714e+05 7.460982e+04 6.527817e-14
4.000000e+00 5.491158e+09 2.108313e+07 7.598220e+07 8.830841e+07 6.422292e+09 2.218904e+08 5.291262e+05 2.102434e-15 1.703029e+05 3.760115e+09 3.529480e-01 6.925384e+04 6.498820e+04 6.647643e-14
5.000000e+00 5.490837e+09 1.673814e+07 6.903720e+07 8.910556e+07 6.095785e+09 1.555711e+08 5.289820e+05 2.102491e-15 1.686886e+05 3.153645e+09 3.479814e+00 5.534494e+03 5.102959e+04 6.801714e-14
6.000000e+00 5.490805e+09 1.314195e+07 6.703509e+07 8.692324e+07 6.424203e+09 1.223588e+08 5.290732e+05 2.102577e-15 1.699421e+05 2.339130e+09 1.325184e+01 1.945840e+02 4.088753e+04 2.412009e-14
7.000000e+00 5.490768e+09 7.613821e+06 5.854388e+07 7.977568e+07 4.566673e+09 5.663632e+07 5.291383e+05 2.102692e-15 1.778343e+05 6.885935e+08 1.454586e+01 1.783243e+00 2.791583e+04 6.938414e-14
8.000000e+00 5.490646e+09 6.407539e+06 5.778133e+07 8.415663e+07 3.043191e+09 3.674795e+07 5.293863e+05 2.102835e-15 1.825520e+05 2.273703e+08 4.405521e+00 1.104940e-03 1.915097e+04 6.917719e-14
9.000000e+00 5.490850e+09 4.036643e+06 5.806556e+07 8.800980e+07 2.345543e+09 2.132779e+07 5.295746e+05 2.103007e-15 1.864731e+05 9.770017e+07 6.119301e-01 5.066738e-03 1.401550e+04 2.529904e-14
1.000000e+01 5.490805e+09 2.558553e+06 5.446241e+07 8.951310e+07 1.272665e+09 9.972471e+06 5.295476e+05 2.103207e-15 1.826630e+05 2.148091e+07 1.481622e-02 1.423895e-05 8.429077e+03 6.702675e-14
1.100000e+01 5.490714e+09 1.385280e+06 5.434806e+07 8.327007e+07 9.135287e+08 6.244324e+06 5.291495e+05 2.103436e-15 1.858258e+05 1.318325e+07 3.225645e-01 1.898788e-06 7.129003e+04 2.341010e-14
1.200000e+01 5.490926e+09 8.650791e+05 6.754932e+07 1.010114e+08 1.197566e+09 4.962326e+06 5.392353e+05 2.103695e-15 1.855055e+05 4.651757e+07 3.156589e-02 8.833088e-06 5.527605e+04 6.100583e-14
1.300000e+01 5.490995e+09 3.887945e+05 7.089103e+07 1.064870e+08 5.324309e+08 1.270858e+06 5.284455e+05 2.103982e-15 1.611908e+05 5.122811e+06 8.794091e-06 1.097095e-08 4.113674e+03 5.740371e-14
1.400000e+01 5.490688e+09 1.564720e+05 6.810514e+07 1.094595e+08 8.950486e+08 1.471567e+06 5.391956e+05 2.104298e-15 1.740572e+05 8.733830e+07 8.059436e-03 2.918439e-03 5.398112e+03 5.426268e-14
1.500000e+01 5.490899e+09 4.214948e+04 7.824189e+07 1.166370e+08 6.599586e+08 4.095725e+05 5.288667e+05 2.104644e-15 1.635523e+05 1.399588e+07 2.234679e-06 1.041842e-06 4.796979e+03 5.152655e-14
1.600000e+01 5.491129e+09 9.850038e+03 9.491034e+07 1.368390e+08 8.941549e+08 2.531288e+05 5.296053e+05 2.105018e-15 1.693899e+05 4.636302e+07 6.295291e-07 1.562066e+00 5.668444e+03 4.914814e-14
1.700000e+01 5.491137e+09 4.388585e+03 1.032277e+08 1.408370e+08 9.559661e+08 1.226371e+05 5.296294e+05 2.104617e-15 1.690905e+05 2.009519e+07 1.628230e-06 7.830326e-02 6.732690e+03 4.264646e-14
1.800000e+01 5.491509e+09 1.564828e+02 1.300528e+08 1.471796e+08 1.417239e+09 2.063823e+04 5.292699e+05 2.105827e-15 1.579786e+05 5.147489e+07 2.351522e-06 2.933632e-01 5.174745e+03 4.511114e-14
1.900000e+01 5.491396e+09 6.306552e+00 1.379609e+08 1.508750e+08 7.692537e+08 2.963425e+03 5.291032e+05 2.106260e-15 1.458570e+05 3.278454e+07 3.175758e-11 4.301482e+00 4.037400e+03 4.340604e-14
