long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Gemella g_Leptotrichia g_Parvimonas Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister g_Mobiluncus
0.000000e+00 2.841371e-03 3.936560e+06 1.667440e+04 5.645602e+05 1.786065e+06 7.689673e-04 8.006207e-11 2.646786e-15 4.089432e-11 3.167120e-04 7.315352e-11 1.434324e-08 1.186457e-06 1.788589e-15
1.000000e+00 2.818903e-03 4.207562e+06 1.667452e+04 5.644662e+05 1.656761e+06 7.686997e-04 8.006260e-11 2.646786e-15 4.089454e-11 1.367369e-04 7.315284e-11 1.434347e-08 2.746588e-06 1.762421e-15
2.000000e+00 2.841421e-03 4.126201e+06 1.667444e+04 5.645010e+05 1.243632e+06 7.689693e-04 8.006357e-11 2.646786e-15 4.089511e-11 3.162400e-04 7.315363e-11 1.434390e-08 2.731094e-06 1.753843e-15
3.000000e+00 2.827158e-03 4.295854e+06 1.667472e+04 5.645199e+05 1.380550e+06 7.687977e-04 8.004851e-11 2.634205e-15 4.088301e-11 1.933952e-04 7.315365e-11 1.433983e-08 1.812580e-06 1.584521e-15
4.000000e+00 2.841528e-03 4.001262e+06 1.667432e+04 5.645132e+05 1.487470e+06 7.689737e-04 8.006638e-11 2.646786e-15 4.089692e-11 3.197571e-04 7.315824e-11 1.434516e-08 2.741711e-06 1.769840e-15
5.000000e+00 2.819097e-03 4.104734e+06 1.667428e+04 5.644999e+05 2.168079e+06 7.687019e-04 8.001349e-11 2.646786e-15 4.085062e-11 1.451920e-04 7.315532e-11 1.434600e-08 1.222459e-06 1.794533e-15
6.000000e+00 2.827374e-03 4.280931e+06 1.667469e+04 5.645175e+05 1.825981e+06 7.688066e-04 8.005259e-11 2.634205e-15 4.088549e-11 2.017754e-04 7.316188e-11 1.434234e-08 1.858150e-06 1.665442e-15
7.000000e+00 2.816259e-03 4.744218e+06 1.667454e+04 5.645645e+05 1.658897e+06 7.686662e-04 8.001149e-11 2.427011e-15 4.084972e-11 1.381958e-04 7.315881e-11 1.433535e-08 1.186688e-06 1.879345e-15
8.000000e+00 2.841800e-03 3.611005e+06 1.667399e+04 5.644192e+05 2.057026e+06 7.686997e-04 8.006962e-11 2.646786e-15 4.089822e-11 3.311028e-04 7.315672e-11 1.433628e-08 1.190173e-06 1.941295e-15
9.000000e+00 2.815964e-03 4.543210e+06 1.667949e+04 5.645735e+05 1.837712e+06 7.686724e-04 8.001052e-11 2.646786e-15 4.084801e-11 1.407567e-04 7.315803e-11 1.433695e-08 1.178751e-06 2.024981e-15
