long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Gemella g_Leptotrichia g_Parvimonas Atopobium_vaginae Prevotella_bivia g_Dialister g_Mobiluncus
2.700000e+01 4.079523e+07 3.172289e+04 1.280445e-05 4.563433e+02 7.120194e+07 4.215050e+06 6.072001e+04 6.177950e-16 6.005002e+05 1.436676e+07 1.638277e-10 2.087359e+05 6.299496e+03
2.800000e+01 1.415893e+08 1.401118e+05 3.077007e-06 3.273547e+02 1.660026e+08 7.315546e+06 5.573720e+05 6.177977e-16 1.291881e+06 2.759676e+07 2.866290e-10 7.851455e+05 6.238774e+03
2.900000e+01 4.361289e+07 1.339849e+04 4.792624e-08 1.751497e+01 5.899759e+07 3.187195e+06 2.401291e+03 6.177933e-16 1.669369e+05 9.982414e+06 1.166616e-09 1.220036e+04 1.569203e+03
3.000000e+01 1.367145e+08 9.985200e+04 3.006148e-04 1.657944e+01 1.307026e+08 3.429187e+06 1.561768e+04 6.178041e-16 1.525109e+05 1.801423e+07 2.625654e-09 9.213699e+04 3.033177e+02
3.100000e+01 5.819811e+07 2.169528e+04 1.237049e-05 2.208455e+01 5.378686e+07 1.713899e+06 2.554036e+04 6.177988e-16 4.514289e+04 7.660488e+06 8.689936e-10 2.497512e+04 1.045097e+02
3.200000e+01 8.076426e+07 5.077359e+04 9.194316e-04 2.445959e+01 5.768435e+07 1.308309e+06 2.339447e+05 6.177996e-16 2.739073e+04 7.298084e+06 8.005262e-10 1.153175e+05 2.558799e+01
3.300000e+01 1.408287e+08 7.814246e+04 2.994418e-04 1.455016e+01 4.839917e+07 6.839717e+05 7.597184e+04 6.178065e-16 8.694578e+02 5.281479e+06 2.046949e-09 5.454043e+04 7.415509e-02
3.400000e+01 1.641105e+08 2.190484e+05 6.417185e-01 2.739920e+01 6.187625e+07 7.113323e+05 2.367684e+06 6.177979e-16 3.181703e+03 6.270206e+06 7.723412e-10 6.666324e+05 3.425041e-01
3.500000e+01 2.268258e+08 3.869612e+05 1.144427e-01 1.308220e+01 4.852630e+07 4.264807e+05 4.898832e+05 6.178061e-16 3.116424e+01 4.745372e+06 2.253771e-09 1.978249e+04 5.156714e-05
3.600000e+01 3.458988e+08 7.263847e+05 1.220714e+01 2.511488e+01 5.817555e+07 3.496916e+05 1.286998e+06 6.177987e-16 3.528276e+01 4.924701e+06 9.638676e-10 6.003751e+04 1.346346e-04
3.700000e+01 3.286264e+08 8.069319e+05 3.642946e-01 9.751853e+00 5.778571e+07 2.107084e+05 3.725776e+01 6.178082e-16 1.772865e-02 4.947265e+06 3.262110e-09 7.576075e-01 1.243184e-03
3.800000e+01 6.281931e+08 1.844683e+06 1.106803e+01 1.821858e+01 5.152041e+07 1.625234e+05 4.885003e+01 6.178028e-16 2.015027e-02 3.842036e+06 1.561867e-09 8.145317e-01 6.965982e-08
3.900000e+01 7.959729e+08 2.619490e+06 4.953931e+00 1.458253e+01 4.853393e+07 1.094387e+05 1.238997e-03 6.178045e-16 1.959308e-04 3.441640e+06 2.123915e-09 1.089821e-04 4.955642e-09
4.000000e+01 1.009369e+09 3.710125e+06 2.217326e+00 1.167215e+01 4.553268e+07 7.369292e+04 3.737432e-09 6.178030e-16 1.857558e-06 3.082971e+06 2.888221e-09 8.021908e-09 3.469549e-10
4.100000e+01 1.422230e+09 1.727100e+07 1.295955e-02 4.787842e+00 7.727152e+07 4.360786e+04 1.904554e-05 6.178087e-16 2.092217e-05 3.976090e+06 1.142901e-08 4.085733e-07 7.350968e-10
4.200000e+01 1.687862e+09 1.331626e+07 8.222419e-02 6.736435e+00 4.611387e+07 3.257727e+04 4.171217e-15 6.177996e-16 2.579426e-09 2.674484e+06 6.159401e-09 4.988853e-14 5.380893e-12
4.300000e+01 3.537727e+09 1.435379e+08 4.732539e-05 2.291422e+00 7.773436e+07 1.764167e+04 5.447917e-14 6.178078e-16 2.805374e-08 3.124384e+06 2.805517e-08 7.301323e-14 9.103354e-12
4.400000e+01 2.545890e+09 1.213471e+08 4.275540e-02 4.154133e+01 7.220514e+07 7.992394e+03 3.772411e-05 6.178118e-16 2.402681e-08 2.449643e+06 5.149331e-08 9.647259e-15 3.424704e-12
4.500000e+01 4.463779e+09 1.252045e+09 3.012147e-08 1.255917e+00 1.061888e+08 5.063711e+03 1.222535e-03 6.178241e-16 2.431376e-12 2.797995e+06 1.119274e-07 2.571337e-14 3.803987e-12
4.600000e+01 2.023628e+09 2.853887e+08 1.465973e-05 6.694081e-01 6.187943e+07 1.156863e+03 2.993318e+05 6.178482e-16 2.025616e-08 1.349204e+06 2.898924e-07 3.715786e-12 1.181138e-11
4.700000e+01 5.280334e+09 1.984880e+09 1.376488e-06 7.462180e-01 1.758622e+08 9.711847e+02 5.493833e+07 6.178916e-16 1.646662e-08 2.490904e+06 5.749752e-08 5.283651e-05 1.079569e-14
4.800000e+01 4.223293e+09 9.890625e+08 3.116630e-11 4.082498e-01 1.397404e+08 1.701759e+04 1.695083e+05 6.179672e-16 1.515006e-12 1.928167e+06 2.186438e-06 1.408671e-05 1.048122e-11
4.900000e+01 4.707604e+09 1.156844e+09 3.880460e-08 2.230065e-01 2.113931e+08 2.550768e+02 4.082265e+06 6.180983e-16 4.945735e-09 2.111737e+06 6.482718e-06 3.185440e+02 2.948816e-12
5.000000e+01 3.009505e+09 3.434033e+08 6.642354e-09 7.236803e-02 1.969611e+08 1.485919e+02 2.136201e-05 6.177853e-16 1.489402e-09 1.508950e+06 1.402925e-06 2.545538e+02 2.182404e-12
5.100000e+01 3.027147e+09 4.778520e+08 1.483949e-13 5.833342e-01 2.725061e+08 1.045550e+02 9.084447e-05 6.180982e-16 4.965722e-09 1.573866e+06 4.434389e-06 5.024820e-02 4.107466e-12
