long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Gemella g_Leptotrichia g_Parvimonas Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister g_Mobiluncus
0.000000e+00 1.308028e+08 3.219078e-05 4.085120e-15 9.229410e-09 3.502313e+07 7.968462e-06 1.119813e-07 8.214101e-14 5.207720e-08 7.988897e-06 6.098244e-13 1.763320e-03 9.728205e-05 6.787500e-08
1.000000e+00 2.111173e+08 3.649426e-07 1.898294e-10 9.512923e-09 5.833122e+07 7.965348e-06 1.383725e-07 9.073435e-14 2.945569e-08 3.827758e-06 2.097683e-12 8.313944e-06 1.481770e-07 3.857997e-08
2.000000e+00 1.908775e+08 2.702723e-05 1.765939e-11 1.340260e-08 6.892013e+07 7.968464e-06 6.521456e-07 1.055617e-13 5.210354e-08 7.988674e-06 2.736048e-11 1.702129e-02 7.301947e-05 6.787187e-08
3.000000e+00 2.429243e+08 5.549371e-07 4.324683e-12 1.847411e-10 7.245047e+07 7.965287e-06 2.097094e-09 1.106806e-14 2.945158e-08 3.830761e-06 2.676727e-13 2.308375e-04 3.137836e-07 3.850003e-08
4.000000e+00 1.614562e+08 2.450002e-05 2.244574e-12 3.084287e-10 7.002145e+07 7.968465e-06 1.079308e-08 1.132128e-13 5.188296e-08 7.988466e-06 1.166087e-09 1.347152e-03 7.642362e-05 6.755498e-08
5.000000e+00 1.883466e+08 9.273201e-07 2.241621e-12 3.362023e-10 9.475224e+07 7.965414e-06 9.386685e-09 1.228200e-14 3.009299e-08 3.917045e-06 1.844877e-12 1.502650e-03 9.282637e-07 3.980156e-08
6.000000e+00 5.977711e+07 2.324210e-05 4.207071e-12 1.230618e-10 4.542497e+07 7.968467e-06 7.768555e-10 7.073943e-14 5.143255e-08 7.988297e-06 6.483111e-10 2.969062e-01 9.202395e-05 6.696462e-08
7.000000e+00 9.053744e+07 1.263505e-06 1.530758e-11 1.705202e-09 6.832707e+07 7.965515e-06 1.040603e-08 5.031082e-14 3.040522e-08 3.931457e-06 2.268400e-13 2.223276e-03 1.855667e-06 3.927598e-08
8.000000e+00 4.838335e+07 2.317726e-05 1.170668e-10 5.089175e-10 4.601555e+07 7.968469e-06 3.242415e-10 3.744421e-14 5.079830e-08 7.988189e-06 6.636682e-12 2.731732e-03 1.684624e-06 6.614122e-08
9.000000e+00 5.296125e+07 1.558655e-06 2.597689e-12 1.918073e-10 4.856791e+07 7.965519e-06 2.191714e-11 2.907312e-14 5.058271e-08 3.928933e-06 3.463310e-13 1.850053e-03 1.233946e-06 3.985176e-08
1.000000e+01 5.792766e+07 2.412395e-05 3.603195e-09 8.962518e-11 4.899232e+07 7.968471e-06 2.760997e-12 2.348821e-14 5.065017e-08 7.988145e-06 4.822046e-14 2.019658e-04 1.939255e-05 6.511215e-08
1.100000e+01 6.105193e+07 1.790392e-06 2.181864e-11 2.128083e-12 4.083974e+07 7.965408e-06 5.779868e-13 1.970222e-14 3.039538e-08 3.886682e-06 1.292931e-14 7.930093e-06 1.892964e-07 3.849273e-08
1.200000e+01 8.316902e+07 2.578731e-05 9.474479e-09 1.692247e-11 4.161434e+07 7.968474e-06 1.845814e-13 1.712835e-14 5.097458e-08 7.988154e-06 5.370559e-15 3.049840e-05 3.029512e-06 6.388440e-08
1.300000e+01 1.450347e+08 2.289605e-06 1.668921e-11 6.654727e-12 4.619099e+07 7.965540e-06 8.451908e-14 1.541134e-14 3.091247e-08 3.932513e-06 2.988781e-15 1.356816e-06 2.825818e-08 6.338860e-08
1.400000e+01 9.213156e+07 2.841703e-05 2.506206e-09 3.066495e-12 2.252517e+07 7.968477e-06 5.319590e-14 1.433604e-14 5.111966e-08 7.988218e-06 2.022694e-15 2.862575e-07 3.918309e-07 6.323859e-08
1.500000e+01 2.033489e+08 2.647683e-06 1.287988e-12 1.635239e-12 3.205381e+07 7.965502e-06 4.488624e-14 1.377740e-14 3.090633e-08 3.931606e-06 1.560639e-15 5.605561e-10 1.654795e-07 3.801942e-08
1.600000e+01 1.123799e+08 3.262220e-05 4.423708e-11 9.990722e-13 1.534289e+07 7.968480e-06 5.031333e-14 1.367347e-14 5.108615e-08 7.988346e-06 1.315214e-15 1.593538e-08 1.121342e-07 6.315436e-08
1.700000e+01 2.238614e+08 3.256894e-06 3.770574e-12 6.939214e-13 1.978694e+07 7.965557e-06 7.537880e-14 2.189134e-15 5.116544e-08 3.956077e-06 1.176878e-15 3.123097e-09 1.207857e-07 3.828738e-08
1.800000e+01 1.131807e+08 3.909174e-05 6.131386e-13 5.448086e-13 5.649494e+06 7.968484e-06 1.542623e-13 1.044810e-14 5.153157e-08 7.988544e-06 1.097822e-15 1.553176e-09 2.071597e-07 6.282733e-08
1.900000e+01 1.646680e+08 4.023580e-06 1.686333e-13 4.816953e-13 6.343707e+06 7.965428e-06 4.482145e-13 8.023807e-15 3.120875e-08 3.877772e-06 1.055381e-15 1.824323e-09 1.318167e-08 3.790121e-08
