long.t Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister g_Mobiluncus
3.500000e+01 3.903579e+08 1.549796e+07 2.451419e-16 1.223377e-15 1.186639e-15 9.067711e+03 5.409253e+03 2.175189e+02 9.021384e+04 7.387104e-04
3.600000e+01 3.999583e+08 1.267627e+07 2.490701e-16 1.223321e-15 1.186486e-15 6.871586e+01 5.283564e+03 2.095673e+02 8.994619e+04 7.386812e-04
3.700000e+01 4.216328e+08 8.176923e+06 2.537294e-16 1.223293e-15 1.186355e-15 1.718576e-03 5.269418e+03 2.061096e+02 8.993308e+04 7.386830e-04
3.800000e+01 4.240525e+08 6.052206e+06 2.560238e-16 1.223211e-15 1.186190e-15 1.008026e-05 5.958742e+03 2.330728e+02 9.016975e+04 7.386966e-04
3.900000e+01 4.109856e+08 4.084497e+06 2.648165e-16 1.223244e-15 1.186135e-15 6.971223e-08 5.269356e+03 1.963739e+02 8.987298e+04 7.387156e-04
4.000000e+01 4.305224e+08 3.633533e+06 2.715469e-16 1.223216e-15 1.186043e-15 2.063703e-12 5.143500e+03 1.971037e+02 8.973307e+04 7.386871e-04
4.100000e+01 3.955625e+08 1.736218e+06 2.797152e-16 1.223199e-15 1.185964e-15 1.880939e-14 4.972754e+03 1.845780e+02 8.957028e+04 7.386875e-04
4.200000e+01 4.164207e+08 2.902294e+06 2.896410e-16 1.223192e-15 1.185898e-15 1.964021e-15 5.025872e+03 1.837113e+02 8.972067e+04 7.386880e-04
4.300000e+01 3.516508e+08 1.294943e+06 3.017436e-16 1.223192e-15 1.185844e-15 6.536337e-16 4.685888e+03 1.682540e+02 8.936588e+04 7.386870e-04
4.400000e+01 3.627168e+08 1.676173e+06 3.165809e-16 1.223200e-15 1.185800e-15 3.846050e-16 4.510849e+03 1.630110e+02 8.930491e+04 7.386861e-04
4.500000e+01 3.311234e+08 7.123160e+05 3.349086e-16 1.223218e-15 1.185766e-15 3.029734e-16 4.323066e+03 1.543354e+02 8.919411e+04 7.386830e-04
4.600000e+01 3.114851e+08 5.865520e+05 3.434580e-16 1.223170e-15 1.185687e-15 2.522397e-16 4.778475e+03 1.695283e+02 8.935758e+04 7.386924e-04
4.700000e+01 3.833764e+08 1.432469e+06 3.816828e-16 1.223230e-15 1.185709e-15 2.461697e-16 4.139057e+03 1.416067e+02 8.909088e+04 7.386765e-04
4.800000e+01 3.021953e+08 5.910007e+05 4.123521e-16 1.223227e-15 1.185686e-15 2.336434e-16 3.912248e+03 1.349352e+02 8.894719e+04 7.386731e-04
4.900000e+01 3.168375e+08 1.948432e+06 4.520373e-16 1.223237e-15 1.185671e-15 2.288920e-16 3.778940e+03 2.990041e+02 8.898173e+04 7.386983e-04
5.000000e+01 2.907083e+08 2.196994e+06 5.040949e-16 1.223263e-15 1.185663e-15 2.281921e-16 3.403260e+03 1.182452e+02 8.856788e+04 7.386945e-04
5.100000e+01 3.332759e+08 5.132953e+06 5.247010e-16 1.223230e-15 1.185608e-15 2.270121e-16 3.736571e+03 1.304464e+02 8.872779e+04 7.386737e-04
5.200000e+01 3.079377e+08 8.138942e+06 6.515868e-16 1.223315e-15 1.185654e-15 2.345762e-16 1.074255e+04 2.672982e+02 9.331759e+04 7.386897e-04
5.300000e+01 3.371627e+08 1.138800e+07 6.732933e-16 1.223272e-15 1.185599e-15 2.329627e-16 3.448623e+03 1.220459e+02 8.855886e+04 7.386701e-04
