long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Gemella g_Leptotrichia g_Parvimonas Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister g_Mobiluncus
0.000000e+00 3.300765e-03 1.631174e+08 2.163258e+06 1.952912e-13 4.745176e-04 8.073760e-05 5.977141e-11 9.504997e-16 1.959066e-06 1.235380e-03 2.548702e-12 2.060603e-14 3.423569e-08 3.649362e-05
1.000000e+00 3.267555e-03 1.631174e+08 2.163104e+06 1.952899e-13 4.391311e-04 7.768777e-05 5.975694e-11 9.504918e-16 1.958198e-06 1.231567e-03 1.492297e-12 1.918033e-14 6.742811e-09 3.595710e-05
2.000000e+00 3.240438e-03 1.631174e+08 2.163424e+06 1.952902e-13 4.058093e-04 7.461975e-05 5.977203e-11 9.504926e-16 1.959274e-06 1.227862e-03 2.269392e-12 2.077776e-14 3.515634e-08 3.649369e-05
3.000000e+00 3.243160e-03 1.631174e+08 2.163093e+06 1.952899e-13 4.104526e-04 7.498128e-05 5.977276e-11 9.504893e-16 1.957382e-06 1.228572e-03 2.245786e-12 2.092742e-14 7.016271e-10 3.542372e-05
4.000000e+00 3.246544e-03 1.631174e+08 2.163313e+06 1.952898e-13 4.745208e-04 8.073795e-05 5.977392e-11 9.504865e-16 1.959592e-06 1.235416e-03 2.332573e-12 2.114216e-14 3.885579e-08 3.649381e-05
5.000000e+00 3.243912e-03 1.631174e+08 2.163371e+06 1.952898e-13 4.107806e-04 7.500789e-05 5.971653e-11 9.504841e-16 1.957685e-06 1.228603e-03 2.693793e-13 2.142403e-14 1.255086e-09 3.544559e-05
6.000000e+00 3.246479e-03 1.631174e+08 2.163384e+06 1.952901e-13 4.745133e-04 8.073738e-05 5.977581e-11 9.504820e-16 1.959856e-06 1.235411e-03 2.232732e-12 2.177580e-14 3.496085e-08 3.649393e-05
7.000000e+00 3.243899e-03 1.631174e+08 2.163368e+06 1.952907e-13 4.118486e-04 7.510533e-05 5.977654e-11 9.504803e-16 1.957946e-06 1.228743e-03 2.056862e-12 2.220097e-14 1.489853e-09 3.546594e-05
8.000000e+00 3.300580e-03 1.631174e+08 2.163288e+06 1.952915e-13 4.745085e-04 8.073693e-05 5.977770e-11 9.504789e-16 1.960077e-06 1.235417e-03 1.985651e-12 2.270388e-14 2.558406e-08 3.649405e-05
9.000000e+00 3.241890e-03 1.631174e+08 2.163093e+06 1.952927e-13 4.089937e-04 7.477234e-05 5.971929e-11 9.504778e-16 1.958043e-06 1.228424e-03 2.007735e-12 1.051314e-14 2.247874e-08 3.543083e-05
1.000000e+01 3.300446e-03 1.631174e+08 2.163425e+06 1.952944e-13 4.745058e-04 8.073657e-05 5.977956e-11 9.504771e-16 1.960247e-06 1.235435e-03 2.125853e-12 2.316120e-14 2.314409e-08 3.649417e-05
1.100000e+01 3.242403e-03 1.631174e+08 2.163088e+06 1.952896e-13 4.101775e-04 7.490319e-05 5.972206e-11 9.504766e-16 1.958249e-06 1.228595e-03 2.357420e-12 2.310483e-14 2.788690e-08 3.545052e-05
1.200000e+01 3.300324e-03 1.631174e+08 2.163313e+06 1.952955e-13 4.745049e-04 8.073624e-05 5.977971e-11 9.504763e-16 1.960365e-06 1.228974e-03 2.739065e-12 2.312000e-14 3.933775e-08 3.649430e-05
