long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Gemella g_Parvimonas Atopobium_vaginae g_Dialister g_Mobiluncus
3.200000e+01 5.023478e-04 2.654560e+09 1.705266e+08 3.633731e-10 1.746822e-07 1.010072e-12 6.110715e-14 2.608333e-11 2.453409e-11 8.603202e-13 9.807794e-15
3.300000e+01 3.324927e+02 2.495582e+09 1.169594e+08 3.714227e-09 1.579352e-07 1.024182e-12 5.867362e-14 2.380258e-11 2.339045e-11 2.874841e-12 1.697852e-14
3.400000e+01 7.460936e-01 1.998193e+09 5.078164e+07 3.484650e-12 9.346019e-07 2.521693e-12 8.330039e-14 3.202511e-11 2.363240e-11 9.771899e-15 8.637825e-14
3.500000e+01 5.063956e+08 5.104118e+09 5.610854e+08 2.339795e-06 2.142782e-08 2.949098e-12 8.959443e-14 3.123988e-11 2.320140e-11 2.155656e-11 2.361592e-13
3.600000e+01 1.141530e+01 1.840623e+09 4.869747e+07 5.039545e-12 9.945977e-07 4.041338e-12 1.307892e-13 3.270297e-11 2.343580e-11 1.675010e-11 1.093941e-12
3.700000e+01 1.755996e+04 2.201959e+09 7.762386e+07 1.004843e-08 1.629033e-07 2.309788e-12 1.437329e-13 2.463976e-11 2.298750e-11 4.262524e-12 1.072206e-12
3.800000e+01 2.305393e+00 2.198013e+09 9.536098e+07 1.735758e-09 1.830054e-07 3.431133e-12 2.702356e-13 2.747894e-11 2.386028e-11 5.905313e-12 5.223677e-12
3.900000e+01 3.026679e-04 2.194075e+09 1.171510e+08 2.998336e-10 2.055880e-07 5.096864e-12 5.358877e-13 3.070678e-11 2.480035e-11 8.691158e-12 2.544923e-11
4.000000e+01 3.973633e-08 2.190143e+09 1.439202e+08 5.179306e-11 2.309574e-07 7.571265e-12 1.213835e-12 3.440244e-11 2.589512e-11 1.363530e-11 1.239861e-10
4.100000e+01 5.216861e-12 2.186219e+09 1.768060e+08 8.946704e-12 2.594573e-07 1.124693e-11 3.454079e-12 3.866527e-11 2.725820e-11 2.289521e-11 6.040475e-10
4.200000e+01 1.267339e-06 1.758340e+09 1.432413e+08 3.388360e-11 7.245497e-09 1.137589e-13 1.890266e-13 9.730912e-12 2.326832e-11 1.359288e-14 9.887940e-14
4.300000e+01 5.211551e-16 2.129032e+09 2.424510e+08 5.332346e-13 2.153948e-07 1.326267e-11 4.641474e-12 3.872422e-11 2.770178e-11 1.000921e-11 1.714753e-09
4.400000e+01 3.965548e-16 2.077063e+09 2.706295e+08 1.839848e-13 1.591734e-07 1.052841e-11 2.268526e-12 3.450770e-11 2.678028e-11 2.586885e-12 9.991568e-10
4.500000e+01 3.017446e-16 2.026362e+09 3.020832e+08 6.348130e-14 1.176267e-07 8.357850e-12 1.498066e-12 3.084842e-11 2.617225e-11 7.050543e-13 5.821914e-10
4.600000e+01 3.293858e-16 1.787557e+09 1.664686e+08 8.766025e-14 3.311026e-09 2.143764e-11 3.007203e-12 4.141281e-11 2.738194e-11 6.951071e-13 1.276368e-08
4.700000e+01 2.260099e-16 1.907850e+09 3.113793e+08 1.082179e-14 4.400677e-08 6.131388e-12 2.534054e-12 2.654092e-11 2.654700e-11 8.342431e-14 4.585779e-10
4.800000e+01 2.260162e-16 1.727321e+09 1.803135e+08 1.309671e-14 6.266286e-10 5.513192e-14 1.321721e-13 6.080992e-12 2.223272e-11 8.655474e-14 8.193459e-14
4.900000e+01 2.222719e-16 1.764622e+09 2.320012e+08 3.387784e-15 7.423102e-09 2.841411e-12 1.620535e-12 1.937689e-11 2.562411e-11 1.997972e-14 9.299432e-11
5.000000e+01 2.223443e-16 1.367032e+09 1.151662e+08 4.120673e-15 1.235031e-08 3.795140e-12 1.061655e-12 2.148869e-11 2.542735e-11 2.281243e-14 2.036261e-10
5.100000e+01 2.220639e-16 1.584004e+09 1.316848e+08 1.624110e-15 9.944166e-10 8.131455e-13 2.956348e-13 1.188351e-11 2.325371e-11 7.933211e-15 4.020565e-12
5.200000e+01 2.220577e-16 1.483586e+09 9.263875e+07 1.228819e-15 3.998191e-10 4.640445e-13 1.883961e-13 9.575535e-12 2.253689e-11 5.556700e-15 1.158750e-12
5.300000e+01 2.220515e-16 1.389534e+09 6.517029e+07 9.297376e-16 1.607528e-10 2.648202e-13 1.214218e-13 7.689130e-12 2.176999e-11 3.886057e-15 3.339582e-13
5.400000e+01 2.220535e-16 1.264418e+09 6.313110e+07 9.676920e-16 2.247595e-10 3.108009e-13 1.338805e-13 8.682114e-12 2.214997e-11 4.168778e-15 3.958408e-13
5.500000e+01 2.220450e-16 1.215164e+09 3.542093e+07 5.824583e-16 3.006257e-11 9.495378e-14 6.409816e-14 5.176107e-12 2.055732e-11 2.125668e-15 3.971398e-14
5.600000e+01 2.220450e-16 1.121619e+09 2.750072e+07 5.877754e-16 4.164034e-11 1.099108e-13 8.233690e-14 6.025807e-12 2.119157e-11 2.299652e-15 4.173367e-14
5.700000e+01 2.220446e-16 1.058076e+09 2.117612e+07 4.242961e-16 7.391768e-12 4.070772e-14 4.701711e-14 3.802657e-12 1.986397e-11 1.409870e-15 8.718551e-15
5.800000e+01 2.220446e-16 1.197508e+09 2.071231e+07 4.236413e-16 1.037515e-11 4.717818e-14 6.435235e-14 4.557666e-12 2.061330e-11 1.547252e-15 8.746977e-15
5.900000e+01 2.220446e-16 9.391776e+08 1.371304e+07 3.420223e-16 2.313203e-12 2.035146e-14 3.942282e-14 3.018726e-12 1.941185e-11 1.070689e-15 2.953651e-15
6.000000e+01 2.220446e-16 7.572826e+08 7.109220e+06 3.397339e-16 3.352942e-12 2.388610e-14 5.434437e-14 3.721868e-12 2.019327e-11 1.190579e-15 2.898901e-15
6.100000e+01 2.220446e-16 8.365161e+08 8.128363e+06 2.949719e-16 8.968843e-13 1.162487e-14 3.381638e-14 2.570334e-12 1.903504e-11 8.959043e-16 1.358698e-15
6.200000e+01 2.220446e-16 8.896715e+08 7.795893e+06 2.917350e-16 1.366926e-12 1.395673e-14 4.421628e-14 3.259517e-12 1.978183e-11 1.005769e-15 1.313095e-15
6.300000e+01 2.220446e-16 7.543376e+08 3.803433e+06 2.767883e-16 9.742689e-13 1.140101e-14 4.175545e-14 3.172261e-12 1.969971e-11 9.719364e-16 9.914781e-16
6.400000e+01 2.220446e-16 8.569004e+08 4.229325e+06 2.679173e-16 7.757887e-13 9.953476e-15 4.595455e-14 3.229642e-12 1.990448e-11 1.001074e-15 8.293308e-16
6.500000e+01 2.220446e-16 6.800885e+08 2.704213e+06 2.539793e-16 2.812793e-13 5.898616e-15 3.649625e-14 2.508475e-12 1.928036e-11 8.802794e-16 5.953236e-16
6.600000e+01 2.220446e-16 7.597617e+08 3.113974e+06 2.589327e-16 6.097866e-13 8.617400e-15 6.261849e-14 3.621204e-12 2.061488e-11 1.179178e-15 6.864642e-16
6.700000e+01 2.220446e-16 6.420660e+08 1.905893e+06 2.477008e-16 2.214891e-13 5.136053e-15 4.817853e-14 2.872923e-12 2.000272e-11 1.031133e-15 5.143507e-16
6.800000e+01 2.220446e-16 8.768908e+08 3.418835e+06 2.573250e-16 5.953987e-13 8.482612e-15 9.061750e-14 4.356729e-12 2.150288e-11 1.550935e-15 6.650431e-16
