long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Gemella g_Leptotrichia g_Parvimonas Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister g_Mobiluncus
0.000000e+00 1.198849e+06 3.220198e+01 3.623484e-08 1.883632e+03 1.560582e+06 5.906030e-04 1.371592e-06 4.961118e-16 3.315046e-06 2.906520e+04 5.717549e-06 3.119017e-08 1.005959e+02 2.157559e-06
1.000000e+00 1.198846e+06 3.220136e+01 3.623322e-08 1.883642e+03 1.329763e+05 1.037673e-06 1.371593e-06 4.961103e-16 3.315796e-06 2.906512e+04 5.174155e-06 3.125528e-08 1.006038e+02 7.367499e-07
2.000000e+00 1.198850e+06 3.220542e+01 3.623300e-08 1.883350e+03 6.803112e+05 1.775579e-06 1.371595e-06 4.961097e-16 3.348233e-06 2.906486e+04 5.103728e-06 3.286229e-08 1.006236e+02 7.315159e-07
3.000000e+00 1.198871e+06 3.220562e+01 3.623380e-08 1.883653e+03 1.787470e+06 4.529703e-02 1.371598e-06 4.961095e-16 3.413235e-06 2.906484e+04 4.325802e-06 3.623811e-08 1.005846e+02 7.364358e-07
4.000000e+00 1.198861e+06 3.220131e+01 3.623705e-08 1.883985e+03 2.099472e+06 4.606865e-02 1.367806e-06 4.961094e-16 1.053292e-06 2.906234e+04 2.782837e-05 4.190201e-08 1.002042e+02 6.582967e-07
5.000000e+00 1.198872e+06 3.220210e+01 3.623286e-08 1.883472e+03 3.303414e+06 2.881961e+02 1.367594e-06 4.961094e-16 1.062775e-06 2.906204e+04 2.345182e-05 5.080341e-08 1.001416e+02 1.969781e-06
6.000000e+00 1.198889e+06 3.220295e+01 3.623840e-08 1.883590e+03 4.160782e+06 3.913360e+03 1.371606e-06 4.961096e-16 3.595107e-06 2.906164e+04 2.092682e-05 8.714243e-09 1.049738e+02 1.915167e-06
7.000000e+00 1.198878e+06 3.220295e+01 3.623893e-08 1.882894e+03 3.802830e+06 2.167651e+02 1.367865e-06 4.961100e-16 1.116731e-06 2.906135e+04 2.834330e-06 7.653705e-08 1.001139e+02 5.955929e-07
8.000000e+00 1.198880e+06 3.220310e+01 3.623596e-08 1.893294e+03 3.347738e+06 2.665048e+02 1.371609e-06 4.961111e-16 3.663122e-06 2.906039e+04 1.766862e-05 1.354432e-08 1.007484e+02 1.825436e-06
9.000000e+00 1.198881e+06 3.220366e+01 3.624201e-08 1.883721e+03 3.674711e+06 5.883217e+02 1.369902e-06 4.961099e-16 2.254792e-06 2.906191e+04 6.906606e-06 5.272160e-08 1.013410e+02 1.100450e-06
