long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Gemella Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister
3.500000e+01 1.589245e+07 6.616272e+08 1.382786e-15 2.552925e-16 2.628964e-16 1.525069e-06 2.577382e-16 9.339777e-16 4.425600e-12 1.496268e-14
3.600000e+01 1.305500e+07 6.616275e+08 2.440976e-15 2.892706e-16 3.024291e-16 3.216097e-10 2.943034e-16 9.339783e-16 4.438212e-12 1.499556e-14
3.700000e+01 1.305606e+07 6.616268e+08 3.606007e-15 2.552925e-16 2.647548e-16 5.819887e-16 2.577382e-16 9.339782e-16 4.438210e-12 1.499489e-14
3.800000e+01 1.277370e+07 6.616281e+08 3.935878e-15 2.552976e-16 3.531701e-16 5.819897e-16 2.578434e-16 9.339795e-16 4.438211e-12 1.499441e-14
3.900000e+01 1.074442e+07 6.616261e+08 3.332891e-15 5.102552e-10 2.028216e-09 1.173388e-09 1.516362e-09 9.339846e-16 4.438214e-12 1.499413e-14
4.000000e+01 1.047026e+07 6.616255e+08 2.607205e-15 4.760608e-06 4.498549e-05 1.461539e-05 3.185682e-05 9.340005e-16 4.425604e-12 1.496030e-14
4.100000e+01 7.096532e+06 6.616270e+08 1.657766e-15 1.350661e-01 2.902612e-02 5.428302e-03 2.945112e-02 9.339784e-16 4.371550e-12 1.499392e-14
4.200000e+01 5.176025e+06 6.616252e+08 1.037431e-15 8.301052e-02 8.774048e-01 6.665907e+02 1.070634e+00 9.340015e-16 4.372385e-12 1.459402e-14
4.300000e+01 6.078086e+06 6.616263e+08 5.090832e-16 1.350684e-01 4.003158e-02 1.737563e+03 2.946430e-02 9.339847e-16 4.425586e-12 1.495831e-14
4.400000e+01 4.699169e+06 6.616270e+08 2.622543e-16 2.464131e-09 1.579121e-09 9.195841e+02 1.153524e-09 9.339802e-16 4.425568e-12 1.495633e-14
4.500000e+01 3.549099e+06 6.616268e+08 1.559326e-16 2.132530e-09 1.027314e-09 2.680953e-01 8.926411e-10 9.339795e-16 4.438166e-12 1.498808e-14
4.600000e+01 2.796402e+06 6.616268e+08 7.530604e-17 2.552960e-16 3.147234e-16 1.712342e+04 2.578019e-16 9.339780e-16 4.425534e-12 1.495257e-14
4.700000e+01 1.990714e+06 6.616272e+08 4.057760e-17 3.625217e-16 4.513622e-16 1.410383e-07 3.736155e-16 9.339789e-16 4.379332e-12 1.498450e-14
4.800000e+01 1.632851e+06 6.616268e+08 2.795644e-17 2.552925e-16 2.639276e-16 4.175261e-06 2.577388e-16 9.339779e-16 4.425492e-12 1.494919e-14
4.900000e+01 7.598248e+05 6.616271e+08 1.750369e-17 3.625175e-16 3.901756e-16 2.174476e-07 3.735393e-16 9.339789e-16 4.438083e-12 1.498129e-14
5.000000e+01 8.604629e+05 6.616276e+08 1.579563e-17 2.552925e-16 2.641673e-16 5.819903e-16 2.577398e-16 9.339779e-16 4.425443e-12 1.494618e-14
5.100000e+01 3.590544e+05 6.616270e+08 1.572803e-17 5.048302e-16 5.546600e-16 2.791731e-14 5.272315e-16 9.339791e-16 4.438036e-12 1.497846e-14
5.200000e+01 3.802013e+05 6.616275e+08 1.477401e-17 3.218216e-16 3.410965e-16 2.417185e-15 3.292727e-16 9.339785e-16 4.425399e-12 1.494354e-14
5.300000e+01 2.418425e+05 6.616271e+08 1.628860e-17 3.625175e-16 3.885391e-16 5.096519e-15 3.735381e-16 9.339789e-16 4.425379e-12 1.494232e-14
