long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Gemella g_Parvimonas Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister g_Mobiluncus
0.000000e+00 2.948477e+02 8.815181e+02 3.136510e-12 9.026183e+06 1.686771e+06 2.220845e-16 4.650007e+05 4.172551e+06 1.181752e+05 2.456269e-15 7.588720e+06 8.194058e-06
1.000000e+00 1.053930e-11 8.815249e+02 2.891748e-12 1.667774e+06 1.686691e+06 2.220584e-16 4.942859e+03 5.504662e+05 6.143407e+04 1.707000e-15 1.265462e-12 5.329121e-09
2.000000e+00 8.223641e-08 8.815331e+02 2.950223e-12 3.090342e+06 1.686711e+06 2.220591e-16 3.366351e+04 1.580614e+06 6.345452e+04 1.741299e-15 7.212037e-09 1.032296e-08
3.000000e+00 1.834608e-04 8.815420e+02 3.011486e-12 5.113923e+06 1.686731e+06 2.220598e-16 1.197748e+05 2.797898e+06 6.554142e+04 1.776288e-15 4.110237e-05 1.999646e-08
4.000000e+00 1.883393e-01 8.815518e+02 3.075800e-12 8.034423e+06 1.686751e+06 2.220605e-16 3.075592e+05 4.075189e+06 6.769695e+04 1.811979e-15 2.342479e-01 3.873486e-08
5.000000e+00 1.365030e+02 8.815626e+02 3.143451e-12 1.266029e+07 1.686772e+06 2.220612e-16 7.246365e+05 5.906779e+06 6.992338e+04 1.848388e-15 1.335010e+03 7.503274e-08
6.000000e+00 3.159833e+01 8.815416e+02 2.211346e-12 1.287784e+07 1.686771e+06 2.220746e-16 1.128670e+06 8.317451e+06 5.634118e+04 2.500090e-15 5.305783e+01 1.781600e-10
7.000000e+00 1.626867e+05 8.815812e+02 3.170513e-12 2.639464e+07 1.686810e+06 2.220671e-16 3.979885e+06 2.021431e+07 7.340934e+04 1.964372e-15 1.582728e+07 9.887337e-08
8.000000e+00 8.374697e+04 8.815505e+02 3.454384e-12 2.039280e+07 1.686775e+06 2.220877e-16 2.545813e+06 1.072809e+07 4.866189e+04 2.656879e-15 2.013373e+07 4.592204e-06
9.000000e+00 3.202727e+05 8.815912e+02 3.120781e-12 3.727755e+07 1.686833e+06 2.220846e-16 1.184009e+07 4.999216e+07 7.355032e+04 2.179250e-15 4.188294e+07 1.009092e-07
1.000000e+01 8.391543e+04 8.815563e+02 3.436167e-12 2.110041e+07 1.686779e+06 2.221242e-16 2.127440e+06 1.191418e+07 4.628683e+04 2.982351e-15 1.352626e+07 7.684352e-06
1.100000e+01 1.667067e+05 8.815919e+02 3.141218e-12 3.206886e+07 1.686831e+06 2.221227e-16 4.698365e+06 2.642450e+07 6.899885e+04 2.528897e-15 1.720662e+07 5.176500e-07
1.200000e+01 1.454653e+05 8.815641e+02 3.496459e-12 3.073146e+07 1.686804e+06 2.222019e-16 3.512689e+06 1.924123e+07 5.628320e+04 3.536627e-15 2.649903e+07 2.831634e-08
1.300000e+01 1.547221e+05 8.815855e+02 3.233438e-12 3.081421e+07 1.686815e+06 2.222011e-16 2.452762e+06 2.897024e+07 6.168816e+04 3.078711e-15 8.557967e+06 2.390538e-06
1.400000e+01 9.099247e+04 8.815478e+02 2.236841e-12 1.595272e+07 1.686747e+06 2.223607e-16 1.104175e+06 1.408877e+07 5.013529e+04 4.439632e-15 9.880575e+06 1.857818e-04
1.500000e+01 3.247177e+05 8.815728e+02 3.241171e-12 2.697291e+07 1.686782e+06 2.223604e-16 2.520975e+06 7.297319e+07 5.373955e+04 3.947332e-15 1.521656e+07 1.124942e-05
1.600000e+01 1.101429e+03 8.815221e+02 3.510881e-12 3.061356e+06 1.686703e+06 2.226831e-16 8.779015e+04 2.009654e+06 4.128822e+04 5.921260e-15 1.224569e+05 1.016096e-06
1.700000e+01 1.693203e+03 8.815501e+02 3.163892e-12 2.995693e+06 1.686721e+06 2.226829e-16 3.110604e+04 1.406209e+06 4.540257e+04 5.356264e-15 1.413823e+05 5.696571e-05
1.800000e+01 9.872524e+04 8.815678e+02 3.464654e-12 1.811256e+07 1.686770e+06 2.233365e-16 1.509449e+06 1.843352e+07 6.759395e+04 8.433836e-15 1.319355e+07 7.073479e-03
1.900000e+01 8.818709e+02 8.815291e+02 3.158688e-12 1.273148e+06 1.686669e+06 2.233364e-16 4.640870e+04 8.833638e+05 3.954082e+04 7.738473e-15 1.061765e+05 3.540048e-04
2.000000e+01 1.125968e+01 8.814802e+02 3.497609e-12 2.330712e+05 1.686609e+06 2.246632e-16 3.889256e+03 1.754400e+05 2.783297e+04 1.291408e-14 8.508924e+02 6.967356e-05
