long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Gardnerella_vaginalis g_Megasphaera g_Gemella g_Parvimonas Atopobium_vaginae Prevotella_bivia g_Mobiluncus
3.500000e+01 2.397801e+05 1.773061e+07 4.805005e+00 4.089283e-06 8.986570e-06 2.884620e-15 3.791758e-13 3.191333e-06 3.014709e-14 6.423861e-16
3.600000e+01 2.932800e+05 1.795473e+07 4.636621e-01 4.089130e-06 8.986437e-06 2.884619e-15 1.064423e-12 3.190043e-06 3.014715e-14 9.062254e-16
3.700000e+01 5.195856e+05 1.818168e+07 4.474137e-02 4.088976e-06 8.986315e-06 2.884618e-15 3.340979e-13 3.188751e-06 3.014720e-14 6.423849e-16
3.800000e+01 3.048511e+05 2.584623e+07 6.984209e+04 4.093320e-06 8.986501e-06 2.884622e-15 1.800114e-12 3.201986e-06 3.014800e-14 2.555787e-15
3.900000e+01 1.137020e+06 1.992357e+07 2.587532e-01 4.088847e-06 8.986373e-06 2.884616e-15 6.672080e-14 3.187228e-06 3.014732e-14 3.274598e-16
4.000000e+01 3.988135e+05 1.893832e+07 1.613150e-01 4.084735e-06 8.986267e-06 2.884620e-15 1.407195e-11 3.201526e-06 3.014813e-14 9.062239e-16
4.100000e+01 1.160390e+06 2.274071e+07 1.254547e+02 4.088728e-06 8.986398e-06 2.884615e-15 5.853386e-10 3.187834e-06 3.014747e-14 3.274598e-16
4.200000e+01 2.221336e+05 2.208167e+07 8.545473e+01 4.093082e-06 8.986564e-06 2.884620e-15 1.025692e-12 3.203204e-06 3.014830e-14 9.062239e-16
4.300000e+01 2.158183e+05 2.491534e+07 2.782879e+03 4.088619e-06 8.986449e-06 2.884615e-15 5.853523e-10 3.190571e-06 3.014764e-14 3.274598e-16
4.400000e+01 3.880522e+05 3.024001e+07 2.500472e+03 4.084782e-06 8.986420e-06 2.884621e-15 1.407907e-11 3.179562e-06 3.014169e-14 9.062240e-16
4.500000e+01 1.970498e+05 2.755854e+07 1.366821e+04 4.088532e-06 8.986681e-06 2.884617e-15 6.684006e-14 3.193420e-06 3.014772e-14 3.274599e-16
4.600000e+01 1.573069e+05 1.759507e+07 2.051505e+03 4.092907e-06 8.986469e-06 2.884624e-15 1.870478e-12 3.180581e-06 3.014845e-14 1.388885e-14
