long.t Lactobacillus_iners Lactobacillus_crispatus Gardnerella_vaginalis g_Megasphaera g_Gemella g_Parvimonas Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister g_Mobiluncus
3.200000e+01 2.986627e+06 3.495798e-14 3.161865e+08 7.324163e+07 2.535444e+06 1.202457e+07 9.394602e+07 2.372116e+06 1.992867e-05 1.028931e+07 6.191652e+04
3.300000e+01 2.844139e+06 3.385124e-14 2.699535e+08 9.712632e+07 2.212900e+06 1.755717e+07 8.806441e+07 2.377779e+06 1.899910e-05 1.040213e+07 6.235563e+04
3.400000e+01 2.802657e+06 3.295147e-14 1.679946e+08 9.286585e+06 1.838811e+06 1.209824e+07 6.205822e+07 2.372005e+06 2.029031e-08 1.976627e+06 6.235247e+04
3.500000e+01 3.988603e+06 2.921404e-14 1.770189e+08 1.606710e+07 4.847773e+06 1.849365e+07 6.943877e+07 2.372184e+06 1.566488e+05 2.497894e+06 6.194671e+04
3.600000e+01 3.183299e+06 3.154572e-14 1.424420e+08 5.906211e+06 2.438882e+06 2.124864e+07 6.324542e+07 2.372104e+06 2.263652e+04 1.033645e+06 6.205010e+04
3.700000e+01 2.902140e+06 3.102317e-14 1.185845e+08 1.550935e+06 4.196031e+06 2.390792e+07 6.276017e+07 2.372195e+06 1.330789e+05 4.329694e+05 6.216798e+04
3.800000e+01 2.950513e+06 3.066650e-14 1.282412e+08 1.797483e+06 5.598923e+06 3.721901e+07 6.979799e+07 2.372372e+06 1.633308e+05 4.355755e+05 6.227498e+04
3.900000e+01 2.378705e+06 3.046980e-14 9.558403e+07 1.057700e+06 3.541162e+06 2.048506e+07 5.282584e+07 2.372207e+06 8.740137e+04 3.084031e+05 6.235906e+04
4.000000e+01 2.622727e+06 3.042989e-14 1.244774e+08 2.237548e+06 6.060939e+06 2.833160e+07 6.963626e+07 2.372318e+06 1.561383e+05 7.737281e+05 6.243836e+04
4.100000e+01 2.637832e+06 1.147602e-14 1.297185e+08 4.142032e+06 4.732467e+06 2.321808e+07 7.217371e+07 2.372206e+06 1.431285e+05 7.908205e+05 6.249762e+04
4.200000e+01 2.158797e+06 1.087154e-14 1.239033e+08 3.051890e+06 2.199709e+06 1.706676e+07 5.722408e+07 2.372091e+06 2.710162e+04 1.243585e+06 6.253418e+04
4.300000e+01 2.797225e+06 2.440254e-14 1.516347e+08 6.808998e+06 3.364605e+06 1.802214e+07 6.989024e+07 2.372342e+06 1.676463e+05 1.494220e+06 6.261950e+04
4.400000e+01 3.445717e+06 2.468766e-14 2.266430e+08 2.162719e+07 5.157151e+06 2.554897e+07 1.073092e+08 2.372232e+06 3.606741e+04 4.180957e+06 6.262570e+04
4.500000e+01 2.081055e+06 2.276176e-14 1.028476e+08 7.011356e+06 1.165141e+06 7.433255e+06 3.806906e+07 2.372019e+06 3.600424e+04 1.483076e+06 6.263023e+04
4.600000e+01 3.585758e+06 2.108714e-14 2.464174e+08 5.623910e+07 5.541029e+06 2.230736e+07 9.788148e+07 2.372414e+06 3.211364e-05 1.081260e+07 6.269080e+04
4.700000e+01 2.113655e+06 1.962818e-14 1.261028e+08 2.821504e+07 1.325720e+06 7.898421e+06 3.402941e+07 2.372259e+06 2.867496e+04 3.211161e+06 6.266887e+04
4.800000e+01 2.127662e+06 1.835527e-14 1.310513e+08 5.851017e+07 2.070841e+06 6.491018e+06 3.558725e+07 2.372433e+06 8.174985e-06 9.035924e+06 6.268715e+04
4.900000e+01 2.923437e+06 1.724365e-14 1.111837e+08 3.227166e+07 4.585054e+05 5.527615e+06 2.478014e+07 2.372479e+06 2.302662e-05 4.119246e+06 6.273158e+04
5.000000e+01 1.782368e+06 1.627262e-14 1.699689e+08 6.723816e+07 1.909886e+00 9.037799e+06 3.751193e+07 2.372585e+06 5.080937e+03 6.928023e+06 6.274588e+04
5.100000e+01 1.737511e+06 1.406729e-14 1.176111e+08 2.847662e+07 3.297350e-05 5.267701e+06 2.474141e+07 2.372390e+06 1.706213e-05 4.348260e+06 6.275795e+04
5.200000e+01 2.206995e+06 1.461922e-14 2.093777e+08 4.966717e+07 9.728938e-08 1.144031e+07 4.836277e+07 2.372439e+06 3.223726e-01 1.032897e+07 6.272947e+04
5.300000e+01 1.356372e+06 1.391605e-14 1.820575e+08 7.794661e+07 1.365608e-14 1.109475e+07 5.104942e+07 2.372275e+06 1.612657e+05 9.385934e+06 6.272472e+04
5.400000e+01 2.025548e+06 1.330376e-14 2.400419e+08 7.354537e+07 5.231716e-05 1.901458e+07 7.281740e+07 2.372242e+06 5.341500e+05 1.454224e+07 6.273456e+04
5.500000e+01 1.622891e+06 1.277263e-14 3.206248e+08 7.271479e+07 5.206699e-05 2.789388e+07 1.185307e+08 2.372252e+06 3.534614e+05 1.613710e+07 6.274668e+04
5.600000e+01 1.614305e+06 1.231450e-14 2.367746e+08 5.539084e+07 1.007525e+06 2.049835e+07 8.514028e+07 2.372116e+06 3.410473e+05 1.262467e+07 6.271815e+04
5.700000e+01 1.346162e+06 1.192257e-14 1.814033e+08 2.385692e+07 6.348414e+05 1.843898e+07 7.535454e+07 2.372064e+06 2.333811e+05 6.686949e+06 6.270274e+04
5.800000e+01 1.594817e+06 1.159116e-14 2.000891e+08 2.929668e+07 1.531565e+06 2.450754e+07 8.727859e+07 2.372169e+06 1.858205e+04 1.085768e+07 6.269667e+04
5.900000e+01 1.337608e+06 1.028879e-14 1.229538e+08 1.429879e+07 1.180459e+06 1.515742e+07 5.434755e+07 2.372375e+06 3.670090e+04 3.609571e+06 6.269925e+04
6.000000e+01 1.194335e+06 1.003356e-14 9.612077e+07 1.279687e+07 1.108447e+06 1.329520e+07 4.298490e+07 2.372354e+06 4.290724e+04 3.346566e+06 6.267639e+04
6.100000e+01 7.465492e+05 1.078036e-14 6.261411e+07 3.650059e+06 3.335092e+05 7.744641e+06 2.368369e+07 2.372112e+06 7.424579e+03 2.351120e+06 6.262191e+04
6.200000e+01 7.819094e+05 1.056461e-14 6.333201e+07 5.435206e+06 7.683514e+05 8.375234e+06 2.106256e+07 2.372304e+06 1.743198e+05 2.235272e+06 6.261541e+04
6.300000e+01 4.096395e+05 1.039526e-14 2.945219e+07 1.747883e+06 6.507304e+05 3.674661e+06 9.090204e+06 2.372110e+06 6.001800e+04 1.174769e+06 6.256934e+04
6.400000e+01 2.654874e+05 1.027012e-14 1.256717e+07 3.264996e+05 6.908548e-05 8.809807e+05 1.809105e+06 2.372111e+06 9.287260e+03 2.180267e+05 6.253623e+04
6.500000e+01 2.993992e+05 1.018762e-14 1.119738e+07 3.316877e+05 4.997790e+04 7.276053e+05 2.173283e+06 2.372589e+06 1.106505e-05 1.276995e+05 6.256356e+04
6.600000e+01 2.261758e+05 1.014679e-14 5.332528e+06 8.250496e+04 1.173380e-05 2.727650e+05 5.876375e+05 2.372711e+06 1.901348e-06 3.705953e+04 6.253122e+04
6.700000e+01 1.140039e+05 1.014724e-14 2.379023e+06 6.030426e+04 2.192026e+03 1.015241e+05 2.613902e+05 2.372553e+06 9.868849e-07 2.052019e+04 6.249177e+04
6.800000e+01 1.774259e+05 1.018911e-14 3.396448e+06 1.135917e+05 8.692167e+03 1.753219e+05 3.572214e+05 2.372684e+06 1.565898e-11 4.266533e+04 6.249080e+04
