long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Parvimonas Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister
3.500000e+01 7.454925e-07 2.146353e+06 5.200970e-16 6.766081e+04 2.421464e+07 1.763717e-10 1.857044e+06 1.687332e-14 4.014754e+00 1.480900e-01
3.600000e+01 7.455087e-07 1.828057e+06 6.834368e-16 7.847579e+04 2.304841e+07 5.225143e-10 1.519562e+06 1.687363e-14 2.879907e+00 1.480917e-01
3.700000e+01 7.455250e-07 1.556963e+06 5.200876e-16 8.929205e+04 2.193714e+07 1.547988e-09 1.270878e+06 1.687395e-14 2.226283e+00 1.480925e-01
3.800000e+01 7.457424e-07 1.431592e+06 1.463684e-15 9.449855e+04 2.149133e+07 1.062432e-06 5.659575e+05 1.687486e-14 9.583060e-02 1.480918e-01
3.900000e+01 7.455839e-07 1.150628e+06 3.057129e-16 1.086809e+05 2.004122e+07 6.877434e-08 7.528577e+05 1.687465e-14 4.059880e-01 1.480931e-01
4.000000e+01 7.454134e-07 1.246822e+06 6.838860e-16 1.136932e+05 2.100367e+07 2.168622e-09 2.634799e+05 1.687565e-14 2.314448e-03 1.480919e-01
4.100000e+01 7.456424e-07 9.179629e+05 3.059425e-16 1.245849e+05 1.903705e+07 2.046282e-06 2.908962e+05 1.687551e-14 3.096268e-03 1.480931e-01
4.200000e+01 7.454391e-07 8.713888e+05 1.609335e-07 1.352209e+05 1.636011e+07 1.093120e-08 4.358581e+04 1.687659e-14 2.771248e-01 1.480919e-01
4.300000e+01 7.456466e-07 7.827466e+05 1.920356e-06 1.428492e+05 1.759445e+07 1.063189e-06 5.334765e+04 1.687654e-14 1.444233e-04 1.480931e-01
4.400000e+01 7.454135e-07 6.500667e+05 6.834263e-16 1.428341e+05 1.339754e+07 3.208981e-10 2.436078e+03 1.687141e-14 6.266761e-01 1.480917e-01
4.500000e+01 7.455956e-07 6.530420e+05 1.920356e-06 1.639256e+05 1.409016e+07 6.903720e-09 2.621172e+03 1.687705e-14 1.333949e-02 1.480907e-01
4.600000e+01 7.457574e-07 4.389007e+05 1.609335e-07 1.542965e+05 1.152141e+07 7.050997e-09 1.876987e+02 1.687155e-14 2.008125e-02 1.480919e-01
4.700000e+01 7.455432e-07 4.872418e+05 3.059425e-16 1.801087e+05 1.007527e+07 1.565545e-11 4.114068e+01 1.687639e-14 8.682813e+00 1.480907e-01
4.800000e+01 7.457316e-07 3.245867e+05 6.838754e-16 1.598555e+05 9.934754e+06 1.576232e-11 5.662224e-01 1.687637e-14 4.130578e+00 1.480917e-01
4.900000e+01 7.455439e-07 3.152193e+05 3.057073e-16 1.857010e+05 7.384988e+06 3.046949e-13 1.864353e-01 1.687523e-14 2.300563e+02 1.480932e-01
