long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Gardnerella_vaginalis g_Megasphaera g_Gemella g_Parvimonas Atopobium_vaginae Prevotella_buccalis g_Dialister g_Mobiluncus
3.200000e+01 1.558087e+04 3.596256e+07 2.527196e-06 1.648832e-11 3.912650e-16 2.280483e-14 1.565470e-15 3.948644e-16 5.442053e-15 1.517799e-15 5.830244e-15
3.300000e+01 1.558082e+04 3.501509e+07 2.527192e-06 1.669817e-11 4.189452e-16 2.280488e-14 1.961661e-15 4.134701e-16 5.442045e-15 1.895467e-15 5.830203e-15
3.400000e+01 1.558077e+04 3.409259e+07 2.527188e-06 1.691070e-11 3.912650e-16 2.280483e-14 1.565470e-15 3.948644e-16 5.442038e-15 1.517799e-15 5.830161e-15
3.500000e+01 1.558072e+04 3.319439e+07 2.527184e-06 1.712593e-11 3.176875e-16 2.280450e-14 7.773359e-16 3.436131e-16 5.442030e-15 7.614462e-16 5.830118e-15
3.600000e+01 1.558049e+04 1.955395e+07 5.148745e-06 2.608052e-11 4.787511e-16 2.280483e-14 2.589857e-15 4.790195e-16 5.442128e-15 2.484320e-15 5.831100e-15
3.700000e+01 1.558055e+04 2.953794e+07 2.527176e-06 1.774298e-11 2.409034e-16 2.280411e-14 3.076500e-16 2.759328e-16 5.442018e-15 3.057100e-16 5.830063e-15
3.800000e+01 1.558023e+04 1.642042e+07 5.148733e-06 2.733898e-11 3.021757e-16 2.280477e-14 7.010937e-16 3.337981e-16 5.442120e-15 6.886692e-16 5.831076e-15
3.900000e+01 1.558021e+04 2.313152e+07 2.527172e-06 1.875819e-11 2.409034e-16 2.280410e-14 3.072697e-16 2.649428e-16 5.442014e-15 3.055322e-16 5.830069e-15
4.000000e+01 1.558104e+04 1.224038e+07 1.013740e-06 2.929535e-11 3.021757e-16 2.280477e-14 7.003412e-16 3.201172e-16 5.442119e-15 6.883219e-16 5.831113e-15
4.100000e+01 1.558012e+04 1.593445e+07 2.527166e-06 2.023907e-11 2.409034e-16 2.280410e-14 3.072692e-16 2.629552e-16 5.442017e-15 3.055321e-16 5.830137e-15
4.200000e+01 1.558000e+04 7.837928e+06 1.071225e-06 5.139853e-12 3.021757e-16 2.280477e-14 7.003402e-16 3.177778e-16 5.442125e-15 6.883217e-16 5.831211e-15
