long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Gemella g_Leptotrichia g_Parvimonas Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister g_Mobiluncus
0.000000e+00 3.259783e+07 4.476984e+06 3.079905e+02 2.900236e-10 9.562217e+08 2.680181e+08 7.204775e+06 1.325825e-15 5.894369e+07 1.608294e+08 3.470061e-08 2.975858e+07 1.206411e+06 7.875652e+04
1.000000e+00 2.549578e+07 3.905271e+06 2.896038e+02 2.900247e-10 7.183033e+08 2.272722e+08 4.903112e+06 1.325824e-15 4.861232e+07 1.222179e+08 3.601936e-08 2.348970e+07 1.037617e+06 6.011243e+04
2.000000e+00 1.215297e+08 9.318078e+06 4.250911e+02 2.900276e-10 4.954339e+09 1.354760e+09 6.006789e+07 1.325824e-15 2.122638e+08 9.697394e+08 5.468625e-08 7.706172e+07 1.637087e+07 1.830523e+05
3.000000e+00 3.897414e+07 4.122721e+06 2.116342e+02 2.900324e-10 1.082744e+09 2.800389e+08 1.134458e+07 1.325823e-15 5.702599e+07 1.756139e+08 1.198564e-07 2.585627e+07 1.417706e+06 6.665894e+04
4.000000e+00 9.749925e+07 5.627321e+06 1.678722e+02 2.900392e-10 2.049557e+09 5.669129e+08 6.228750e+07 1.325824e-15 7.665372e+07 4.171426e+08 3.617930e-09 3.770313e+07 2.299117e+06 1.044487e+05
5.000000e+00 1.028554e+08 5.053350e+06 1.025041e+02 2.900478e-10 2.166046e+09 5.627925e+08 9.157800e+07 1.325824e-15 7.443413e+07 5.197764e+08 6.955192e-07 3.442792e+07 3.190369e+06 1.304834e+05
6.000000e+00 1.955947e+08 5.315853e+06 5.936672e+01 1.900195e-10 2.946902e+09 7.198571e+08 1.329487e+08 1.325824e-15 7.616544e+07 7.404836e+08 2.565083e-08 3.814068e+07 4.329225e+06 1.502439e+05
7.000000e+00 2.576295e+08 6.563132e+06 9.665426e+02 2.900640e-10 4.063312e+09 1.076546e+09 2.142008e+08 1.325825e-15 9.315424e+07 9.627263e+08 2.962701e-06 5.034466e+07 6.135663e+06 1.706149e+05
8.000000e+00 2.312264e+08 4.638645e+06 6.977651e+02 1.882318e-10 3.711301e+09 8.340384e+08 1.199845e+08 1.325826e-15 8.208854e+07 9.411439e+08 1.154088e-07 2.729969e+07 6.816428e+06 1.770086e+05
9.000000e+00 7.914633e+08 7.583427e+06 3.411006e+01 2.900740e-10 5.986530e+09 1.321359e+09 4.150820e+08 1.325827e-15 1.167889e+08 1.873755e+09 2.303069e-07 3.627574e+07 9.450262e+06 1.915124e+05
1.000000e+01 3.922521e+08 5.708609e+06 3.241088e+01 2.900784e-10 4.669224e+09 9.968856e+08 1.752654e+08 1.325829e-15 8.262637e+07 1.315170e+09 8.245509e-06 2.581193e+07 9.754045e+06 1.886005e+05
1.100000e+01 6.603509e+08 5.739618e+06 3.636065e+01 2.900846e-10 5.567461e+09 1.194788e+09 3.479894e+08 1.325830e-15 9.464546e+07 1.677193e+09 1.076740e-05 2.634656e+07 1.177526e+07 1.984438e+05
1.200000e+01 9.845008e+08 6.513757e+06 3.147016e+01 2.900928e-10 6.318074e+09 1.140875e+09 3.825204e+08 1.325832e-15 9.760974e+07 1.925854e+09 2.149345e-05 2.360874e+07 1.293040e+07 2.045457e+05
1.300000e+01 8.517674e+08 5.473092e+06 2.334592e+01 1.902877e-10 6.005822e+09 1.068843e+09 3.793487e+08 1.325834e-15 9.326347e+07 1.834478e+09 6.626858e-05 1.855314e+07 1.366289e+07 2.049164e+05
1.400000e+01 6.306600e+08 5.183790e+06 1.506391e+01 2.901080e-10 5.224066e+09 8.036517e+08 2.929877e+08 1.325837e-15 8.481693e+07 1.582190e+09 7.754134e-06 1.176320e+07 1.388718e+07 2.074389e+05
1.500000e+01 4.786784e+08 4.884045e+06 8.665125e+00 2.901151e-10 4.409111e+09 5.721194e+08 1.511198e+08 1.325839e-15 7.215705e+07 1.240528e+09 9.797916e-04 8.573847e+06 1.382728e+07 1.990507e+05
1.600000e+01 1.465060e+09 5.956112e+06 5.226524e+00 2.901241e-10 5.768379e+09 9.617480e+08 5.587765e+08 1.325842e-15 9.230766e+07 1.450000e+09 4.919809e-03 9.030502e+06 1.826768e+07 2.076219e+05
1.700000e+01 5.670459e+08 4.052074e+06 3.902595e+01 1.903932e-10 3.447502e+09 3.960150e+08 1.653609e+08 1.325846e-15 5.598266e+07 8.615037e+08 1.013182e-03 3.686800e+06 1.396631e+07 1.857712e+05
1.800000e+01 7.230088e+08 4.791379e+06 1.344376e+00 2.901410e-10 3.388977e+09 5.941491e+08 3.006515e+08 1.325849e-15 7.718335e+07 1.008407e+09 6.009849e-03 2.057954e+06 1.534182e+07 1.950814e+05
1.900000e+01 3.603783e+08 2.581283e+06 1.530950e+01 1.853646e-10 1.635413e+09 2.278636e+08 1.913133e+08 1.325853e-15 3.815582e+07 3.818757e+08 2.101513e-02 7.970534e+05 1.248180e+07 1.738046e+05
2.000000e+01 2.538276e+08 2.149615e+06 6.167150e-01 1.887918e-10 1.211753e+09 1.810348e+08 1.267632e+08 1.325857e-15 2.761883e+07 2.635349e+08 6.280752e-02 3.819347e+05 1.168401e+07 1.654173e+05
2.100000e+01 1.162950e+08 2.307022e+06 5.131560e-01 2.901491e-10 7.800489e+08 1.206492e+08 5.823643e+07 1.325861e-15 2.306599e+07 1.434954e+08 1.491570e-01 1.864122e+05 1.152102e+07 1.518618e+05
2.200000e+01 3.122191e+07 1.312265e+06 2.865504e-01 2.901486e-10 3.999461e+08 8.038660e+07 8.781767e+06 1.325786e-15 1.825880e+07 6.721189e+07 1.397550e-01 5.081057e+04 8.755346e+06 1.327376e+05
2.300000e+01 3.177019e+07 2.054118e+06 2.208913e-01 2.026239e-10 4.713528e+08 9.249737e+07 6.524976e+06 1.325863e-15 2.182852e+07 8.416163e+07 2.571291e-01 2.177429e+04 1.029747e+07 1.269809e+05
2.400000e+01 5.860890e+06 9.656760e+05 1.675134e+00 2.901475e-10 1.975206e+08 4.079504e+07 1.257101e+06 1.325861e-15 1.305064e+07 2.720048e+07 1.488066e-01 4.228547e+03 7.384531e+06 1.034528e+05
2.500000e+01 2.823372e+06 7.591770e+05 1.371934e-01 2.583374e-10 1.103456e+08 2.252853e+07 4.920027e+05 1.325856e-15 8.424809e+06 1.531472e+07 3.675695e-01 1.446727e+03 6.548682e+06 8.699699e+04
2.600000e+01 5.643519e+06 9.428690e+05 8.434628e-01 2.901463e-10 1.329186e+08 2.293851e+07 1.442804e+06 1.325857e-15 9.251490e+06 2.402513e+07 6.608980e-02 2.189747e+02 5.991117e+06 6.949143e+04
2.700000e+01 2.972915e+06 6.293743e+05 9.983277e-02 2.583381e-10 8.402807e+07 1.559368e+07 5.508317e+05 1.325852e-15 6.931559e+06 1.403862e+07 1.074418e-01 6.759353e+01 4.878704e+06 5.029913e+04
2.800000e+01 2.919562e+06 4.723385e+05 3.554463e-02 1.932696e-10 1.154938e+08 1.955145e+07 1.563822e+06 1.325853e-15 8.642235e+06 2.232975e+07 7.175012e-01 6.953129e+02 4.863991e+06 1.314931e+05
2.900000e+01 5.447168e+06 5.987473e+05 3.727088e-02 2.901456e-10 7.896414e+07 1.179205e+07 1.772161e+06 1.325851e-15 6.234552e+06 1.783093e+07 1.255413e-02 2.610601e+00 3.853979e+06 5.376868e+04
3.000000e+01 1.357520e+06 2.206900e+05 1.748091e-02 2.901441e-10 6.127425e+07 8.880641e+06 2.064634e+06 1.325850e-15 5.270002e+06 1.528692e+07 3.555008e-01 1.327347e+02 3.156292e+06 6.992019e+04
3.100000e+01 3.426808e+06 4.045616e+05 3.133181e-01 2.901446e-10 8.301052e+07 9.120532e+06 3.512721e+06 1.325849e-15 6.049906e+06 2.524801e+07 1.006866e-02 1.594227e+00 3.043882e+06 9.246207e+04
3.200000e+01 1.102937e+06 2.325316e+05 2.688656e-01 2.901470e-10 6.111110e+07 5.830088e+06 1.258653e+06 1.325849e-15 4.892924e+06 1.961540e+07 3.682065e-01 9.909280e-01 2.565367e+06 1.045415e+05
3.300000e+01 1.236589e+06 2.081579e+05 1.610490e-02 2.004411e-10 5.735317e+07 6.659265e+06 1.597998e+06 1.325848e-15 4.925397e+06 1.577507e+07 1.429468e-02 9.690111e-01 2.676624e+06 1.094153e+05
3.400000e+01 4.654972e+05 1.330024e+05 4.097243e-02 2.583412e-10 4.607832e+07 3.766849e+06 5.160836e+05 1.325846e-15 4.343572e+06 1.547513e+07 5.031428e-02 1.174719e+00 2.103616e+06 1.150412e+05
3.500000e+01 1.063673e+06 1.788981e+05 2.150886e-02 2.016777e-10 6.819049e+07 5.418598e+06 1.466701e+06 1.325848e-15 5.114472e+06 2.223612e+07 2.629240e-02 2.623188e-01 2.450817e+06 1.185463e+05
3.600000e+01 4.163964e+05 9.025029e+04 4.033716e-02 2.583378e-10 3.889788e+07 2.595450e+06 4.622709e+05 1.325846e-15 3.585178e+06 1.282348e+07 6.447192e-02 2.720039e-01 1.755983e+06 1.160578e+05
3.700000e+01 7.852663e+05 9.641472e+04 3.730052e-01 1.998795e-10 4.144021e+07 3.682017e+06 5.183299e+05 1.325849e-15 3.741237e+06 1.171448e+07 2.196656e-02 5.328536e+00 1.976504e+06 1.157843e+05
3.800000e+01 8.569483e+05 7.725192e+04 5.128282e-02 2.583273e-10 4.206226e+07 2.662373e+06 9.342528e+05 1.325847e-15 3.315440e+06 1.302350e+07 5.619134e-02 1.246417e-01 1.620946e+06 1.191467e+05
3.900000e+01 1.646406e+06 1.239264e+05 3.087975e-02 2.901285e-10 6.010749e+07 2.794227e+06 2.558715e+06 1.325850e-15 4.249518e+06 1.647968e+07 1.792753e-02 3.932224e-02 1.709129e+06 1.229451e+05
4.000000e+01 9.460084e+05 5.307025e+04 2.941542e-02 2.901226e-10 3.287058e+07 2.166799e+06 7.983227e+05 1.325851e-15 2.684458e+06 1.135740e+07 7.868750e-03 1.479807e-02 1.502131e+06 1.172431e+05
4.100000e+01 1.176366e+06 8.949277e+04 3.568525e-02 2.901185e-10 4.696750e+07 2.149808e+06 1.782670e+06 1.325852e-15 3.717368e+06 1.461529e+07 2.861850e-01 1.119569e-02 1.541706e+06 1.231470e+05
4.200000e+01 1.479044e+06 8.076707e+04 7.327273e-02 2.583088e-10 4.797612e+07 2.403860e+06 1.302162e+06 1.325851e-15 3.398894e+06 1.409270e+07 1.554623e-02 1.802291e-02 1.484323e+06 1.240101e+05
4.300000e+01 1.480961e+06 8.788268e+04 7.058023e-01 2.901143e-10 4.488429e+07 2.314696e+06 1.194622e+06 1.325855e-15 3.337489e+06 1.405323e+07 2.462992e-01 2.207085e-01 1.575845e+06 1.205945e+05
4.400000e+01 7.575249e+05 8.400789e+04 8.246606e-02 2.583062e-10 4.226213e+07 1.738640e+06 6.819645e+05 1.325854e-15 3.459415e+06 1.424022e+07 2.189988e-02 4.886083e-03 1.410898e+06 1.244627e+05
4.500000e+01 1.741560e+06 1.360040e+05 1.218665e+00 2.901138e-10 6.184525e+07 2.884442e+06 1.105789e+06 1.325859e-15 3.907865e+06 1.996286e+07 1.224932e-02 1.300331e-01 1.763605e+06 1.261583e+05
4.600000e+01 8.372743e+05 1.021323e+05 1.977336e-01 2.583068e-10 4.395767e+07 1.660758e+06 6.876073e+05 1.325858e-15 3.604467e+06 1.646190e+07 4.372131e-02 6.638663e-03 1.425723e+06 1.280314e+05
4.700000e+01 2.007297e+06 1.998685e+05 4.634371e+00 2.901171e-10 5.724415e+07 2.668034e+06 1.160953e+06 1.325863e-15 4.040462e+06 1.807094e+07 1.926237e-02 2.093476e-03 1.708021e+06 1.287186e+05
4.800000e+01 2.112546e+06 1.654918e+05 1.030198e+00 2.583108e-10 5.755869e+07 2.281807e+06 1.294824e+06 1.325863e-15 3.963220e+06 2.141198e+07 5.876232e-02 1.352952e-02 1.555848e+06 1.380963e+05
4.900000e+01 2.086189e+06 1.544584e+05 1.204031e+00 1.940870e-10 4.492166e+07 3.157021e+06 1.303289e+06 1.325868e-15 2.977976e+06 1.808669e+07 1.103899e+00 2.212683e-03 1.676276e+06 1.348156e+05
5.000000e+01 1.898062e+06 1.337803e+05 2.592697e+00 2.901232e-10 5.635284e+07 2.842625e+06 1.074384e+06 1.325871e-15 3.314195e+06 2.088726e+07 2.056366e+00 3.256613e-01 1.623843e+06 1.367555e+05
5.100000e+01 4.568526e+06 2.874172e+05 8.015015e+00 2.901241e-10 5.494227e+07 3.773121e+06 1.006786e+06 1.325800e-15 3.264759e+06 1.864122e+07 1.233555e-01 4.140153e-03 1.862727e+06 1.371767e+05
5.200000e+01 2.912369e+06 1.936881e+05 1.381358e+01 1.933627e-10 5.671617e+07 4.048529e+06 8.550274e+05 1.325870e-15 3.708415e+06 2.132457e+07 2.416434e-01 3.123624e-03 1.692207e+06 1.373399e+05
