long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Gemella g_Parvimonas Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister
2.900000e+01 3.917015e+01 6.642555e+06 3.053208e+01 2.139713e-08 2.140124e-03 2.490338e-12 2.222069e-16 8.932438e-16 1.271022e-06 2.222035e-16 5.377484e-14 4.558145e-15
3.000000e+01 3.921022e+01 1.042369e+07 1.047648e+01 9.274195e-11 9.419282e-04 2.648987e-12 2.222084e-16 9.815166e-16 9.251790e-07 2.222049e-16 5.380386e-14 4.887708e-15
3.100000e+01 3.917071e+01 6.705693e+06 5.835826e+00 1.529261e-15 1.138066e-03 2.606565e-12 2.221200e-16 8.507882e-16 4.403014e-16 2.221184e-16 5.377236e-14 4.558144e-15
3.200000e+01 3.922122e+01 1.121471e+07 1.343803e+00 2.221186e-14 4.913087e-04 2.359408e-12 2.221202e-16 9.416304e-16 2.741569e-15 2.221186e-16 5.380194e-14 4.887707e-15
3.300000e+01 3.917137e+01 8.038290e+06 8.727214e-01 1.528917e-15 5.550574e-04 2.703419e-12 2.220796e-16 8.287418e-16 4.402220e-16 2.220789e-16 5.377099e-14 4.558144e-15
3.400000e+01 4.134283e+01 4.805013e+06 3.280638e+02 2.220933e-14 1.880508e-03 2.850630e-12 2.220797e-16 9.253826e-16 2.741124e-15 2.220789e-16 5.380113e-14 4.887706e-15
3.500000e+01 3.917419e+01 9.215383e+06 7.818534e-01 1.528917e-15 2.970979e-04 2.779536e-12 2.220609e-16 8.246826e-16 4.402220e-16 2.220606e-16 5.377073e-14 4.558143e-15
3.600000e+01 3.899225e+01 1.103341e+07 3.984467e-01 2.220933e-14 9.992922e-05 2.944528e-12 2.220610e-16 9.308028e-16 2.741123e-15 2.220606e-16 5.380143e-14 4.887706e-15
3.700000e+01 3.917894e+01 9.571580e+06 3.161883e+00 1.528917e-15 1.695228e-04 2.883933e-12 2.220522e-16 8.381758e-16 4.402220e-16 2.220521e-16 5.377159e-14 4.558143e-15
3.800000e+01 3.867517e+01 7.655757e+06 4.782258e-01 2.220933e-14 5.783291e-04 2.494047e-12 2.220523e-16 9.584615e-16 2.741123e-15 2.220521e-16 5.380284e-14 4.887706e-15
3.900000e+01 3.918300e+01 9.711496e+06 4.176910e+00 1.528917e-15 1.025609e-04 2.955265e-12 2.220482e-16 8.706801e-16 4.402220e-16 2.220481e-16 5.377356e-14 4.558144e-15
4.000000e+01 3.923546e+01 1.528045e+07 1.697826e+00 2.220933e-14 4.339079e-05 3.092881e-12 2.220483e-16 1.011585e-15 2.741123e-15 2.220482e-16 5.359350e-14 4.887706e-15
4.100000e+01 3.918661e+01 1.019430e+07 2.318312e+00 1.528917e-15 6.679054e-05 2.991757e-12 2.220463e-16 9.258655e-16 4.402220e-16 2.220463e-16 5.377276e-14 4.558144e-15
4.200000e+01 3.885178e+01 8.141637e+06 1.386097e-01 2.220933e-14 1.573482e-05 3.146863e-12 2.220464e-16 1.096829e-15 2.741123e-15 2.220464e-16 5.380125e-14 4.887707e-15
4.300000e+01 3.918992e+01 1.100215e+07 5.320219e-01 1.528917e-15 3.722372e-05 3.058947e-12 2.220455e-16 1.010458e-15 4.402220e-16 2.220455e-16 5.376921e-14 4.558145e-15
4.400000e+01 3.925999e+01 1.870335e+07 7.887401e-02 2.220933e-14 1.243875e-05 2.755293e-12 2.220456e-16 1.226017e-15 2.741123e-15 2.220456e-16 5.379825e-14 4.887708e-15
4.500000e+01 3.919296e+01 1.232558e+07 4.878731e-02 1.528917e-15 1.766486e-05 3.106656e-12 2.220451e-16 1.135943e-15 4.402220e-16 2.220451e-16 5.376677e-14 4.558146e-15
4.600000e+01 3.876662e+01 1.104990e+07 7.816539e+00 2.220933e-14 5.226828e-05 2.655413e-12 2.220453e-16 1.419656e-15 2.741123e-15 2.220453e-16 5.379636e-14 4.887709e-15
4.700000e+01 3.919564e+01 1.457250e+07 2.102090e-02 1.528917e-15 8.877552e-06 3.068710e-12 2.220451e-16 1.321866e-15 4.402220e-16 2.220450e-16 5.376543e-14 4.558147e-15
4.800000e+01 3.885985e+01 1.335082e+07 1.103826e-03 2.220933e-14 2.965466e-05 3.155501e-12 2.220453e-16 1.714023e-15 2.741124e-15 2.220453e-16 5.379558e-14 4.887711e-15
