long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Gemella g_Parvimonas Atopobium_vaginae Prevotella_bivia g_Dialister
3.200000e+01 7.700911e-16 3.445857e-12 8.786396e-16 3.337620e-16 6.332133e-16 2.220446e-16 2.171839e-15 5.856684e-16 3.262752e-16 3.237079e-14 4.260912e-16
3.300000e+01 7.700911e-16 2.014472e-12 8.965578e-16 3.337620e-16 6.590371e-16 2.220446e-16 2.171839e-15 5.465374e-16 3.262752e-16 3.237079e-14 4.495113e-16
3.400000e+01 6.285492e-16 1.177675e-12 9.147944e-16 3.121046e-16 6.859138e-16 2.220446e-16 1.779033e-15 5.100203e-16 3.062297e-16 3.237079e-14 4.742184e-16
3.500000e+01 4.166464e-16 6.884770e-13 9.333559e-16 2.726421e-16 7.138862e-16 2.220446e-16 9.940008e-16 4.759426e-16 2.695195e-16 3.237079e-14 5.002836e-16
3.600000e+01 8.722878e-16 5.045222e-13 1.011315e-15 3.509565e-16 1.096028e-15 2.220446e-16 1.815195e-15 4.862897e-16 3.424544e-16 3.237079e-14 5.912647e-16
3.700000e+01 2.492064e-16 2.329866e-13 9.745535e-16 2.302551e-16 8.520003e-16 2.220446e-16 4.871260e-16 4.198789e-16 2.297574e-16 3.237079e-14 5.659378e-16
3.800000e+01 3.475407e-16 1.661518e-13 1.060661e-15 2.560766e-16 1.507576e-15 2.220446e-16 1.253482e-15 4.272551e-16 2.539495e-16 3.237079e-14 6.895521e-16
3.900000e+01 2.492063e-16 7.773072e-14 1.023945e-15 2.302550e-16 1.261758e-15 2.220446e-16 4.871259e-16 3.793598e-16 2.297573e-16 3.237079e-14 6.631565e-16
4.000000e+01 5.224797e-16 5.502241e-14 1.120017e-15 2.929586e-16 2.938680e-15 2.220446e-16 1.715802e-15 3.855683e-16 2.883817e-16 3.237079e-14 8.410473e-16
4.100000e+01 3.109288e-16 2.585121e-14 1.082833e-15 2.471410e-16 2.469492e-15 2.220446e-16 8.815915e-16 3.496923e-16 2.455958e-16 3.237079e-14 8.097481e-16
4.200000e+01 3.475401e-16 1.491712e-14 1.115360e-15 2.560764e-16 3.742433e-15 2.220446e-16 1.253480e-15 3.372841e-16 2.539493e-16 3.237079e-14 9.047968e-16
4.300000e+01 3.109288e-16 8.607733e-15 1.148831e-15 2.471410e-16 5.671530e-15 2.220446e-16 8.815915e-16 3.253159e-16 2.455958e-16 3.237079e-14 1.011002e-15
4.400000e+01 5.224797e-16 6.140779e-15 1.266065e-15 2.929586e-16 2.420254e-14 2.220446e-16 1.715802e-15 3.271511e-16 2.883817e-16 3.237079e-14 1.375698e-15
4.500000e+01 2.492063e-16 2.901556e-15 1.223158e-15 2.302550e-16 1.746651e-14 2.220446e-16 4.871259e-16 3.046027e-16 2.297573e-16 3.237079e-14 1.301522e-15
4.600000e+01 3.475403e-16 2.083190e-15 1.356095e-15 2.560765e-16 1.338598e-13 2.220446e-16 1.253481e-15 3.057505e-16 2.539493e-16 3.237079e-14 1.874996e-15
4.700000e+01 2.492061e-16 1.007849e-15 1.311868e-15 2.302550e-16 1.083837e-13 2.220446e-16 4.871253e-16 2.886029e-16 2.297573e-16 3.237079e-14 1.790856e-15
4.800000e+01 3.475401e-16 7.211309e-16 1.464210e-15 2.560764e-16 2.088028e-12 2.220446e-16 1.253480e-15 2.894254e-16 2.539493e-16 3.237079e-14 2.771676e-15
4.900000e+01 2.492061e-16 3.645959e-16 1.417829e-15 2.302550e-16 1.816370e-12 2.220446e-16 4.871253e-16 2.761397e-16 2.297573e-16 3.237079e-14 2.665613e-15
5.000000e+01 3.475401e-16 2.563137e-16 1.594287e-15 2.560764e-16 1.417940e-10 2.220446e-16 1.253480e-15 2.768272e-16 2.539493e-16 3.237079e-14 4.510357e-15
5.100000e+01 2.492061e-16 1.387816e-16 1.544700e-15 2.302550e-16 1.292426e-10 2.220446e-16 4.871253e-16 2.663790e-16 2.297573e-16 3.237079e-14 4.356755e-15
5.200000e+01 3.475401e-16 9.436053e-17 1.751349e-15 2.560764e-16 8.366631e-13 2.220446e-16 1.253480e-15 2.670389e-16 2.539493e-16 3.237079e-14 8.233790e-15
