long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Parvimonas Prevotella_bivia g_Dialister
4.300000e+01 1.762395e+01 2.125413e+09 8.351046e+02 2.220448e-16 2.357756e-16 5.588725e-16 1.283344e-13 1.735545e-15
4.400000e+01 1.080594e-02 1.398226e+09 1.613453e+03 2.220446e-16 2.282684e-16 5.324828e-16 1.249051e-13 1.516932e-15
4.500000e+01 2.744702e+01 3.799843e+08 2.115251e+02 2.220446e-16 2.308787e-16 5.437578e-16 1.283507e-13 1.581942e-15
4.600000e+01 1.719535e-01 6.243001e+08 4.689212e+02 2.220446e-16 2.280000e-16 5.189439e-16 1.249230e-13 1.392283e-15
4.700000e+01 1.269023e-01 4.117022e+08 1.589783e+05 2.220446e-16 2.348115e-16 5.306199e-16 1.283721e-13 1.457331e-15
4.800000e+01 1.276840e+01 1.721169e+08 4.223974e+02 2.220446e-16 2.336464e-16 5.071377e-16 1.249458e-13 1.290461e-15
4.900000e+01 9.713264e+00 1.809274e+08 3.883566e+02 2.220446e-16 2.524718e-16 5.192972e-16 1.061882e-13 1.356322e-15
5.000000e+01 2.079061e+02 7.610681e+07 1.435155e+03 2.220446e-16 2.515421e-16 4.969238e-16 1.249566e-13 1.207376e-15
5.100000e+01 2.254455e+02 8.480299e+07 1.294503e+03 2.220446e-16 3.161177e-16 5.096557e-16 1.283952e-13 1.274841e-15
5.200000e+01 1.394975e+03 5.373370e+07 3.600181e+03 2.220446e-16 3.055898e-16 4.881841e-16 1.249553e-13 1.139896e-15
5.300000e+01 3.129557e+03 4.884138e+07 5.338747e+03 2.220446e-16 3.517259e-16 4.841832e-16 1.249559e-13 1.110044e-15
5.400000e+01 7.021008e+03 4.437958e+07 7.916885e+03 2.220446e-16 4.048273e-16 4.802150e-16 1.249565e-13 1.080973e-15
5.500000e+01 6.267710e+03 2.912999e+07 7.220060e+03 2.220446e-16 9.606573e-16 4.935796e-16 1.283986e-13 1.147359e-15
5.600000e+01 2.728398e+04 3.175206e+07 1.576781e+04 2.220446e-16 7.679195e-16 4.729585e-16 1.249601e-13 1.029361e-15
5.700000e+01 4.661062e+04 3.083027e+07 1.455468e+04 2.220446e-16 5.244815e-15 4.870138e-16 1.284053e-13 1.098118e-15
5.800000e+01 8.152779e+04 2.187285e+07 2.632482e+04 2.220446e-16 4.846042e-15 4.669505e-16 1.249684e-13 9.882709e-16
5.900000e+01 1.195358e+05 1.916953e+07 2.570021e+04 2.220446e-16 6.354486e-13 4.818211e-16 1.284170e-13 1.060456e-15
6.000000e+01 2.311411e+05 1.673611e+07 3.874086e+04 2.220446e-16 6.060920e-13 4.621270e-16 1.249816e-13 9.564130e-16
6.100000e+01 3.754498e+05 9.787899e+06 2.058575e+04 2.220446e-16 2.211567e-07 4.779528e-16 1.284338e-13 1.033210e-15
6.200000e+01 6.222438e+05 1.044457e+07 4.663874e+04 2.220446e-16 1.615646e-07 4.584372e-16 1.249996e-13 9.328246e-16
6.300000e+01 3.051706e+05 1.861909e+07 4.986337e+04 2.220446e-16 1.379837e-11 4.753777e-16 1.284555e-13 1.015609e-15
6.400000e+01 1.232311e+06 7.870560e+06 4.863734e+04 2.220446e-16 1.263782e-03 4.558429e-16 1.250225e-13 9.168149e-16
6.500000e+01 1.489917e+06 8.310052e+06 4.988007e+04 2.220446e-16 1.211298e-03 4.548162e-16 1.250351e-13 9.106428e-16
6.600000e+01 1.801373e+06 8.767504e+06 5.115456e+04 2.220446e-16 1.160992e-03 4.537917e-16 1.250477e-13 9.045119e-16
6.700000e+01 1.827367e+06 3.724971e+07 8.367681e+04 2.220446e-16 8.350309e-11 4.727682e-16 1.285090e-13 9.986886e-16
6.800000e+01 2.547275e+06 1.620375e+07 5.711533e+04 2.220446e-16 8.352968e-07 4.522699e-16 1.250753e-13 8.957080e-16
6.900000e+01 9.937620e+05 3.624003e+06 2.740049e+04 2.220446e-16 4.787430e+01 4.727359e-16 1.055116e-13 9.992346e-16
