long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Parvimonas Atopobium_vaginae Prevotella_bivia g_Dialister
0.000000e+00 1.536244e+06 2.539329e-13 2.887447e-17 1.214501e-15 1.244216e+08 2.026203e-04 1.642827e-15 2.816262e-08 4.015554e+00 8.659748e-15
1.000000e+00 1.898356e+06 1.530002e-13 1.629478e-16 1.175208e-15 1.658295e+08 2.453253e+00 1.496122e-15 8.008786e-08 1.647442e+03 4.564395e-15
2.000000e+00 1.967423e+07 2.550195e-13 4.289121e-17 1.223411e-15 1.406824e+08 4.611095e-04 1.643505e-15 2.993445e-08 5.891878e-06 8.947745e-15
3.000000e+00 4.903098e+06 1.618090e-13 9.083445e-17 1.185897e-15 1.435930e+08 4.001164e-03 1.504479e-15 8.008786e-08 5.827195e-05 5.624471e-15
4.000000e+00 9.494934e+06 2.678300e-13 4.558196e-17 1.235645e-15 8.368798e+07 5.155830e-01 1.650978e-15 2.703681e-08 9.983733e-05 1.141644e-14
5.000000e+00 8.963155e+07 1.775962e-13 4.726442e-17 1.199720e-15 1.060093e+08 3.919584e-06 1.518373e-15 8.008786e-08 1.096488e-12 8.049611e-15
6.000000e+00 1.525918e+08 1.219459e-14 4.189120e-17 1.251319e-15 7.634016e+07 6.026932e-11 1.665293e-15 2.856195e-08 5.109239e-12 1.782974e-14
7.000000e+00 2.783083e+08 1.768732e-13 3.468530e-17 1.216813e-15 6.611889e+07 6.081992e-09 1.537982e-15 8.008786e-08 2.111411e-14 1.360417e-14
8.000000e+00 3.654135e+08 2.530320e-13 8.990668e-17 1.270589e-15 4.135783e+07 1.111806e-08 1.686605e-15 3.074539e-08 3.501355e-12 3.447647e-14
9.000000e+00 6.216469e+08 1.598371e-13 5.656351e-17 1.237345e-15 3.707669e+07 9.332289e-12 1.563561e-15 8.008786e-08 6.727949e-13 2.781802e-14
1.000000e+01 5.421183e+08 2.275802e-13 5.927749e-16 1.293646e-15 1.800032e+07 7.552633e-12 1.715176e-15 2.887804e-08 1.627076e-05 8.476359e-14
1.100000e+01 7.260876e+08 1.498937e-13 3.064680e-16 1.261522e-15 1.693785e+07 3.366843e-14 1.595451e-15 8.008786e-08 9.909740e-06 7.114126e-14
1.200000e+01 5.680407e+08 2.135658e-13 1.311346e-14 1.320731e-15 8.527701e+06 2.428110e-14 2.257278e-16 2.910498e-08 1.985617e-06 2.760014e-13
1.300000e+01 5.089498e+08 1.458217e-13 7.178699e-15 1.289594e-15 6.269512e+06 1.655208e-15 1.559417e-15 8.008786e-08 6.708255e+01 2.376518e-13
1.400000e+01 4.884657e+08 1.431871e-14 1.124699e-12 4.984398e-16 2.121784e+06 2.092265e-15 1.629197e-15 2.890090e-08 2.499319e+00 1.259172e-12
1.500000e+01 3.919424e+08 1.286397e-13 7.737118e-13 1.275687e-15 1.787724e+06 9.383491e-16 1.459931e-15 8.008786e-08 2.470382e+02 1.096579e-12
1.600000e+01 4.758101e+08 1.603421e-13 4.418633e-10 1.291062e-15 4.718625e+05 1.166697e-15 1.521787e-15 3.343694e-08 3.051963e-04 1.624711e-14
1.700000e+01 4.670182e+08 1.028335e-13 3.254515e-10 1.221121e-15 3.462865e+05 7.542449e-16 1.371674e-15 8.008786e-08 2.746238e-03 2.448600e-12
1.800000e+01 2.414474e+08 1.280577e-13 5.223675e-07 1.236143e-15 3.142624e+04 4.211512e-16 1.427082e-15 3.158026e-08 3.492286e+03 7.908945e-12
1.900000e+01 2.963652e+08 8.509532e-14 3.666629e-07 1.171924e-15 3.421570e+04 3.118994e-16 1.293202e-15 8.008786e-08 8.804334e-05 2.746181e-12
2.000000e+01 5.312234e+08 1.062361e-13 2.464151e-07 1.186706e-15 1.266837e+03 2.513603e-16 1.343352e-15 3.267656e-08 2.221458e-12 1.734567e-14
2.100000e+01 2.054299e+08 7.281576e-14 6.479935e-04 1.127537e-15 1.210065e+03 1.857693e-16 1.223294e-15 8.008786e-08 6.404056e-05 1.571468e-12
2.200000e+01 2.756164e+08 6.791562e-14 2.829542e-02 1.106675e-15 1.722580e+02 1.937045e-16 1.190746e-15 8.008786e-08 7.005649e-08 7.628349e-13
2.300000e+01 3.703126e+08 6.334524e-14 1.235553e+00 1.086224e-15 2.452168e+01 2.019786e-16 1.159064e-15 8.008786e-08 7.663755e-11 3.703017e-13
2.400000e+01 4.517472e+08 7.853158e-14 7.626000e-01 1.099371e-15 1.494399e-01 2.832653e-16 1.199021e-15 1.429707e-07 6.268607e-10 4.608375e-13
2.500000e+01 6.288995e+08 5.597973e-14 1.357289e+03 1.047691e-15 2.074163e-01 2.598627e-16 1.099898e-15 8.008786e-08 1.145569e-14 1.018916e-13
2.600000e+01 4.599202e+08 6.983901e-14 4.247806e+02 1.060728e-15 2.988398e+02 2.322959e-16 1.136623e-15 1.429707e-07 2.948355e-14 1.264060e-13
2.700000e+01 6.716034e+08 5.103544e-14 3.924398e+05 1.012841e-15 1.197808e-02 2.967396e-16 1.046918e-15 8.008786e-08 1.047723e-15 3.723653e-14
2.800000e+01 5.704502e+08 4.910667e-14 4.510332e+06 9.964198e-16 1.164151e-02 2.746214e-16 1.022154e-15 8.008786e-08 7.012696e-16 2.400727e-14
2.900000e+01 4.890698e+08 4.725079e-14 5.183749e+07 9.802738e-16 1.131441e-02 2.541518e-16 9.979765e-16 8.008786e-08 4.693787e-16 1.547805e-14
3.000000e+01 7.838612e+08 5.898472e-14 1.219273e+08 9.920922e-16 2.081741e-05 2.014195e-16 1.028069e-15 3.205340e-08 5.225694e-16 1.686439e-14
3.100000e+01 5.920864e+08 4.440727e-14 2.476158e+09 9.497805e-16 1.747829e-03 2.131528e-16 9.526556e-16 8.008786e-08 2.788838e-16 7.026290e-15
3.200000e+01 5.241345e+08 3.680992e-15 6.251614e+09 9.615716e-16 7.802280e-01 2.410264e-16 9.807243e-16 1.429707e-07 2.817705e-16 7.504978e-15
3.300000e+01 7.460442e+08 3.668895e-14 1.583511e+10 9.221665e-16 5.167112e-04 2.030076e-16 9.119034e-16 8.008786e-08 2.400951e-16 3.742878e-15
3.400000e+01 6.355844e+08 3.930843e-14 1.652542e+10 9.339863e-16 3.709903e+00 2.092035e-16 9.383323e-16 1.429707e-07 2.463987e-16 3.975815e-15
3.500000e+01 5.788020e+08 2.661864e-14 1.616218e+10 8.971818e-16 2.334066e-02 2.337521e-16 8.752319e-16 8.008786e-08 2.347322e-16 2.272427e-15
3.600000e+01 5.015558e+08 2.846355e-14 1.000719e+10 9.090810e-16 9.157624e-03 2.045627e-16 9.003449e-16 1.429707e-07 2.597356e-16 2.422046e-15
3.700000e+01 4.395314e+08 1.984004e-14 3.931173e+09 8.746070e-16 4.104439e+00 2.457308e-16 8.422191e-16 8.008786e-08 2.512050e-16 1.536540e-15
3.800000e+01 3.866501e+08 1.724064e-14 1.441481e+09 8.639518e-16 2.971895e+01 2.357775e-16 8.267113e-16 8.008786e-08 2.666814e-16 1.294664e-15
3.900000e+01 3.418715e+08 1.498182e-14 5.285615e+08 8.534178e-16 2.151856e+02 2.262274e-16 8.114890e-16 8.008786e-08 2.831111e-16 1.090863e-15
4.000000e+01 3.670805e+08 1.576834e-14 4.480864e+08 8.646622e-16 1.140123e+02 2.299997e-16 8.334709e-16 1.429707e-07 4.682713e-16 1.108551e-15
4.100000e+01 3.127725e+08 1.144366e-14 7.127166e+07 8.335002e-16 5.192407e+03 2.138140e-16 7.828261e-16 8.008786e-08 4.081826e-16 8.003507e-16
4.200000e+01 3.593978e+08 1.202320e-14 4.735082e+07 8.448603e-16 2.913514e+03 2.163653e-16 8.039925e-16 1.429707e-07 1.642925e-15 8.060178e-16
4.300000e+01 3.733320e+08 8.937316e-15 1.231757e+07 8.155450e-16 3.256044e+04 2.182540e-16 7.569790e-16 8.008786e-08 1.584877e-15 6.231240e-16
4.400000e+01 5.653206e+08 9.382799e-15 5.496880e+06 8.270624e-16 8.465759e+03 2.144951e-16 7.775272e-16 1.429707e-07 1.522823e-13 6.243996e-16
4.500000e+01 6.628805e+08 7.126662e-15 4.035412e+06 7.994101e-16 5.970687e+04 2.298647e-16 7.336868e-16 8.008786e-08 1.506635e-13 5.088844e-16
4.600000e+01 5.663883e+08 7.482726e-15 2.351768e+06 8.111248e-16 1.319310e+04 2.273625e-16 7.537903e-16 1.429707e-07 5.818676e-07 5.084032e-16
4.700000e+01 8.817179e+08 5.794934e-15 3.021417e+06 7.849712e-16 3.432861e+04 2.262686e-16 7.127219e-16 8.008786e-08 5.800151e-07 4.318587e-16
4.800000e+01 9.263549e+08 6.089832e-15 3.365343e+06 7.969221e-16 2.805995e+03 2.162173e-16 7.325360e-16 1.429707e-07 4.353508e-09 4.305779e-16
4.900000e+01 8.202698e+08 4.799413e-15 5.021512e+06 7.721194e-16 6.079830e+03 2.153130e-16 6.938863e-16 8.008786e-08 7.299779e-02 3.779562e-16
5.000000e+01 7.623580e+08 5.051642e-15 7.509176e+06 7.843455e-16 4.745788e+02 2.168040e-16 7.135521e-16 1.429707e-07 3.712153e-09 3.762243e-16
5.100000e+01 8.340528e+08 4.044307e-15 1.496231e+07 7.607602e-16 3.437152e+02 2.177194e-16 6.770071e-16 8.008786e-08 6.430536e-07 3.390296e-16
5.200000e+01 4.046017e+08 4.266400e-15 2.000847e+07 7.733009e-16 1.458222e+06 2.280446e-16 6.966553e-16 1.429707e-07 6.152675e-07 3.369590e-16
5.300000e+01 3.863603e+08 3.464159e-15 5.735473e+07 7.508114e-16 4.248722e+02 2.283720e-16 6.619340e-16 8.008786e-08 1.518408e-13 3.101304e-16
5.400000e+01 9.088565e+08 3.664920e-15 1.444917e+08 7.637072e-16 1.412567e+03 2.274100e-16 6.816880e-16 1.429707e-07 1.313729e-13 3.077367e-16
5.500000e+01 4.542514e+08 3.013495e-15 1.963355e+08 7.422026e-16 1.419801e+04 2.267214e-16 6.485360e-16 8.008786e-08 1.470446e-15 2.881177e-16
5.600000e+01 4.520998e+08 3.199356e-15 4.021018e+08 7.554956e-16 2.444108e+04 2.173258e-16 6.685150e-16 1.429707e-07 9.728097e-16 2.853771e-16
