long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Gemella g_Parvimonas Atopobium_vaginae Prevotella_bivia g_Dialister
3.500000e+01 1.504701e+08 2.599916e+08 1.272987e+08 7.821837e-16 2.330982e-02 2.554651e-16 2.547333e-16 1.285160e-14 2.936635e-15 2.377177e-16
3.600000e+01 3.400531e+08 6.609296e+08 1.293803e+08 7.821865e-16 7.062319e-06 2.895782e-16 2.885426e-16 6.434436e-14 2.936637e-15 2.538933e-16
3.700000e+01 7.540606e+08 5.360823e+08 1.382558e+08 7.821828e-16 3.370088e+01 2.554039e-16 2.547333e-16 1.088238e-13 2.936632e-15 2.377172e-16
3.800000e+01 6.101097e+08 3.111243e+08 1.330709e+08 7.821907e-16 4.108742e+01 3.640994e-16 3.623217e-16 1.379443e-11 2.936641e-15 2.883385e-16
3.900000e+01 9.009212e+08 2.451404e+08 1.360051e+08 7.821837e-16 5.967366e+04 2.554651e-16 2.547333e-16 1.807954e-11 2.936635e-15 2.377177e-16
4.000000e+01 1.338534e+09 8.245490e+08 1.556227e+08 7.821910e-16 2.390658e+05 3.643027e-16 3.623217e-16 1.387643e-07 2.936644e-15 2.883400e-16
4.100000e+01 1.063799e+09 4.502243e+08 1.368970e+08 7.821839e-16 2.874358e+06 2.555683e-16 2.547333e-16 1.247810e-07 2.936637e-15 2.377185e-16
4.200000e+01 4.547586e+08 1.593408e+08 1.066219e+08 7.821919e-16 5.332310e+05 5.147620e-16 5.117018e-16 2.866882e-10 2.936647e-15 3.622575e-16
4.300000e+01 9.977619e+08 9.090493e+08 1.346799e+08 7.821881e-16 1.698529e+07 3.230354e-16 3.215533e-16 1.234861e-04 2.936642e-15 2.702665e-16
4.400000e+01 7.810878e+08 5.869776e+08 1.300910e+08 7.821909e-16 1.809907e+07 3.641751e-16 3.623217e-16 4.442900e-04 2.936643e-15 2.883390e-16
4.500000e+01 6.114797e+08 3.790143e+08 1.256585e+08 7.821881e-16 1.928588e+07 3.230354e-16 3.215533e-16 1.598509e-03 2.936642e-15 2.702665e-16
4.600000e+01 5.740742e+08 1.297283e+08 1.281309e+08 7.821919e-16 1.688604e+07 5.147618e-16 5.117018e-16 3.118858e-06 2.936648e-15 3.622575e-16
4.700000e+01 4.042212e+08 9.980282e+07 1.185144e+08 7.821839e-16 1.989723e+07 2.555682e-16 2.547333e-16 1.238623e-03 2.936640e-15 2.377185e-16
4.800000e+01 9.185878e+08 3.883529e+08 1.598834e+08 7.821908e-16 6.025067e+07 3.642272e-16 3.623217e-16 1.089422e+01 2.936648e-15 2.883395e-16
4.900000e+01 4.684796e+08 1.443606e+08 1.209299e+08 7.821830e-16 3.679096e+07 2.554043e-16 2.547333e-16 5.622338e-03 2.936642e-15 2.377172e-16
5.000000e+01 3.257478e+08 1.075436e+08 9.804366e+07 7.821877e-16 1.837663e+07 2.896676e-16 2.885427e-16 4.305505e-04 2.936653e-15 2.538940e-16
5.100000e+01 6.077733e+08 4.198345e+08 1.138310e+08 7.821889e-16 4.582190e+07 2.896249e-16 2.885427e-16 1.394173e-03 2.936662e-15 2.538936e-16
5.200000e+01 5.587388e+08 2.235953e+08 1.207419e+08 7.821899e-16 3.386260e+07 2.553429e-16 2.547332e-16 1.744111e-02 2.936670e-15 2.377168e-16
5.300000e+01 4.729941e+08 2.252787e+08 1.054818e+08 7.822224e-16 1.595383e+07 2.895357e-16 2.885426e-16 5.635162e-06 2.936704e-15 2.538930e-16
5.400000e+01 2.722103e+08 6.627962e+07 8.858219e+07 7.823466e-16 5.029609e+06 2.554649e-16 2.547333e-16 1.272292e-02 2.936747e-15 2.377177e-16
5.500000e+01 5.405919e+08 4.542074e+08 1.196251e+08 7.821865e-16 3.448024e+06 2.895782e-16 2.885426e-16 2.083976e-09 2.936636e-15 2.538933e-16
5.600000e+01 2.622579e+08 1.418285e+08 9.282219e+07 7.823457e-16 8.278329e+05 2.554039e-16 2.547333e-16 1.647626e-08 2.936743e-15 2.377172e-16
5.700000e+01 1.053675e+08 6.795854e+07 6.165922e+07 7.822267e-16 2.261421e+04 3.640990e-16 3.623217e-16 1.020652e-08 2.936708e-15 2.883385e-16
5.800000e+01 1.427524e+08 4.866465e+08 7.560267e+07 7.821916e-16 1.570923e+04 2.554648e-16 2.547333e-16 5.524092e-12 2.936674e-15 2.377177e-16
5.900000e+01 4.061724e+07 2.395796e+08 5.169282e+07 7.821925e-16 4.473108e+00 3.640990e-16 3.623217e-16 3.766692e-12 2.936665e-15 2.883385e-16
6.000000e+01 3.423747e+07 1.279965e+08 5.423490e+07 7.821831e-16 2.300807e+00 2.554039e-16 2.547333e-16 5.205348e-14 2.936646e-15 2.377172e-16
6.100000e+01 7.046746e+06 1.633064e+06 3.986333e+07 7.821866e-16 1.167274e-07 2.895782e-16 2.885426e-16 2.956475e-14 2.936646e-15 2.538933e-16
6.200000e+01 2.186139e+07 4.719457e+08 8.571849e+07 7.821837e-16 1.701520e-05 2.554651e-16 2.547333e-16 6.464670e-15 2.936641e-15 2.377177e-16
6.300000e+01 2.707009e+06 2.100725e+06 2.987453e+07 7.821865e-16 7.377958e-10 2.895782e-16 2.885426e-16 2.706605e-15 2.936640e-15 2.538933e-16
6.400000e+01 2.443906e+06 9.557307e+08 3.239065e+07 7.821828e-16 1.797046e-13 2.554039e-16 2.547333e-16 9.985790e-16 2.936634e-15 2.377172e-16
6.500000e+01 1.736271e+06 4.244999e+08 2.818281e+07 7.821907e-16 1.766149e-13 3.640998e-16 3.623217e-16 1.043339e-15 2.936643e-15 2.883385e-16
6.600000e+01 1.408146e+06 4.131100e+08 2.792599e+07 7.821837e-16 3.529325e-15 2.554654e-16 2.547333e-16 5.523451e-16 2.936636e-15 2.377177e-16
6.700000e+01 2.360149e+06 3.261062e+08 3.367150e+07 7.821910e-16 4.500835e-15 3.645205e-16 3.623218e-16 6.291898e-16 2.936645e-15 2.883437e-16
6.800000e+01 1.088769e+06 1.459559e+08 2.469025e+07 7.821840e-16 7.879539e-16 2.557443e-16 2.547333e-16 4.125510e-16 2.936639e-15 2.377217e-16
6.900000e+01 1.006284e+06 1.928599e+08 3.511335e+07 7.821920e-16 1.954725e-15 8.435033e-16 8.412050e-16 5.640468e-16 2.936649e-15 7.514811e-16
