long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister
3.800000e+01 9.412799e+03 5.448399e+08 1.246775e-06 8.707994e-13 2.809171e-15 7.647995e-16 3.039706e-15 2.944033e-15 3.200612e-15
3.900000e+01 9.412815e+03 3.851482e+08 1.538893e-04 1.820676e-12 2.809134e-15 7.649299e-16 2.993309e-15 2.933530e-15 1.607222e-15
4.000000e+01 9.412799e+03 5.439095e+08 5.430181e-02 2.140398e-12 2.809123e-15 7.649000e-16 2.994284e-15 2.944572e-15 2.238080e-15
4.100000e+01 9.412815e+03 5.056320e+08 7.775478e-03 1.763859e-12 2.809100e-15 7.648705e-16 2.951568e-15 2.935071e-15 1.420241e-15
4.200000e+01 9.412799e+03 6.515236e+08 6.890564e-03 2.081386e-12 2.809098e-15 7.648556e-16 2.955150e-15 2.947136e-15 2.349869e-15
4.300000e+01 9.412817e+03 7.491778e+08 6.086093e-01 1.721168e-12 2.809081e-15 7.648374e-16 2.915665e-15 2.938633e-15 1.740916e-15
4.400000e+01 9.412799e+03 6.834965e+08 4.323188e-01 2.039237e-12 2.809085e-15 7.648309e-16 2.921562e-15 2.757606e-15 3.739114e-15
4.500000e+01 9.412818e+03 8.249720e+08 1.509446e+01 1.691615e-12 2.809072e-15 7.648189e-16 2.884929e-15 2.930562e-15 3.068428e-15
4.600000e+01 9.412799e+03 9.577522e+08 1.213243e+01 2.012951e-12 2.809078e-15 7.648171e-16 2.892901e-15 2.930942e-15 9.787635e-15
4.700000e+01 9.412724e+03 8.372939e+08 1.525624e+02 1.674527e-12 2.809067e-15 7.648086e-16 2.858801e-15 2.910916e-15 8.593786e-15
4.800000e+01 9.412799e+03 1.901263e+09 1.188782e+02 2.001918e-12 2.809074e-15 7.648094e-16 2.868652e-15 2.912226e-15 4.993085e-14
4.900000e+01 9.412729e+03 2.051477e+09 7.956484e+02 1.669518e-12 2.809064e-15 7.648029e-16 2.836818e-15 2.893278e-15 4.586298e-14
5.000000e+01 9.412799e+03 2.117689e+09 4.011384e+02 2.005891e-12 2.809072e-15 7.648050e-16 2.848388e-15 2.895468e-15 6.610089e-13
5.100000e+01 9.412827e+03 6.091872e+09 2.242645e+03 1.676477e-12 2.809063e-15 7.647996e-16 2.818597e-15 2.877532e-15 6.266275e-13
5.200000e+01 9.412799e+03 2.752765e+09 6.807932e+02 2.024978e-12 2.809071e-15 7.648025e-16 2.831760e-15 2.880559e-15 3.568409e-11
5.300000e+01 9.412827e+03 5.355066e+09 3.158445e+03 1.695559e-12 2.809062e-15 7.647976e-16 2.803827e-15 2.863574e-15 3.476060e-11
5.400000e+01 9.412799e+03 1.419165e+09 8.168336e+02 7.199933e-13 2.809070e-15 7.648010e-16 2.818487e-15 2.867399e-15 4.042347e-14
5.500000e+01 9.412820e+03 1.167575e+09 2.234014e+03 1.692718e-12 2.809061e-15 7.647963e-16 2.792258e-15 2.851314e-15 1.888070e-10
5.600000e+01 9.412799e+03 7.419653e+08 6.493487e+02 2.025588e-12 2.809069e-15 7.647998e-16 2.808345e-15 2.855905e-15 2.359598e-09
5.700000e+01 9.412817e+03 2.112379e+08 9.242187e+02 1.668062e-12 2.809060e-15 7.647952e-16 2.783699e-15 2.840672e-15 1.353356e-10
5.800000e+01 9.412799e+03 4.516554e+08 3.463709e+05 2.007104e-12 2.809067e-15 7.647987e-16 2.801168e-15 2.846003e-15 5.808997e-09
5.900000e+01 9.412815e+03 1.706354e+08 1.471852e+03 1.655566e-12 2.809057e-15 7.647939e-16 2.778008e-15 2.831582e-15 1.016304e-09
6.000000e+01 9.412715e+03 2.475521e+08 1.543272e+03 2.003780e-12 2.809064e-15 7.647972e-16 2.796838e-15 2.837631e-15 4.637752e-12
6.100000e+01 9.412812e+03 2.148135e+08 3.848665e+03 2.009686e-12 2.809063e-15 7.647968e-16 2.796334e-15 2.834176e-15 5.672040e-08
6.200000e+01 9.412715e+03 4.941951e+08 8.074684e+03 2.023263e-12 2.809065e-15 7.647975e-16 2.797756e-15 2.831434e-15 1.775829e-12
6.300000e+01 9.412815e+03 3.570629e+08 2.405812e+04 1.678165e-12 2.809059e-15 7.647946e-16 2.779776e-15 2.819222e-15 2.040873e-10
6.400000e+01 9.412799e+03 4.601188e+08 1.719905e+04 7.103871e-13 2.809070e-15 7.647998e-16 2.803940e-15 2.827370e-15 4.390701e-10
6.500000e+01 9.412819e+03 6.732765e+08 4.836266e+04 1.681326e-12 2.809063e-15 7.647968e-16 2.787268e-15 2.815869e-15 4.617600e-12
6.600000e+01 9.412799e+03 8.588850e+08 2.825420e+04 2.044388e-12 2.809074e-15 7.648021e-16 2.813023e-15 2.824714e-15 2.198916e-11
6.700000e+01 9.412820e+03 9.981717e+08 7.341420e+04 1.664325e-12 2.809069e-15 7.647994e-16 2.797689e-15 2.813906e-15 6.032818e-13
6.800000e+01 9.412799e+03 8.312778e+08 2.667634e+04 2.038088e-12 2.809081e-15 7.648052e-16 2.825156e-15 2.823448e-15 1.247505e-11
