long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_gasseri Gardnerella_vaginalis g_Gemella Atopobium_vaginae Prevotella_bivia g_Dialister
4.300000e+01 8.019152e+09 2.222282e-16 2.555817e+08 3.060488e+08 9.398606e-12 1.319727e+05 1.207156e-15 3.036714e-15
4.400000e+01 2.653522e+09 2.225743e-16 4.598606e+08 1.089634e+08 9.619616e-12 4.071149e-04 1.217294e-15 4.595761e-15
4.500000e+01 2.186916e+09 2.225684e-16 4.907714e+08 6.995561e+07 9.421435e-12 2.166183e-04 8.890055e-16 3.687850e-15
4.600000e+01 1.167872e+09 2.236030e-16 8.212241e+08 1.152930e+08 9.653991e-12 2.367122e-04 8.977920e-16 6.225710e-15
4.700000e+01 3.264413e+08 2.236009e-16 1.258103e+09 2.908663e+07 9.465622e-12 5.961459e-13 6.943486e-16 5.210765e-15
4.800000e+01 2.899232e+08 2.267125e-16 1.056555e+09 4.379963e+07 9.710477e-12 8.166323e-13 7.026466e-16 1.011559e-14
4.900000e+01 1.034106e+08 2.267118e-16 2.191934e+09 3.758020e+07 9.531601e-12 3.077374e-15 5.691598e-16 8.727276e-15
5.000000e+01 3.214109e+08 2.362428e-16 1.283371e+09 3.273236e+07 9.789636e-12 9.398248e-15 5.775046e-16 2.027915e-14
5.100000e+01 2.151916e+08 2.362425e-16 1.694260e+09 4.901963e+07 9.620033e-12 1.949005e-15 4.855292e-16 1.781452e-14
5.200000e+01 5.098008e+08 2.670873e-16 3.011114e+08 6.305260e+06 9.892265e-12 1.023173e-13 4.943450e-16 5.230349e-14
5.300000e+01 2.573632e+09 2.670859e-16 3.611473e+08 1.346782e+07 9.731806e-12 6.566580e-14 4.281499e-16 4.605606e-14
5.400000e+01 1.050774e+10 3.850467e-16 3.085034e+07 1.845748e+04 8.954733e-12 8.326501e-08 4.378587e-16 1.842689e-13
5.500000e+01 2.828588e+10 3.849962e-16 1.411054e+07 3.493545e+04 9.807770e-12 7.334277e-08 3.882049e-16 1.587250e-13
5.600000e+01 7.386854e+09 1.148639e-15 3.196000e+04 4.929772e-04 1.004815e-11 2.332357e-16 3.993091e-16 3.010789e-16
5.700000e+01 1.562721e+10 1.144654e-15 1.848638e+04 6.642073e-04 9.847305e-12 7.420977e-08 3.604195e-16 1.871821e-13
5.800000e+01 1.828211e+08 3.231571e-14 8.943082e-04 1.884169e-03 1.010109e-11 1.187911e-07 3.736017e-16 3.075812e-13
5.900000e+01 3.693656e+07 2.943037e-14 9.670210e-04 1.442941e-11 9.910644e-12 6.950051e-14 3.415630e-16 7.620844e-14
6.000000e+01 2.051425e+02 8.636819e-09 8.727974e+00 4.376096e-10 9.040135e-12 5.564172e-13 3.578499e-16 1.479035e-13
6.100000e+01 2.487136e+02 4.685504e-10 4.845711e-10 6.327270e-14 9.934183e-12 2.393875e-15 3.296549e-16 4.249850e-14
6.200000e+01 1.684093e-01 6.560094e-07 4.574244e-11 2.554043e-14 9.919866e-12 1.589622e-15 3.252624e-16 3.416466e-14
6.300000e+01 1.140336e-04 9.184675e-04 4.317985e-12 1.030956e-14 9.905378e-12 1.055569e-15 3.209285e-16 2.746506e-14
6.400000e+01 7.721457e-08 1.285931e+00 4.076080e-13 4.161518e-15 9.890710e-12 7.009372e-16 3.166523e-16 2.207923e-14
6.500000e+01 5.228365e-11 1.800409e+03 3.847727e-14 1.679823e-15 9.875852e-12 4.654485e-16 3.124330e-16 1.774955e-14
6.600000e+01 1.019632e-10 2.404471e+01 1.883120e-13 3.133030e-15 1.009000e-11 5.877539e-16 3.335927e-16 4.443272e-14
6.700000e+01 5.073061e-16 2.543114e+07 1.720328e-15 5.064037e-16 9.857780e-12 2.777387e-16 3.062845e-16 1.283234e-14
6.800000e+01 6.411095e-16 1.401766e+05 1.038338e-14 1.039993e-15 1.008391e-11 3.418312e-16 3.324531e-16 4.132990e-14
