long.t Lactobacillus_iners Lactobacillus_crispatus Gardnerella_vaginalis g_Megasphaera g_Gemella g_Parvimonas Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister g_Mobiluncus
3.200000e+01 1.435881e+04 4.792324e-16 5.811159e+07 1.731497e+06 1.530553e+06 5.213762e+05 5.498149e+07 5.721107e+06 1.013200e-09 4.919526e+02 2.926994e+04
3.300000e+01 4.943627e+04 4.793715e-16 5.126558e+07 1.071416e+02 9.814810e+05 5.213762e+05 4.650554e+07 7.958749e+06 2.720738e-08 6.362345e+03 2.950255e+04
3.400000e+01 8.390808e+04 4.795336e-16 4.725553e+07 6.397716e+03 4.439693e+05 5.213763e+05 4.543135e+07 4.775590e+06 2.272841e-11 3.532763e+04 2.727306e+04
3.500000e+01 1.162336e+05 4.797214e-16 4.186947e+07 4.195232e+04 5.215444e+05 5.213763e+05 3.851150e+07 4.431645e+06 2.819052e-13 1.079656e+05 2.746778e+04
3.600000e+01 1.453770e+05 4.799382e-16 4.575634e+07 5.689542e+05 4.659328e+05 5.213763e+05 4.558556e+07 1.912677e+07 1.859726e-14 3.762847e+05 2.605782e+04
3.700000e+01 4.657891e+04 4.801877e-16 3.616408e+07 3.076996e+05 1.030781e+05 5.213762e+05 3.346773e+07 1.408301e+06 3.455437e-15 1.907340e+05 2.476872e+04
3.800000e+01 2.795962e+04 4.804743e-16 4.715259e+07 1.954273e+06 3.086835e+05 5.213763e+05 4.357626e+07 1.004719e+07 1.219916e-15 7.033150e+05 2.561801e+04
3.900000e+01 1.154628e+03 4.808029e-16 3.973551e+07 1.562442e+06 7.945048e+04 5.213762e+05 3.288965e+07 9.609564e+05 6.414887e-16 4.771560e+05 2.292405e+04
4.000000e+01 2.893215e+00 4.811792e-16 4.351132e+07 2.767234e+06 2.581013e+05 5.213763e+05 3.293628e+07 2.041481e+04 4.323301e-16 5.972607e+05 2.240257e+04
4.100000e+01 1.006116e+05 4.816097e-16 3.407818e+07 1.101257e+06 2.055045e-05 5.213762e+05 2.739015e+07 1.494847e-04 3.405583e-16 1.878929e+05 2.001129e+04
4.200000e+01 8.479379e-01 4.821020e-16 4.988458e+07 8.201668e+06 1.572675e+05 5.213763e+05 3.716016e+07 1.038702e-01 2.967177e-16 8.233556e+05 2.009579e+04
4.300000e+01 8.836114e+02 4.823554e-16 4.327013e+07 3.066893e+06 1.824284e-05 5.213762e+05 2.722958e+07 3.001901e-13 2.592250e-16 2.746952e+05 1.941117e+04
4.400000e+01 1.190707e+04 4.832263e-16 4.552824e+07 5.737148e+06 2.385862e-01 5.213762e+05 3.164069e+07 3.041070e-13 2.528894e-16 1.603735e+05 1.625209e+04
4.500000e+01 4.049387e+04 4.838779e-16 3.526831e+07 2.265397e+06 3.711029e+04 5.213762e+05 2.083417e+07 1.292299e-14 2.402386e-16 3.490840e+04 1.500190e+04
4.600000e+01 3.802028e+05 4.846309e-16 5.397137e+07 7.977816e+06 2.500749e+05 5.213763e+05 3.058904e+07 3.677101e-13 2.330502e-16 2.689349e+04 4.929960e+04
4.700000e+01 2.779678e+05 4.854987e-16 4.004291e+07 2.114586e+06 1.318508e+05 5.213762e+05 2.304685e+07 8.552649e-05 2.287815e-16 7.356540e+02 1.400567e+04
4.800000e+01 8.777521e+05 4.864967e-16 4.904488e+07 8.219679e+06 1.125942e+06 5.213762e+05 2.775198e+07 2.342962e-04 2.261970e-16 2.621932e+01 1.311246e+04
4.900000e+01 1.714875e+05 4.876428e-16 2.990995e+07 1.326106e+06 1.188612e+06 5.213761e+05 1.673781e+07 5.640235e+03 2.246201e-16 2.720388e+05 1.176615e+04
5.000000e+01 3.732354e+05 4.889576e-16 3.966329e+07 3.855833e+06 7.810601e+06 5.213762e+05 2.156494e+07 5.772814e+06 2.236584e-16 2.174405e+01 1.209505e+04
5.100000e+01 7.944994e+04 4.904651e-16 2.511286e+07 9.410296e+05 5.370892e+05 5.213761e+05 1.326939e+07 2.784249e+05 2.230791e-16 3.905302e+02 1.113136e+04
5.200000e+01 2.068342e+05 4.921929e-16 3.049867e+07 4.204361e+06 1.200548e+06 5.213762e+05 1.627754e+07 3.085872e+06 2.227453e-16 1.078518e+04 1.153483e+04
5.300000e+01 1.179533e+05 4.938466e-16 2.290152e+07 1.779330e+06 4.386180e+05 5.213761e+05 1.190382e+07 6.772188e+05 2.224185e-16 5.658758e+04 1.181109e+04
5.400000e+01 1.178102e+05 4.963561e-16 1.755878e+07 3.188618e+06 1.565832e+05 5.213761e+05 8.828623e+06 2.939053e+06 2.223587e-16 1.385665e+05 9.716301e+03
5.500000e+01 1.341499e+05 4.788171e-16 1.209650e+07 1.715112e+06 3.228091e+05 5.213761e+05 6.281179e+06 2.338628e+06 2.222348e-16 1.637865e+05 9.165536e+03
5.600000e+01 3.263842e+05 4.964035e-16 1.111871e+07 3.291697e+06 7.803186e+05 5.213761e+05 5.680309e+06 1.663650e+07 2.221614e-16 3.645693e+05 8.575953e+03
5.700000e+01 1.416898e+05 4.942679e-16 6.103120e+06 1.027088e+06 1.403564e+05 5.213760e+05 2.851542e+06 5.740438e+06 2.221169e-16 1.405820e+05 7.714117e+03
5.800000e+01 1.903762e+05 4.924222e-16 5.469536e+06 8.671808e+05 3.802290e+05 5.213760e+05 2.666129e+06 1.022571e+07 2.220895e-16 6.544267e+04 7.276175e+03
5.900000e+01 6.819472e+04 4.908316e-16 3.366732e+06 1.403731e+05 1.030153e+05 5.213760e+05 1.649775e+06 3.570821e+06 2.220727e-16 6.754464e+03 6.872392e+03
6.000000e+01 1.559561e+04 4.894669e-16 2.370348e+06 2.507768e+04 1.227838e+05 5.213759e+05 1.130583e+06 4.361778e+06 2.220626e-16 2.546105e+02 6.170986e+03
6.100000e+01 5.209850e+02 4.883028e-16 1.146152e+06 3.525965e+02 1.562761e-05 5.213759e+05 5.391945e+05 2.521973e+06 2.220566e-16 4.192600e-01 5.546744e+03
6.200000e+01 8.430915e-01 4.873184e-16 5.917005e+05 1.319047e+00 2.223177e-05 5.213758e+05 2.613739e+05 1.213046e+06 2.220535e-16 2.939143e-05 4.438385e+03
6.300000e+01 6.909002e+03 4.864956e-16 3.316201e+05 2.068865e-04 3.615593e-15 5.213757e+05 1.383300e+05 3.940834e+05 2.220525e-16 8.004974e-05 2.383907e+04
6.400000e+01 5.273178e-03 4.858197e-16 1.480002e+05 2.380764e-03 6.785738e-09 5.213757e+05 5.931623e+04 3.269687e+04 2.220535e-16 1.201459e-08 3.986979e+03
6.500000e+01 9.073165e-01 4.849650e-16 1.004952e+05 2.265091e-09 3.007927e-06 5.213756e+05 4.064974e+04 1.747056e+03 2.220531e-16 2.341877e-12 4.429914e+03
6.600000e+01 2.065944e-03 4.847805e-16 2.063375e+04 5.840093e-10 3.882529e-14 5.213755e+05 8.091091e+03 1.087274e-05 2.220595e-16 9.582169e-13 3.726893e+03
6.700000e+01 1.218361e+03 4.843989e-16 2.490916e+07 8.506104e-12 3.024109e-06 5.213761e+05 1.021449e+07 7.659657e+04 2.220665e-16 7.175253e-14 2.387245e+04
6.800000e+01 1.626488e-03 4.841270e-16 5.375022e+03 3.688100e-12 4.101758e-11 5.213755e+05 1.851187e+03 3.675298e-08 2.220828e-16 4.245217e-14 3.227905e+03
