long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Gemella g_Parvimonas Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister g_Mobiluncus
0.000000e+00 7.904227e+06 7.317601e-04 3.380786e-16 1.193809e-15 1.079777e+08 1.856911e+05 7.170585e+05 2.027858e+05 4.564447e+06 1.022398e+05 1.490812e-02 5.371598e+04 1.069554e-03
1.000000e+00 1.152439e+07 9.589828e-03 6.027650e-09 6.701779e-16 2.477834e+08 6.111760e+05 1.223225e+06 1.100341e+02 4.960854e+06 5.125158e+00 1.062667e-05 5.189791e+01 2.154215e-05
2.000000e+00 1.040647e+07 2.731092e-01 1.124445e-09 1.559399e-15 2.253546e+08 4.024614e+05 1.001921e+06 1.043235e+02 2.816328e+06 3.807351e+00 7.604087e-02 1.979231e+02 1.259217e-03
3.000000e+00 7.600256e+06 1.204890e-03 2.726641e-12 3.086371e-15 1.302416e+08 3.694706e+05 9.338301e+05 6.253796e+02 2.696311e+06 3.112067e+01 9.337503e-05 1.828316e+03 5.208985e-06
4.000000e+00 9.833684e+06 1.798026e-01 1.154525e-13 1.254583e-14 1.618849e+08 2.574951e+05 1.048547e+06 2.829850e+03 3.069901e+06 1.382297e+02 4.204328e-03 1.433606e+04 3.891983e-03
5.000000e+00 8.959588e+06 3.132544e-03 2.377760e-14 1.479573e-13 8.731805e+07 1.881622e+05 9.669121e+05 6.206677e+03 2.314305e+06 3.473361e+02 2.548394e-02 3.938645e+04 7.100207e-05
6.000000e+00 8.510270e+06 3.055741e-01 1.471592e-14 9.637687e-12 7.986228e+07 9.163432e+04 3.895262e+05 7.003052e+03 1.049395e+06 3.728894e+02 4.175008e-02 6.510156e+04 1.991157e-02
7.000000e+00 7.727252e+06 1.001441e-02 2.386005e-14 2.209940e-15 4.453289e+07 3.896487e+04 3.941260e+05 5.519934e+03 4.446633e+05 2.900907e+02 1.794701e-02 8.470089e+04 5.900130e-04
8.000000e+00 9.007958e+06 1.276314e+00 1.125467e-13 1.061850e-10 8.834643e+07 1.544005e+04 2.886360e+05 3.318598e+03 1.536689e+05 1.600582e+02 6.072821e+00 1.460715e+05 2.212243e-03
9.000000e+00 7.335662e+06 7.235668e-02 2.209683e-12 3.402123e-11 2.824931e+07 4.014401e+03 2.142630e+05 1.182487e+03 2.882930e+04 5.680106e+01 1.654040e+01 1.206617e+05 2.733136e-03
1.000000e+01 8.205947e+06 1.334126e+01 3.658848e-10 2.586741e-10 8.064320e+07 6.717066e+02 2.900849e+05 3.554514e+02 5.336970e+03 1.271701e+01 4.041873e-01 2.191336e+05 4.612006e-03
1.100000e+01 7.349852e+06 1.574518e+00 1.848297e-06 8.881667e-08 3.422932e+07 5.282633e+01 2.713120e+05 3.775962e+01 3.315950e+02 1.018839e+00 1.242454e+01 1.626792e+05 2.384476e-03
1.200000e+01 7.964666e+06 7.829260e+00 5.719951e-07 2.188467e-10 9.369399e+07 3.407410e+00 6.907024e+05 3.058294e+00 1.242423e+01 6.178848e-02 1.771283e+02 2.178672e+05 1.176165e-03
1.300000e+01 7.109656e+06 6.127569e+01 1.359023e-01 1.224719e-05 1.086668e+08 7.798181e-01 9.181240e+05 8.362614e-01 2.016069e+00 1.577788e-02 3.027559e+03 3.122233e+05 2.211270e-03
1.400000e+01 6.193003e+06 9.320439e+01 2.463765e+00 2.559461e+00 1.015311e+08 3.912024e+00 9.318192e+05 4.308343e+00 1.292696e+01 4.291313e-02 5.914856e+03 2.388430e+05 8.482737e-03
1.500000e+01 6.090001e+06 3.077534e+02 4.374512e+02 5.516290e-03 1.593117e+08 6.824958e-04 2.014566e+06 1.271223e-03 7.059429e-04 4.688721e-06 3.408398e+04 2.833306e+05 7.823422e-05
1.600000e+01 6.735578e+06 9.320608e+02 2.528873e+04 1.316014e+01 2.020457e+08 4.464103e-02 2.740481e+06 7.488850e-02 8.948085e-02 1.814266e-04 1.285717e+05 3.374175e+05 1.606138e-03
