long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Gemella g_Parvimonas Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister g_Mobiluncus
0.000000e+00 1.921882e+08 7.780000e-03 2.627761e-05 6.150295e-05 8.239375e+07 2.987887e+05 6.045151e-07 2.416610e+00 5.505585e+05 1.048796e-10 1.305323e-07 5.621573e+00 1.338880e-12
1.000000e+00 1.838063e+08 7.746085e-03 2.627618e-05 2.925656e-05 6.066387e+07 2.987890e+05 2.590558e-07 2.416263e+00 5.305523e+05 3.151698e-13 1.305261e-07 3.023001e+00 7.072973e-13
2.000000e+00 1.806629e+08 7.780006e-03 2.627773e-05 6.150196e-05 7.034591e+07 2.987918e+05 5.990771e-07 2.416225e+00 5.380781e+05 8.493307e-11 1.306292e-07 4.764677e+03 1.695639e-12
3.000000e+00 2.131430e+08 7.746209e-03 2.627624e-05 2.869050e-05 6.446846e+07 2.987895e+05 5.979725e-07 2.416213e+00 5.228672e+05 4.063729e-11 1.305263e-07 3.186154e+00 2.133246e-11
4.000000e+00 2.050700e+08 7.759401e-03 2.627679e-05 4.137508e-05 6.982796e+07 2.987937e+05 4.204412e-07 2.417413e+00 5.607350e+05 3.099157e-11 1.305855e-07 2.510637e+01 5.601356e-11
5.000000e+00 2.210245e+08 7.746345e-03 2.627733e-05 2.926065e-05 6.100853e+07 2.987888e+05 2.732881e-07 2.416018e+00 5.231757e+05 2.649611e-13 1.305227e-07 5.798587e+00 1.465118e-13
6.000000e+00 1.862061e+08 7.748566e-03 2.627748e-05 6.149859e-05 6.969668e+07 2.987894e+05 6.021405e-07 2.415977e+00 5.395187e+05 2.537078e-11 1.306238e-07 6.059757e+00 2.227976e-09
7.000000e+00 1.804542e+08 7.742876e-03 2.627627e-05 2.831036e-05 8.589593e+07 2.987900e+05 6.043990e-07 2.416056e+00 5.667329e+05 2.019555e-12 1.306223e-07 8.815593e+02 9.602020e-10
8.000000e+00 1.771467e+08 7.780011e-03 2.627819e-05 6.149617e-05 7.003714e+07 2.987855e+05 6.108759e-07 2.415687e+00 5.339015e+05 8.388069e-13 1.306212e-07 6.819826e+00 9.225414e-09
9.000000e+00 1.692929e+08 7.742371e-03 2.627694e-05 2.873988e-05 7.676834e+07 2.987850e+05 6.217053e-07 2.419766e+00 5.561809e+05 1.258744e-12 1.306206e-07 9.917506e+00 4.958149e-12
1.000000e+01 1.762114e+08 7.759391e-03 2.627795e-05 4.137427e-05 7.147209e+07 2.987813e+05 4.544801e-07 2.416451e+00 5.490094e+05 1.283468e-12 1.305787e-07 2.623942e+01 6.164316e-09
1.100000e+01 1.590557e+08 7.746246e-03 2.627707e-05 2.898620e-05 6.691395e+07 2.987747e+05 3.031651e-07 2.419481e+00 5.646838e+05 3.656725e-11 1.305097e-07 8.449848e+00 1.684050e-07
1.200000e+01 1.472405e+08 7.747331e-03 2.627849e-05 6.148968e-05 7.663793e+07 2.987552e+05 3.200883e-07 2.415129e+00 5.280265e+05 2.819143e-13 1.306193e-07 5.727276e+00 6.919581e-12
1.300000e+01 1.443942e+08 7.746818e-03 2.627682e-05 2.939949e-05 7.363731e+07 2.987872e+05 6.685584e-07 2.419312e+00 5.152225e+05 9.231234e-11 1.305048e-07 3.433160e+00 1.596224e-08
1.400000e+01 2.021893e+08 7.779969e-03 2.627826e-05 6.148578e-05 7.421086e+07 2.987587e+05 3.170120e-07 2.414614e+00 4.950719e+05 8.101901e-11 1.306176e-07 1.374005e+02 6.022126e-09
