long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Parvimonas Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister g_Mobiluncus
2.900000e+01 1.424424e-08 4.851716e+07 2.220446e-16 1.607052e+05 6.072860e-04 7.998227e-02 6.408944e-11 5.062276e-03 5.645489e-13 3.366470e-08 2.258566e-16 9.931347e-05
3.000000e+01 1.424421e-08 1.203912e+08 2.220446e-16 3.339004e+05 6.072567e-04 7.997657e-02 6.410854e-11 5.059994e-03 8.953964e-13 4.609393e-07 2.274259e-16 1.388736e-05
3.100000e+01 1.424425e-08 8.563157e+07 2.220446e-16 1.873823e+05 6.072860e-04 7.998104e-02 6.408940e-11 5.062726e-03 5.645531e-13 3.013909e-09 2.237874e-16 8.055012e-05
3.200000e+01 1.424428e-08 4.322501e+07 2.220446e-16 2.195193e+05 6.072503e-04 7.997384e-02 6.410851e-11 5.059558e-03 8.954048e-13 1.177131e-07 3.016091e-16 7.735851e-06
3.300000e+01 1.424425e-08 2.019636e+08 2.220446e-16 5.589124e+05 6.072665e-04 7.997730e-02 6.408938e-11 5.061022e-03 5.645589e-13 1.660863e-09 2.684029e-16 4.655745e-05
3.400000e+01 1.424426e-08 1.906040e+08 2.220446e-16 8.074768e+05 6.072507e-04 7.997496e-02 6.408937e-11 5.059615e-03 5.645622e-13 1.903064e-09 3.199650e-16 3.239990e-05
3.500000e+01 1.424427e-08 1.820250e+08 2.220446e-16 1.167497e+06 6.072457e-04 7.997321e-02 6.408936e-11 5.059163e-03 5.645656e-13 2.180584e-09 3.814325e-16 2.254748e-05
3.600000e+01 1.424427e-08 1.758462e+08 2.220446e-16 1.692714e+06 6.072441e-04 7.997194e-02 6.408936e-11 5.059022e-03 5.645689e-13 2.498574e-09 4.547083e-16 1.569107e-05
3.700000e+01 1.424428e-08 1.718044e+08 2.220446e-16 2.465944e+06 6.072437e-04 7.997107e-02 6.408935e-11 5.058990e-03 5.645722e-13 2.862936e-09 5.420610e-16 1.091960e-05
3.800000e+01 1.424428e-08 1.697326e+08 2.220446e-16 3.616886e+06 6.072440e-04 7.997054e-02 6.408934e-11 5.059022e-03 5.645755e-13 3.280433e-09 6.461947e-16 7.599086e-06
3.900000e+01 1.424429e-08 1.695470e+08 2.220446e-16 5.352234e+06 6.072451e-04 7.997030e-02 6.408934e-11 5.059163e-03 5.645788e-13 3.758812e-09 7.703332e-16 5.288297e-06
4.000000e+01 1.424429e-08 1.712399e+08 2.220446e-16 8.007574e+06 6.072489e-04 7.997036e-02 6.408933e-11 5.059615e-03 5.645821e-13 4.306952e-09 9.183196e-16 3.680190e-06
4.100000e+01 1.424430e-08 1.748799e+08 2.220446e-16 1.213879e+07 6.072608e-04 7.997070e-02 6.408932e-11 5.061023e-03 5.645854e-13 4.935026e-09 1.094735e-15 2.561089e-06
4.200000e+01 1.424426e-08 1.178809e+08 2.220446e-16 7.003272e+06 6.072326e-04 7.996490e-02 6.410844e-11 5.059375e-03 8.954620e-13 5.978840e-07 2.029993e+01 2.086254e-05
4.300000e+01 1.424431e-08 1.443830e+08 2.220446e-16 1.591053e+07 6.072306e-04 7.996903e-02 6.408932e-11 5.062219e-03 5.645929e-13 1.664455e-08 3.869512e-06 1.513964e-06
4.400000e+01 1.424433e-08 1.234269e+08 2.220446e-16 1.800555e+07 6.072409e-04 7.996058e-02 6.410845e-11 5.058507e-03 8.954765e-13 4.883078e-06 5.846551e-06 1.416163e-05
4.500000e+01 1.424431e-08 1.005551e+08 2.220446e-16 1.587785e+07 6.071863e-04 7.996157e-02 6.408934e-11 5.057522e-03 5.646019e-13 4.174673e-07 3.947095e+04 1.329631e-06
4.600000e+01 1.424427e-08 9.738970e+07 2.220446e-16 2.772204e+07 6.072413e-04 7.997210e-02 6.410848e-11 5.060066e-03 5.588951e-14 1.769034e-08 8.290972e+04 1.561412e-05
4.700000e+01 1.424431e-08 8.528136e+07 2.220446e-16 3.317833e+07 6.072319e-04 7.995802e-02 6.408937e-11 5.057276e-03 5.646077e-13 8.294365e-06 2.906120e+05 1.730955e-06
4.800000e+01 1.424427e-08 8.671428e+07 2.220446e-16 2.737553e+07 6.072378e-04 7.995265e-02 6.403753e-11 5.056833e-03 5.492789e-14 1.591702e-07 1.650135e+05 1.463879e-07
4.900000e+01 1.424430e-08 8.571664e+07 2.220446e-16 5.071932e+07 6.072767e-04 7.995713e-02 6.408939e-11 5.057256e-03 5.646053e-13 1.398393e-05 3.713640e+05 2.219101e-06
5.000000e+01 1.424432e-08 8.296799e+07 2.220446e-16 2.778062e+07 6.072390e-04 7.997025e-02 6.410851e-11 5.059996e-03 8.954889e-13 3.733773e-03 1.809886e+05 1.441997e-07
5.100000e+01 1.424429e-08 8.595961e+07 2.220446e-16 2.432399e+07 6.072337e-04 7.995865e-02 6.408939e-11 5.057304e-03 5.645996e-13 2.842239e-05 1.089114e+05 1.873129e-06
5.200000e+01 1.424431e-08 7.896073e+07 2.220446e-16 2.058962e+07 6.072501e-04 7.995677e-02 6.410853e-11 5.057889e-03 8.954826e-13 3.228208e-07 1.022280e+05 2.705913e-05
5.300000e+01 1.424429e-08 7.944976e+07 2.220446e-16 1.048629e+07 6.072150e-04 7.996350e-02 6.408942e-11 5.060278e-03 5.645956e-13 7.452000e-05 3.991190e+04 1.569554e-06
5.400000e+01 1.424429e-08 7.537884e+07 2.220446e-16 8.064489e+06 6.072348e-04 7.996412e-02 6.408943e-11 5.059425e-03 5.645939e-13 6.950663e-05 2.977813e+04 1.586389e-06
5.500000e+01 1.424429e-08 7.190718e+07 2.220446e-16 6.284302e+06 6.072424e-04 7.996462e-02 6.408945e-11 5.059257e-03 5.645923e-13 6.483054e-05 2.221735e+04 1.603406e-06
5.600000e+01 1.424429e-08 6.894773e+07 2.220446e-16 4.955400e+06 6.072487e-04 7.996503e-02 6.408946e-11 5.059533e-03 5.645907e-13 6.046903e-05 1.657629e+04 1.620605e-06
5.700000e+01 1.424429e-08 6.643041e+07 2.220446e-16 3.948988e+06 6.072627e-04 7.996539e-02 6.408948e-11 5.060647e-03 5.645890e-13 5.640095e-05 1.236751e+04 1.637988e-06
5.800000e+01 1.424425e-08 4.356063e+06 2.220446e-16 3.001388e+05 6.072422e-04 7.995942e-02 6.403964e-11 5.058835e-03 8.954730e-13 1.319931e-08 3.455784e-08 3.854613e-08
5.900000e+01 1.424429e-08 1.913049e+07 2.220446e-16 9.234465e+05 6.072602e-04 7.996275e-02 6.408949e-11 5.060312e-03 5.645866e-13 1.606341e-05 1.441405e-01 1.366278e-06
6.000000e+01 1.424428e-08 5.669111e+06 2.220446e-16 2.688623e+05 6.072399e-04 7.995959e-02 6.408948e-11 5.058386e-03 5.645858e-13 4.904962e-06 2.251618e-06 1.127545e-06
6.100000e+01 1.424428e-08 1.659324e+06 2.220446e-16 7.787779e+04 6.072146e-04 7.995602e-02 6.408947e-11 5.055659e-03 5.645850e-13 1.497730e-06 3.517251e-11 9.305269e-07
6.200000e+01 1.424430e-08 5.378730e+07 2.220446e-16 2.160749e+06 6.072440e-04 7.996794e-02 6.410858e-11 5.059003e-03 8.954726e-13 1.911455e-01 2.255199e+04 5.710568e-05
