long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Gemella g_Parvimonas Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister g_Mobiluncus
0.000000e+00 3.542230e-08 2.380917e+02 9.888070e-16 1.760091e-15 5.556354e+07 5.058330e+05 6.831621e+06 6.839388e+06 6.733889e+07 3.623518e-02 1.618909e-15 4.541537e-01 7.630948e+02
1.000000e+00 3.544644e-08 2.380987e+02 2.504255e-16 1.760091e-15 1.200643e+08 6.986941e+07 2.072620e+07 2.171093e+07 2.187926e+08 3.623519e-02 1.618364e-15 5.209129e-01 7.665391e+02
2.000000e+00 3.535174e-08 2.380882e+02 3.464475e-16 1.760091e-15 6.793221e+07 2.394677e+06 1.323086e+07 3.173978e+06 1.209967e+08 3.623518e-02 1.618854e-15 4.481261e-01 7.638877e+02
3.000000e+00 3.544253e-08 2.380940e+02 2.504254e-16 1.760091e-15 1.406820e+08 1.915139e+07 3.494318e+07 1.261765e+07 6.057356e+08 3.623519e-02 1.618354e-15 5.208244e-01 7.665260e+02
4.000000e+00 3.540292e-08 2.380817e+02 3.464474e-16 1.760091e-15 6.703345e+07 2.049205e+06 1.583473e+07 2.023492e+07 1.185056e+08 3.623518e-02 1.618854e-15 4.554966e-01 7.637002e+02
5.000000e+00 3.521436e-08 2.380844e+02 2.504254e-16 1.760091e-15 1.014073e+08 3.909108e+06 1.579200e+07 6.154134e+06 1.489633e+08 3.623519e-02 1.618363e-15 5.206763e-01 7.662558e+02
6.000000e+00 3.537242e-08 2.381198e+02 4.913146e-16 1.760091e-15 7.391656e+07 2.877960e+05 8.327624e+06 1.602430e+06 7.320965e+07 3.623518e-02 1.618907e-15 4.568751e-01 7.640469e+02
7.000000e+00 3.529153e-08 2.380833e+02 3.105533e-16 1.760091e-15 6.591405e+07 1.026034e+06 5.994432e+06 8.429053e+06 2.855213e+07 3.623518e-02 1.618649e-15 5.204727e-01 7.657640e+02
8.000000e+00 3.535094e-08 2.380883e+02 3.464474e-16 1.760091e-15 5.830946e+07 5.315205e+05 4.246175e+06 5.088765e+06 2.018794e+07 3.623518e-02 1.618852e-15 5.203572e-01 7.654747e+02
9.000000e+00 3.529125e-08 2.380932e+02 3.105533e-16 1.760091e-15 5.521208e+07 7.255460e+05 3.387669e+06 3.821116e+06 1.695059e+07 3.623517e-02 1.618649e-15 5.202418e-01 7.651906e+02
1.000000e+01 3.537105e-08 2.380876e+02 4.913147e-16 1.760091e-15 4.987311e+07 4.794154e+05 7.399807e+06 1.232313e+07 4.712683e+07 3.623518e-02 1.618909e-15 7.083108e-01 7.625208e+02
1.100000e+01 3.520786e-08 2.381002e+02 2.504255e-16 1.760091e-15 5.672987e+07 4.839103e+06 6.186135e+06 1.178566e+07 4.775154e+07 3.623516e-02 1.618374e-15 5.200757e-01 7.645149e+02
1.200000e+01 3.537191e-08 2.380900e+02 9.755481e-16 1.760091e-15 2.581655e+07 1.125559e+05 9.865520e+05 1.055288e+06 5.966306e+06 3.623518e-02 1.618911e-15 4.492519e-01 7.615520e+02
1.300000e+01 3.529548e-08 2.381013e+02 5.101801e-16 1.760091e-15 4.598800e+07 1.757449e+06 6.320796e+06 1.464024e+07 5.832745e+07 3.623517e-02 1.618660e-15 5.199438e-01 7.636036e+02
