long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Gemella g_Parvimonas Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister g_Mobiluncus
0.000000e+00 8.403989e+06 3.235117e+05 4.400861e-12 3.554926e+07 3.740954e+07 1.711853e+06 9.785655e+06 3.566355e+07 6.943595e-16 1.694895e-09 6.460291e+06 1.254100e+07
1.000000e+00 7.516542e+06 5.901216e+05 1.448407e-12 3.731328e+07 4.442884e+07 1.071525e+06 1.153329e+07 3.885667e+07 6.943300e-16 1.690470e-09 6.733986e+06 1.635339e+07
2.000000e+00 6.980741e+06 5.162740e+05 4.475132e-12 3.441600e+07 3.417174e+07 5.661718e+05 1.017748e+07 3.397199e+07 6.943519e-16 1.694896e-09 4.811339e+06 1.210689e+07
3.000000e+00 7.610766e+06 4.142559e+05 1.739915e-12 3.664920e+07 4.148158e+07 1.065199e+06 1.109041e+07 3.769537e+07 6.943287e-16 1.690471e-09 5.771464e+06 1.479796e+07
4.000000e+00 7.406828e+06 8.288206e+05 5.363436e-12 3.969617e+07 7.198501e+07 3.031336e+06 1.822687e+07 4.676169e+07 6.943563e-16 1.694898e-09 1.340206e+07 2.192109e+07
5.000000e+00 7.612167e+06 4.139224e+05 2.368354e-12 3.611238e+07 4.089554e+07 1.246996e+06 1.115944e+07 3.713392e+07 6.943407e-16 1.690474e-09 6.441148e+06 1.385715e+07
6.000000e+00 7.599854e+06 4.885895e+05 2.852081e-12 3.605437e+07 4.236033e+07 1.715615e+06 1.151151e+07 3.739265e+07 6.943463e-16 1.690476e-09 8.290571e+06 1.388973e+07
7.000000e+00 7.587561e+06 5.767258e+05 3.434606e-12 3.599646e+07 4.387759e+07 2.360341e+06 1.187469e+07 3.765318e+07 6.943404e-16 1.690478e-09 1.067101e+07 1.392239e+07
8.000000e+00 5.333855e+06 5.203087e+05 1.045597e-11 3.262241e+07 4.053661e+07 2.112451e+06 1.022426e+07 3.362013e+07 6.943555e-16 1.681116e-09 1.044343e+07 1.469341e+07
9.000000e+00 7.194116e+06 7.201742e+05 5.334196e-12 3.536461e+07 4.617268e+07 3.733419e+06 1.234428e+07 3.751167e+07 6.943270e-16 1.690480e-09 1.575620e+07 1.412066e+07
1.000000e+01 4.949639e+06 6.921932e+05 1.705037e-11 3.154331e+07 4.036623e+07 2.910784e+06 1.008687e+07 3.226534e+07 6.943485e-16 1.681142e-09 1.255482e+07 1.444096e+07
1.100000e+01 6.171582e+06 7.706196e+05 9.535082e-12 3.369934e+07 4.634813e+07 4.093397e+06 1.217245e+07 3.590392e+07 6.943234e-16 1.690480e-09 1.737654e+07 1.448845e+07
1.200000e+01 4.627634e+06 6.790723e+05 3.280782e-11 2.964021e+07 4.139213e+07 3.618026e+06 1.095857e+07 3.194017e+07 6.943467e-16 1.681446e-09 1.217526e+07 1.374559e+07
1.300000e+01 4.883827e+06 7.374079e+05 1.977697e-11 3.108046e+07 4.436294e+07 3.584426e+06 1.151056e+07 3.312963e+07 6.943225e-16 1.690477e-09 1.370023e+07 1.468961e+07
1.400000e+01 4.116737e+06 6.069405e+05 1.693828e-12 2.648089e+07 3.821345e+07 3.229405e+06 1.049222e+07 2.939392e+07 6.943462e-16 1.694901e-09 1.003038e+07 1.318851e+07
1.500000e+01 3.723427e+06 6.164781e+05 3.438616e-11 2.763431e+07 4.065389e+07 2.993298e+06 1.065295e+07 2.975661e+07 6.943223e-16 1.690474e-09 8.699897e+06 1.434536e+07
1.600000e+01 3.778453e+06 5.713808e+05 2.623384e-12 2.751450e+07 3.795481e+07 2.032359e+06 1.049710e+07 3.038698e+07 6.943462e-16 1.694898e-09 6.350461e+06 1.175890e+07
1.700000e+01 2.897041e+06 4.927998e+05 3.613990e-11 2.437032e+07 3.628173e+07 2.137087e+06 9.814634e+06 2.677681e+07 6.943224e-16 1.690472e-09 5.062242e+06 1.316392e+07
1.800000e+01 3.235303e+06 5.727587e+05 7.845299e-11 2.666383e+07 3.345392e+07 1.042816e+06 9.520935e+06 2.684763e+07 6.943465e-16 1.694897e-09 2.977630e+06 1.131034e+07
1.900000e+01 2.408810e+06 4.557034e+05 3.212758e-11 2.234794e+07 3.213904e+07 1.037674e+06 9.095834e+06 2.466496e+07 6.943230e-16 1.690471e-09 2.526200e+06 1.139159e+07
2.000000e+01 3.601126e+06 5.926862e+05 2.710146e-12 3.388209e+07 5.156595e+07 3.558365e+06 1.316004e+07 3.731199e+07 6.943477e-16 1.694896e-09 8.450166e+06 1.732727e+07
2.100000e+01 2.267118e+06 5.343443e+05 2.446022e-11 2.287684e+07 3.165469e+07 9.212546e+05 9.020329e+06 2.488483e+07 6.943253e-16 1.690471e-09 2.480208e+06 1.079745e+07
2.200000e+01 1.663765e+06 3.393561e+05 4.233511e-11 2.045871e+07 2.845455e+07 1.023876e+06 7.777076e+06 2.214235e+07 6.943522e-16 1.694897e-09 2.296073e+06 1.268086e+07
2.300000e+01 2.193574e+06 5.410558e+05 1.588851e-11 2.467904e+07 3.375112e+07 1.689979e+06 9.287352e+06 2.646930e+07 6.943341e-16 1.690473e-09 4.377904e+06 1.176788e+07
2.400000e+01 2.097270e+06 4.776222e+05 1.332229e-11 2.524676e+07 3.430630e+07 2.159857e+06 9.288786e+06 2.690049e+07 6.943341e-16 1.690474e-09 5.226717e+06 1.246299e+07
2.500000e+01 1.666824e+06 3.075643e+05 2.361219e-11 2.301622e+07 2.793500e+07 1.468810e+06 7.759341e+06 2.421560e+07 6.943522e-16 1.694900e-09 2.893546e+06 1.061638e+07
2.600000e+01 1.855065e+06 3.236552e+05 1.010042e-11 2.586332e+07 3.386945e+07 2.649500e+06 9.020676e+06 2.717592e+07 6.943253e-16 1.690476e-09 5.244795e+06 1.333040e+07
2.700000e+01 1.825796e+06 6.885788e+05 1.880456e-11 2.525514e+07 3.585464e+07 4.897544e+06 9.698939e+06 2.733061e+07 6.943477e-16 1.694904e-09 8.188291e+06 1.452173e+07
