long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Gardnerella_vaginalis g_Megasphaera g_Gemella g_Leptotrichia g_Parvimonas Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister g_Mobiluncus
2.700000e+01 3.309020e+02 1.362092e-15 1.535686e-15 1.885594e+07 4.097522e+06 3.809978e+02 4.512514e-16 1.665610e+06 1.665635e+07 1.964103e-01 5.916295e-04 8.401017e+05 8.226632e-03
2.800000e+01 1.293646e+05 1.665054e-15 1.185700e-15 1.748312e+07 2.336687e+06 2.317347e+01 4.463647e-16 4.230418e+05 7.802941e+06 8.017341e-01 1.070913e-03 7.619628e+05 3.186262e-03
2.900000e+01 2.576014e+02 2.099284e-15 9.599859e-16 2.801068e+07 1.960531e+06 6.866302e+01 4.568398e-16 1.917450e+06 1.353646e+07 9.973259e-01 2.143250e-03 1.050928e+06 1.116424e-03
3.000000e+01 2.552635e+03 2.287885e-15 7.134222e-16 1.834028e+07 3.160951e+05 3.541433e+02 4.184217e-16 2.431264e+05 2.698905e+06 1.956015e+00 5.135287e-03 7.967710e+05 8.490103e-04
3.100000e+01 4.811207e+03 3.564117e-15 6.794549e-16 2.120821e+07 6.542969e+05 5.492422e+02 4.653985e-16 5.238604e+05 3.312971e+06 5.973417e+03 6.865551e-03 1.019510e+06 2.122344e-03
3.200000e+01 1.227909e+04 4.836571e-15 5.887661e-16 2.437484e+07 1.887474e+05 1.521732e+03 4.661842e-16 1.115559e+06 5.522055e+06 9.329811e-01 1.173833e-02 8.801382e+05 7.503669e-04
3.300000e+01 3.968946e+04 5.365352e-15 4.817032e-16 2.707642e+07 5.785138e+05 4.910929e+03 4.201394e-16 1.915119e+06 6.150185e+06 9.265681e+01 2.906855e-02 8.760042e+05 4.613121e-05
3.400000e+01 5.046718e+04 9.745187e-15 4.657435e-16 2.876148e+07 8.132686e+05 6.215251e+03 4.614655e-16 1.706154e+06 9.511226e+06 8.427745e+01 3.638994e-02 9.364961e+05 2.673767e-04
3.500000e+01 8.700272e+04 1.461722e-14 4.225531e-16 3.438678e+07 1.521716e+06 1.441101e+04 4.543095e-16 3.767293e+06 1.740033e+07 3.449907e+02 6.571993e-02 1.095442e+06 2.646441e-04
3.600000e+01 9.355282e+04 2.338866e-14 3.905166e-16 3.216281e+07 1.038943e+06 2.456822e+04 4.659495e-16 1.752291e+06 1.331223e+07 2.080514e+02 1.205247e-01 8.492493e+05 5.605397e-06
3.700000e+01 1.728026e+05 2.742026e-14 3.485804e-16 3.967302e+07 1.647032e+06 5.978846e+04 4.273709e-16 2.987318e+06 1.520596e+07 7.212522e+02 2.965707e-01 1.141537e+06 4.637724e-05
3.800000e+01 1.881293e+05 6.874023e-14 3.436821e-16 3.937765e+07 1.323310e+06 6.585411e+04 4.836372e-16 1.067398e+06 6.184104e+06 2.121017e+01 3.846079e-01 1.031809e+06 5.297206e-06
3.900000e+01 2.808552e+05 1.283103e-13 3.261944e-16 5.689147e+07 2.208310e+06 1.136227e+05 4.953017e-16 2.634066e+06 1.072543e+07 1.908535e+00 7.069368e-01 1.222461e+06 3.754479e-06
4.000000e+01 3.530951e+05 1.551650e-13 3.019924e-16 4.724973e+07 2.264694e+06 2.073865e+05 4.504789e-16 1.066929e+06 4.861525e+06 1.046689e+00 1.654266e+00 1.086244e+06 1.336492e-05
4.100000e+01 5.282221e+05 3.006404e-13 2.907296e-16 5.421347e+07 5.575413e+06 2.944779e+05 4.474890e-16 2.084568e+06 6.581531e+06 3.433096e-02 2.916240e+00 1.085346e+06 5.706800e-06
4.200000e+01 4.394991e+05 1.088489e-12 2.871947e-16 5.466819e+07 9.150756e+06 3.111781e+05 4.807217e-16 1.266357e+06 9.808647e+06 3.550061e+00 3.565713e+00 1.097574e+06 2.314569e-07
4.300000e+01 4.944254e+05 2.495608e-12 2.771000e-16 6.553934e+07 1.826089e+07 4.703279e+05 4.559357e-16 8.445884e+06 1.803356e+07 2.774881e+00 6.326343e+00 1.169243e+06 4.391688e-06
4.400000e+01 6.082786e+05 6.598860e-12 2.691074e-16 6.512022e+07 6.336622e+06 5.678704e+05 4.506227e-16 1.639040e+06 1.729850e+07 1.758837e-03 1.062869e+01 7.974256e+05 1.578394e-06
