long.t Lactobacillus_crispatus Lactobacillus_gasseri g_Megasphaera g_Gemella Prevotella_buccalis Prevotella_bivia g_Dialister g_Mobiluncus
4.300000e+01 2.893211e-01 1.543776e+08 1.642915e-13 2.277135e-16 2.526622e-09 1.168258e+03 7.209012e+03 2.585970e-14
4.400000e+01 3.782270e-02 1.621791e+08 1.642916e-13 2.280542e-16 8.393647e-10 8.217022e+01 1.930531e-01 2.587414e-14
4.500000e+01 9.545008e-02 1.529979e+08 1.642915e-13 2.263272e-16 2.526883e-09 2.024837e+07 6.399951e-04 2.585979e-14
4.600000e+01 1.616584e+00 1.774106e+08 1.642915e-13 2.265891e-16 4.424501e-09 1.684217e+07 8.352564e+03 2.587621e-14
4.700000e+01 4.009227e-02 1.570597e+08 1.642914e-13 2.253952e-16 2.527103e-09 7.614245e+07 1.638700e-03 2.586387e-14
4.800000e+01 1.018007e+00 1.442448e+08 1.642915e-13 2.256755e-16 4.425044e-09 2.544351e+07 7.827831e-01 2.588239e-14
4.900000e+01 4.014556e-02 1.617642e+08 1.642915e-13 2.248144e-16 2.527410e-09 2.504857e+07 1.090742e+05 2.587224e-14
5.000000e+01 9.240805e-03 1.587697e+08 1.642916e-13 2.251740e-16 8.241152e-10 1.825424e+07 4.558200e+03 2.589309e-14
5.100000e+01 5.033857e-02 1.619008e+08 1.642915e-13 2.245213e-16 2.527673e-09 5.294125e+06 1.790426e+04 2.588545e-14
5.200000e+01 5.083593e-02 1.614444e+08 1.642916e-13 2.244402e-16 2.527761e-09 3.136345e+06 8.742829e+03 2.589311e-14
5.300000e+01 5.133820e-02 1.608594e+08 1.642916e-13 2.243578e-16 2.527849e-09 1.858033e+06 2.106266e+04 2.590027e-14
5.400000e+01 1.172767e-02 2.140430e+08 1.642917e-13 2.247703e-16 8.163598e-10 2.427963e+07 6.779623e+03 2.592301e-14
5.500000e+01 4.392941e-02 1.683989e+08 1.642916e-13 2.243062e-16 2.527937e-09 5.864994e+06 2.791554e+05 2.591771e-14
5.600000e+01 1.574256e+00 1.583336e+08 1.642919e-13 2.248286e-16 4.426665e-09 4.348803e+06 1.275676e+04 2.594425e-14
