long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Gemella g_Leptotrichia g_Parvimonas Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister
2.700000e+01 2.460667e+07 5.402539e-04 1.238935e-05 1.118961e-04 6.254196e+07 5.754120e+03 3.085126e-05 5.494325e-16 2.327749e-03 1.410326e+06 6.083405e-13 3.747695e-08 2.537924e+05
2.800000e+01 2.379349e+07 5.402796e-04 1.239025e-05 1.091151e-04 6.245448e+07 7.870989e+03 1.096223e-04 5.494331e-16 4.495858e-03 1.370597e+06 6.083673e-13 3.706688e-08 2.910208e+05
2.900000e+01 2.026235e+07 5.398148e-04 1.238829e-05 7.769412e-05 7.721060e+07 4.257955e+03 6.847555e-05 5.494354e-16 3.357473e-03 1.356163e+06 6.079903e-13 1.077292e-08 2.888549e+05
3.000000e+01 2.177149e+07 5.403070e-04 1.239105e-05 1.031478e-04 6.670833e+07 1.241755e+04 1.037595e-03 5.494340e-16 1.480450e-02 1.365942e+06 6.083345e-13 3.165573e-08 3.753216e+05
3.100000e+01 2.060216e+07 5.403086e-04 1.239099e-05 9.999190e-05 7.135266e+07 1.432162e+04 2.763953e-03 5.494345e-16 2.524052e-02 1.400756e+06 6.082743e-13 2.732916e-08 4.221563e+05
3.200000e+01 1.949563e+07 5.403107e-04 1.239106e-05 9.693270e-05 7.649228e+07 1.651779e+04 7.362652e-03 5.494346e-16 4.303312e-02 1.462452e+06 6.082192e-13 2.367692e-08 4.779205e+05
3.300000e+01 1.844853e+07 5.403134e-04 1.239125e-05 9.396721e-05 8.218801e+07 1.905090e+04 1.961276e-02 5.494342e-16 7.336813e-02 1.554568e+06 6.081682e-13 2.058187e-08 5.445880e+05
3.400000e+01 1.745767e+07 5.403167e-04 1.239157e-05 9.109253e-05 8.850932e+07 2.197266e+04 5.224490e-02 5.494333e-16 1.250870e-01 1.682575e+06 6.081205e-13 1.794911e-08 6.246388e+05
3.500000e+01 1.775201e+07 5.397999e-04 1.238890e-05 6.347644e-05 9.020173e+07 1.027337e+04 2.679802e-02 5.494342e-16 6.532200e-02 6.128884e+05 6.081595e-13 3.292950e-08 4.938032e+05
3.600000e+01 1.582767e+07 5.402975e-04 1.239130e-05 8.507501e-05 1.014778e+08 2.468003e+04 2.812522e-01 5.494313e-16 3.111898e-01 1.395027e+06 6.080535e-13 1.505276e-08 7.567649e+05
3.700000e+01 1.416889e+07 5.397492e-04 1.238744e-05 1.259718e-04 8.078046e+07 1.082293e+04 1.148462e-01 5.494323e-16 1.404177e-01 2.489955e+05 6.081174e-13 3.821980e-09 5.242898e+05
3.800000e+01 1.230848e+07 5.409122e-04 1.239210e-05 1.223096e-04 6.329600e+07 7.791812e+03 1.916473e-01 5.494316e-16 1.770972e-01 5.852087e+04 6.081200e-13 3.382511e-09 3.283064e+05
3.900000e+01 1.317715e+07 5.402127e-04 1.238832e-05 7.793965e-05 7.893910e+07 1.344541e+04 9.844638e-01 5.494291e-16 5.948282e-01 5.908212e+04 6.080612e-13 8.323455e-09 5.243075e+05
4.000000e+01 1.203599e+07 5.397058e-04 1.239122e-05 1.172441e-04 3.845172e+07 4.392520e+03 3.059039e-01 5.494302e-16 2.157591e-01 5.542585e+02 6.081723e-13 1.764908e-09 2.092852e+05
4.100000e+01 1.637007e+07 5.395322e-04 1.238518e-05 4.984224e-05 1.480194e+08 3.519998e+05 1.841916e+01 5.494294e-16 4.656502e+00 2.227248e+07 6.077102e-13 6.670538e-09 2.110450e+05
4.200000e+01 9.625361e+06 5.407779e-04 1.239161e-05 1.134056e-04 3.071706e+07 3.923222e+03 4.939357e-01 5.494289e-16 2.529289e-01 9.441359e+02 6.081650e-13 4.293718e-09 7.394564e+04
4.300000e+01 8.580273e+06 5.395672e-04 1.238606e-05 5.100558e-05 5.494489e+07 8.873279e+03 1.059252e+00 5.494286e-16 5.879833e+00 3.579351e+04 6.081307e-13 5.165876e-10 7.300706e+04
4.400000e+01 8.818559e+06 5.406840e-04 1.239202e-05 1.099674e-04 3.609120e+07 7.175598e+03 7.085576e-01 5.494285e-16 4.130375e-01 1.127612e+05 6.081195e-13 1.804726e-09 1.462924e+04
4.500000e+01 8.466788e+06 5.394687e-04 1.238651e-05 5.007168e-05 3.977518e+07 7.333628e+03 6.076655e-01 5.494287e-16 5.540255e-01 4.093541e+05 6.081312e-13 1.171983e-09 4.972982e+03
4.600000e+01 7.702611e+06 5.406111e-04 1.239272e-05 1.070457e-04 2.476707e+07 7.768023e+03 3.985738e-01 5.494290e-16 5.642967e-01 4.684631e+05 6.081660e-13 8.220867e-10 1.235140e+03
4.700000e+01 7.518444e+06 5.392916e-04 1.238708e-05 4.515474e-05 4.881069e+07 7.443872e+03 1.117549e+01 5.494296e-16 7.250513e-01 1.375216e+06 6.077180e-13 6.215209e-10 6.368432e+05
4.800000e+01 6.271255e+06 5.398661e-04 1.239034e-05 6.751407e-05 2.296180e+07 7.577518e+03 6.363497e-01 5.494282e-16 1.192321e+00 9.252787e+05 6.080918e-13 2.964689e-10 1.727625e+03
4.900000e+01 7.937527e+06 5.392243e-04 1.238665e-05 4.224433e-05 8.031860e+07 3.772808e+05 1.051794e+01 5.494302e-16 8.651410e+00 3.740670e+06 6.081295e-13 4.092143e-10 3.194368e+03
5.000000e+01 5.073272e+06 5.404303e-04 1.239189e-05 1.003728e-04 1.978351e+07 4.789050e+03 2.961208e-01 5.494303e-16 4.300723e-01 7.021052e+05 6.081060e-13 3.555327e-10 4.251478e+03
5.100000e+01 5.210697e+06 5.397042e-04 1.238840e-05 6.352030e-05 4.810701e+07 1.854935e+04 1.373444e+00 5.494284e-16 1.209099e+00 2.632531e+06 6.080210e-13 1.963681e-10 2.151113e+04
5.200000e+01 5.303780e+06 5.403497e-04 1.239160e-05 9.723500e-05 4.871687e+07 1.547877e+04 5.425212e-01 5.494300e-16 4.628345e-01 1.888041e+06 6.081053e-13 3.070993e-10 1.713572e+04
5.300000e+01 5.456910e+06 5.390119e-04 1.238577e-05 3.864183e-05 6.769412e+07 3.896091e+04 3.607758e+01 5.494296e-16 9.599638e+00 6.780827e+06 6.075825e-13 4.213038e-11 2.333256e+04
5.400000e+01 4.887014e+06 5.403073e-04 1.239262e-05 9.497557e-05 6.467485e+07 3.229632e+04 1.206735e+00 5.494296e-16 4.970436e-01 2.746882e+06 6.080318e-13 2.494982e-10 2.500940e+04
5.500000e+01 4.527876e+06 5.391193e-04 1.238722e-05 4.171156e-05 6.844146e+07 3.860322e+04 2.012163e+00 5.494299e-16 5.144436e-01 3.175677e+06 6.079571e-13 2.184104e-10 1.466728e+04
5.600000e+01 4.705701e+06 5.395911e-04 1.239036e-05 5.907704e-05 7.453885e+07 7.165041e+04 6.761763e+00 5.494282e-16 1.243600e+00 4.514476e+06 6.078184e-13 1.217882e-10 1.924012e+04
5.700000e+01 3.273136e+06 5.390557e-04 1.238721e-05 4.032207e-05 6.811104e+07 4.900000e+04 4.185746e+00 5.494300e-16 1.195000e+01 5.037254e+06 6.078455e-13 2.960621e-11 5.826390e+03
5.800000e+01 3.958963e+06 5.401937e-04 1.239234e-05 8.981450e-05 4.233503e+07 3.569647e+04 3.171172e+00 5.494297e-16 4.993387e-01 1.373830e+06 6.078067e-13 1.489712e-10 1.681203e+03
5.900000e+01 3.583272e+06 5.390116e-04 1.238618e-05 8.874556e-05 4.364115e+07 3.340594e+04 2.916945e+00 5.494299e-16 5.757651e-01 1.453680e+06 6.077855e-13 1.243884e-10 3.182931e+02
6.000000e+01 2.977274e+06 5.401308e-04 1.239142e-05 8.842272e-05 2.112313e+07 1.893339e+04 1.845884e+00 5.494304e-16 5.210082e-01 2.854860e+05 6.077816e-13 1.107493e-10 4.343297e+01
6.100000e+01 2.993049e+06 5.394371e-04 1.238843e-05 5.557542e-05 1.949647e+07 2.440456e+04 3.469785e+00 5.494290e-16 1.275935e+00 2.090452e+05 6.077108e-13 6.223108e-11 2.024243e+01
6.200000e+01 2.507124e+06 5.401143e-04 1.239214e-05 8.925152e-05 4.651559e+06 6.088263e+03 4.774345e-01 5.494312e-16 2.884561e-01 3.428607e+03 6.078039e-13 9.914904e-11 1.091950e-01
6.300000e+01 2.353376e+06 5.387958e-04 1.238664e-05 3.305970e-05 6.324196e+06 5.215675e+03 3.915142e+01 5.494315e-16 3.247147e-01 6.386506e+02 6.078304e-13 9.966898e-11 3.227777e+01
6.400000e+01 1.943139e+06 5.394492e-04 1.239084e-05 5.610841e-05 1.962799e+06 3.585771e+03 7.927889e-01 5.494300e-16 5.086928e-01 7.257276e+01 6.077907e-13 6.132093e-11 1.631793e-02
6.500000e+01 1.775950e+06 5.388207e-04 1.238754e-05 3.475938e-05 9.699549e+05 9.533016e+02 2.019001e-01 5.494323e-16 1.315988e-01 4.214657e-02 6.079163e-13 1.138254e-10 1.676853e-04
6.600000e+01 1.478776e+06 5.394024e-04 1.238998e-05 5.566317e-05 4.257356e+05 7.300559e+02 4.707388e-01 5.494304e-16 1.996747e-01 8.716605e-03 6.078930e-13 7.198985e-11 4.743740e-04
6.700000e+01 3.504617e+06 5.388902e-04 1.238626e-05 3.635248e-05 1.210436e+06 3.663873e+02 1.694210e-01 5.494324e-16 3.521862e+00 3.583463e-01 6.075967e-13 1.938184e-11 1.857223e-02
6.800000e+01 6.433789e+05 5.399834e-04 1.239000e-05 8.962243e-05 1.262318e+05 1.186530e+05 3.029898e+01 5.494327e-16 3.504529e+00 1.506398e-01 6.080034e-13 1.424176e-10 1.563176e-02
6.900000e+01 2.646046e+06 5.399545e-04 1.238917e-05 8.946088e-05 2.481946e+05 6.124394e+01 6.050685e-02 5.494338e-16 3.444771e-02 5.520688e-08 6.079910e-13 1.479800e-10 6.686654e-07
