long.t Lactobacillus_iners Lactobacillus_crispatus Gardnerella_vaginalis g_Gemella Prevotella_buccalis Prevotella_bivia g_Dialister
4.800000e+01 4.254811e-16 3.439822e-03 1.257084e-15 2.564492e-07 2.999811e-16 1.112960e+05 1.038119e+04
4.900000e+01 4.137005e-16 2.019316e-01 1.257101e-15 6.337851e-04 2.965404e-16 1.001521e+05 1.112694e+04
5.000000e+01 4.031651e-16 7.664058e-03 1.257121e-15 1.850414e-05 2.934068e-16 1.063980e+05 1.265228e+04
5.100000e+01 3.937584e-16 5.440880e-01 1.257144e-15 1.007428e+00 2.905618e-16 9.088212e+04 1.299530e+04
5.200000e+01 3.853807e-16 3.557810e-02 1.256981e-15 5.367474e+00 2.879888e-16 8.321131e+04 1.372060e+04
5.300000e+01 3.779462e-16 7.153757e-02 1.257146e-15 2.966907e-02 2.856734e-16 7.346773e+04 1.379157e+04
5.400000e+01 3.713816e-16 1.432372e-01 1.257123e-15 1.396615e+04 2.836030e-16 6.441603e+04 1.498354e+04
5.500000e+01 3.656244e-16 1.956811e-01 1.257105e-15 7.735927e-02 2.817665e-16 5.254384e+04 1.530556e+04
5.600000e+01 3.606219e-16 1.784507e-01 1.257089e-15 1.269501e+02 2.801545e-16 3.576832e+04 1.462798e+04
5.700000e+01 3.563300e-16 1.295992e-01 1.257077e-15 4.207900e+02 2.787589e-16 3.388770e+04 1.644833e+04
5.800000e+01 3.527123e-16 7.228005e+00 1.257067e-15 2.344710e+01 2.775733e-16 1.554586e+04 1.427297e+04
5.900000e+01 3.423978e-16 3.360705e-01 1.257052e-15 1.224439e+01 2.739211e-16 1.902050e+04 1.703772e+04
6.000000e+01 3.467643e-16 1.373242e-01 1.257052e-15 5.659848e-08 2.756068e-16 6.676249e+03 1.529815e+04
6.100000e+01 3.443982e-16 1.761863e-01 1.257046e-15 4.278146e-06 2.748188e-16 4.912367e+03 1.707389e+04
6.200000e+01 3.426258e-16 1.107851e-01 1.257042e-15 6.728626e-12 2.742259e-16 1.446492e+03 1.514636e+04
6.300000e+01 3.414378e-16 2.690811e+01 1.257040e-15 2.256232e-14 2.738268e-16 5.977013e+02 1.584219e+04
6.400000e+01 3.408312e-16 1.212025e-01 1.257040e-15 2.140285e-15 2.736217e-16 3.100702e+05 1.870924e+04
6.500000e+01 3.408102e-16 1.249380e-01 1.257042e-15 1.259710e-15 2.736122e-16 4.161188e+02 1.855169e+04
