long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Gemella g_Parvimonas Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister
3.200000e+01 2.624116e+07 8.362077e-15 5.144488e+04 3.902612e+04 8.997840e+06 1.615846e+05 8.798475e+05 2.117125e+06 8.381869e-16 9.682040e-12 1.277179e-06
3.300000e+01 3.129099e+07 6.763897e-15 1.079652e+05 3.989319e+05 1.342758e+07 3.826649e+05 1.645181e+06 6.230627e+06 8.387646e-16 2.720015e-11 1.008959e+05
3.400000e+01 3.082113e+07 7.606979e-15 1.071734e+05 1.193443e+05 6.259442e+06 1.157317e+05 1.981407e+06 1.017751e+07 8.335506e-16 6.660030e-12 8.508738e+03
3.500000e+01 3.158704e+07 6.251997e-15 2.065042e+05 6.553854e+05 4.250417e+06 1.434780e+05 8.090788e+05 1.298867e+07 8.387632e-16 1.684102e-11 9.175999e+04
3.600000e+01 3.168073e+07 7.082943e-15 1.763714e+05 1.645960e+05 2.142774e+05 2.991965e+04 1.303670e+05 3.061050e+06 8.381842e-16 4.145860e-12 2.176571e+03
3.700000e+01 3.179603e+07 5.904154e-15 3.505133e+05 2.189866e+06 2.945677e+05 8.509053e+04 1.629456e+05 1.798843e+07 8.373779e-16 1.041631e-11 9.056812e+04
3.800000e+01 3.565556e+07 6.746856e-15 3.093053e+05 1.533672e+05 9.288171e+02 4.389162e-06 1.549229e-05 3.340315e+05 8.369935e-16 2.617050e-12 2.403746e-06
3.900000e+01 3.247244e+07 5.694480e-15 5.282363e+05 1.800095e+06 5.875267e+02 3.749343e-06 6.325160e-06 2.667194e+05 8.363559e-16 6.459724e-12 3.988225e-06
4.000000e+01 3.485373e+07 6.572561e-15 5.383082e+05 3.894351e+05 5.297237e-02 2.798893e-06 6.325256e-06 3.640037e-05 8.361165e-16 7.125135e-12 1.345868e-06
4.100000e+01 3.387945e+07 5.607985e-15 7.383210e+05 1.511243e+06 6.774944e-03 2.644765e-16 5.802573e-16 1.472493e-06 8.356048e-16 4.031490e-12 3.302583e-16
4.200000e+01 3.195350e+07 6.547085e-15 5.931338e+05 3.478185e-04 1.852052e+02 2.847619e-06 5.804783e-16 1.293842e-06 8.354739e-16 4.514281e-12 7.898269e-16
4.300000e+01 3.521321e+07 5.638628e-15 9.554420e+05 8.147530e-05 7.247503e-05 3.816911e-06 2.307279e-16 2.425051e-16 8.350568e-16 2.541234e-12 3.090780e-16
4.400000e+01 3.729357e+07 6.668860e-15 1.400418e+06 4.567605e+00 5.097862e-11 7.853536e-16 2.336075e-16 4.380112e-16 8.350079e-16 2.907412e-12 1.928496e-15
4.500000e+01 3.641059e+07 5.788538e-15 1.218987e+06 1.236673e-13 4.673998e-06 3.764923e-01 2.225478e-16 2.882267e-16 8.346626e-16 1.623655e-12 5.522355e-16
4.600000e+01 3.712629e+07 5.895619e-15 1.404414e+06 9.291634e-13 2.168610e-08 2.837259e-06 2.223845e-16 3.143053e-16 8.344984e-16 1.302795e-12 7.408635e-16
4.700000e+01 3.785605e+07 6.004680e-15 1.618049e+06 1.236425e-13 1.006176e-10 2.605395e-11 2.222213e-16 2.882267e-16 8.343336e-16 1.045342e-12 5.522352e-16
4.800000e+01 4.537366e+07 7.226928e-15 2.222128e+06 1.970323e-10 3.392813e-10 9.385402e-10 2.222742e-16 4.380080e-16 8.343423e-16 1.263148e-12 1.928058e-15
4.900000e+01 4.017297e+07 6.295621e-15 2.202010e+06 2.486982e-15 5.006013e-14 2.634697e-16 2.220517e-16 2.425037e-16 8.340403e-16 6.804728e-13 3.090163e-16
5.000000e+01 4.273487e+07 7.693287e-15 2.580398e+06 8.096704e-05 5.440269e-14 4.300911e-16 2.220517e-16 3.143053e-16 8.340831e-16 8.586393e-13 7.420223e-16
5.100000e+01 4.363608e+07 6.744099e-15 3.068873e+06 8.049698e-06 2.127928e-15 2.631423e-16 2.220449e-16 2.425037e-16 8.338097e-16 4.535627e-13 3.084913e-16
5.200000e+01 4.647143e+07 8.246801e-16 3.688976e+06 1.499432e-04 2.151465e-15 4.295745e-16 2.220449e-16 3.143053e-16 8.338758e-16 6.022375e-13 7.408646e-16
5.300000e+01 4.765627e+07 6.390521e-15 4.283845e+06 5.450588e+04 5.783083e-16 2.631423e-16 2.220446e-16 2.425037e-16 8.336211e-16 3.105232e-13 3.084889e-16
5.400000e+01 5.179063e+07 6.907262e-15 5.353675e+06 6.590126e+04 5.856362e-16 4.295668e-16 2.220446e-16 3.143053e-16 8.337017e-16 4.372501e-13 7.402148e-16
5.500000e+01 5.244302e+07 5.354576e-15 6.045975e+06 7.920725e+05 3.448497e-16 2.631374e-16 2.220446e-16 2.425037e-16 8.334577e-16 2.190016e-13 3.081965e-16
5.600000e+01 5.404025e+07 5.819596e-15 6.097885e+06 9.409526e+05 3.528786e-16 3.106040e-16 2.220446e-16 2.645773e-16 8.335452e-16 3.295442e-13 4.175462e-16
5.700000e+01 5.496091e+07 5.400661e-15 7.098262e+06 5.831490e+06 3.370713e-16 2.631374e-16 2.220446e-16 2.425037e-16 8.334824e-16 2.914907e-13 3.081965e-16
5.800000e+01 5.968839e+07 5.067017e-15 8.489767e+06 3.914513e+07 3.878462e-16 2.631326e-16 2.220446e-16 2.425037e-16 8.334455e-16 2.624834e-13 3.079053e-16
5.900000e+01 4.598206e+07 4.805367e-15 6.544015e+06 4.393149e+06 5.627656e-16 2.631326e-16 2.220446e-16 2.425037e-16 8.334337e-16 2.406564e-13 3.079036e-16
6.000000e+01 7.007923e+07 4.605865e-15 1.116216e+07 9.649570e+07 1.204031e-15 2.631326e-16 2.220446e-16 2.425037e-16 8.334467e-16 2.246491e-13 3.079053e-16
6.100000e+01 5.695207e+07 4.461417e-15 9.273677e+06 5.124171e+06 5.379931e-15 2.631374e-16 2.220446e-16 2.425037e-16 8.334848e-16 2.134821e-13 3.081965e-16
6.200000e+01 6.389727e+07 4.367204e-15 1.061991e+07 1.043530e+07 1.203621e-13 3.106041e-16 2.220446e-16 2.645773e-16 8.335489e-16 2.064703e-13 4.175509e-16
6.300000e+01 6.383319e+07 3.598003e-15 1.157692e+07 7.862545e+06 4.548165e-13 2.631374e-16 2.220446e-16 2.425037e-16 8.334627e-16 9.495698e-14 3.082019e-16
6.400000e+01 5.836244e+07 4.273322e-15 1.113732e+07 4.702492e+05 7.410917e-08 4.296529e-16 2.220446e-16 3.143054e-16 8.337082e-16 2.000029e-13 7.442791e-16
6.500000e+01 6.351150e+07 3.506544e-15 1.155075e+07 3.724822e+06 5.560308e-08 2.631968e-16 2.220446e-16 2.425038e-16 8.336292e-16 8.951849e-14 3.103382e-16
6.600000e+01 6.877730e+07 4.270751e-15 1.194679e+07 1.017691e+04 2.260091e-16 1.073769e-14 2.220447e-16 4.212648e-15 8.338857e-16 2.004580e-13 1.485934e-14
