long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Gemella g_Leptotrichia g_Parvimonas Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister g_Mobiluncus
0.000000e+00 1.008210e+10 1.059340e+07 9.504973e+08 2.037089e+06 3.555305e+07 1.701886e-06 4.497482e-15 2.221389e-16 4.102820e-13 5.525564e-06 3.893955e-13 6.497884e+01 1.859596e+03 7.379202e-10
1.000000e+00 1.495646e+10 1.371197e+07 1.169576e+09 9.247068e+06 5.552221e+07 1.701394e-06 4.497496e-15 2.220662e-16 3.714394e-13 5.525587e-06 3.572056e-13 5.245269e+05 3.730515e+03 8.517747e-13
2.000000e+00 1.185677e+10 1.092245e+07 9.390104e+08 2.296683e+06 5.450315e+07 1.702227e-06 4.498402e-15 2.220672e-16 4.102873e-13 5.525448e-06 3.893998e-13 1.500195e+04 2.075094e+03 2.504888e-05
3.000000e+00 1.388809e+10 1.330521e+07 1.136320e+09 7.495429e+06 5.269698e+07 1.702068e-06 4.498620e-15 2.220520e-16 3.714514e-13 5.527237e-06 3.572148e-13 4.788747e+05 3.458634e+03 6.135542e-06
4.000000e+00 1.084117e+10 1.175728e+07 9.489834e+08 2.144392e+06 5.190238e+07 1.701747e-06 4.492670e-15 2.220522e-16 2.084351e-13 5.525678e-06 3.894111e-13 7.464582e+03 1.928790e+03 2.108879e-07
5.000000e+00 1.246384e+10 1.273229e+07 1.084018e+09 3.951476e+06 5.007712e+07 1.702719e-06 4.498441e-15 2.220472e-16 3.714442e-13 5.527167e-06 3.572301e-13 1.532962e+05 3.065072e+03 8.373307e+00
6.000000e+00 1.289722e+10 1.232330e+07 1.045758e+09 1.935621e+06 5.631931e+07 1.702100e-06 4.498041e-15 2.220477e-16 2.098914e-13 5.525558e-06 3.894293e-13 1.089640e+00 1.844713e+03 1.102550e-03
7.000000e+00 1.109051e+10 1.212173e+07 1.025132e+09 2.227595e+06 4.813592e+07 1.702712e-06 4.496948e-15 2.220457e-16 3.713907e-13 5.526263e-06 3.572516e-13 1.789418e+01 2.603021e+03 8.899545e-01
8.000000e+00 1.051128e+10 1.182514e+07 9.966725e+08 2.061980e+06 4.744733e+07 1.702594e-06 4.496315e-15 2.220454e-16 3.713525e-13 5.525458e-06 3.572639e-13 4.929488e-03 2.375216e+03 1.479194e-02
9.000000e+00 9.962300e+09 1.153581e+07 9.690035e+08 3.523879e+06 4.676860e+07 1.702538e-06 4.495709e-15 2.220452e-16 3.713143e-13 5.524805e-06 3.572761e-13 1.157779e-06 2.167348e+03 2.458571e-04
1.000000e+01 8.155095e+09 9.779311e+06 7.674269e+08 2.349696e+06 4.675383e+07 1.701645e-06 4.495545e-15 2.220451e-16 4.100874e-13 5.526364e-06 3.894795e-13 4.483293e+03 1.215410e+03 4.299522e+04
1.100000e+01 8.903248e+09 1.034673e+07 9.090840e+08 3.639060e+06 5.414519e+07 1.702767e-06 4.495072e-15 2.220448e-16 4.100478e-13 5.525472e-06 3.894955e-13 2.628180e-04 1.258087e+03 1.504696e-04
1.200000e+01 1.141797e+10 1.134179e+07 1.141699e+09 2.490793e+06 5.502740e+07 1.701276e-06 4.494705e-15 2.220447e-16 4.100127e-13 5.526248e-06 2.203628e-13 8.262218e+01 1.069526e+03 1.071945e-01
1.300000e+01 7.979105e+09 1.019530e+07 8.488112e+08 2.430015e+06 4.653461e+07 1.701579e-06 4.494018e-15 2.220446e-16 3.711856e-13 5.527147e-06 3.573234e-13 2.452737e+04 1.320956e+03 7.619450e+00
1.400000e+01 8.492839e+09 1.031304e+07 9.456322e+08 1.868566e+06 4.780359e+07 1.701775e-06 4.494167e-15 2.220446e-16 4.099518e-13 5.525445e-06 3.895161e-13 5.442679e+02 1.345237e+04 7.036525e-07
1.500000e+01 7.619455e+09 9.606727e+06 8.186887e+08 3.401526e+06 4.846452e+07 1.700942e-06 4.493564e-15 2.220446e-16 3.711372e-13 5.525485e-06 3.573289e-13 3.184335e+03 1.114531e+03 3.056679e-06
1.600000e+01 7.361781e+09 9.186668e+06 8.475638e+08 1.983010e+06 3.747283e+07 1.701398e-06 4.493791e-15 2.220446e-16 4.099001e-13 5.525437e-06 3.895242e-13 6.336761e-05 7.878987e+02 2.961307e-06
1.700000e+01 7.343745e+09 9.066000e+06 7.994689e+08 4.025029e+06 4.914732e+07 1.700795e-06 4.493260e-15 2.220446e-16 3.710968e-13 5.523878e-06 3.573405e-13 3.203631e-05 1.058084e+03 3.492979e-13
1.800000e+01 6.972701e+09 8.122314e+06 7.959655e+08 1.964020e+06 3.282081e+07 1.701468e-06 4.493554e-15 2.220446e-16 4.098576e-13 5.525209e-06 3.895393e-13 1.250886e-04 6.952950e+02 3.492341e-13
1.900000e+01 7.033246e+09 8.504198e+06 7.836955e+08 3.621842e+06 4.660990e+07 1.701088e-06 4.493085e-15 2.220446e-16 3.710645e-13 5.523878e-06 3.573583e-13 2.219228e-13 9.639374e+02 2.263344e-15
2.000000e+01 6.766451e+09 7.634111e+06 8.235340e+08 2.013467e+06 3.232142e+07 1.702009e-06 4.493440e-15 2.220446e-16 4.098243e-13 5.525436e-06 3.895612e-13 1.379610e-10 6.644019e+02 2.269170e-15
2.100000e+01 6.694907e+09 7.899946e+06 7.719152e+08 3.284667e+06 4.113415e+07 1.701919e-06 4.493030e-15 2.220446e-16 3.710401e-13 5.525481e-06 3.573822e-13 2.181720e-13 8.428134e+02 4.630984e-16
2.200000e+01 6.317762e+09 7.340779e+06 7.481713e+08 1.898390e+06 3.644151e+07 1.701690e-06 4.493442e-15 2.220446e-16 4.098002e-13 5.525430e-06 3.895902e-13 1.084415e-04 5.486782e+02 4.669418e-16
2.300000e+01 6.334137e+09 7.288154e+06 7.621707e+08 3.118605e+06 3.499783e+07 1.702697e-06 4.493091e-15 2.220446e-16 3.710237e-13 5.527045e-06 3.574123e-13 2.678052e-05 7.080716e+02 2.826823e-16
2.400000e+01 6.900124e+09 7.088331e+06 7.345902e+08 2.020492e+06 3.626120e+07 1.702168e-06 4.493562e-15 2.220446e-16 4.097853e-13 5.525434e-06 3.896260e-13 1.524638e-04 4.418077e+02 2.903107e-16
2.500000e+01 6.055912e+09 6.714831e+06 7.494476e+08 3.494642e+06 3.000543e+07 1.702842e-06 4.493271e-15 2.220446e-16 3.710153e-13 5.525489e-06 3.574485e-13 7.225455e+03 5.692827e+02 2.470867e-16
2.600000e+01 5.251103e+09 6.210814e+06 6.380441e+08 1.778550e+06 2.794682e+07 1.701958e-06 4.493806e-15 2.220446e-16 4.097795e-13 5.525547e-06 3.896688e-13 2.076909e+01 3.333643e+02 2.728926e-16
2.700000e+01 5.782976e+09 6.176934e+06 7.270371e+08 2.776395e+06 2.603418e+07 1.702383e-06 4.493582e-15 2.220446e-16 3.710150e-13 5.524654e-06 3.574909e-13 9.484061e+03 4.362371e+02 2.531693e-16
2.800000e+01 5.606604e+09 5.917106e+06 7.120441e+08 1.874546e+06 2.425012e+07 1.701992e-06 4.493766e-15 2.220446e-16 3.710168e-13 5.525206e-06 3.575136e-13 2.477184e+03 3.770734e+02 2.646672e-16
2.900000e+01 5.435612e+09 5.668207e+06 6.973602e+08 1.750714e+06 2.258831e+07 1.701615e-06 4.493938e-15 2.220446e-16 3.710186e-13 5.524636e-06 3.575363e-13 3.506854e+03 3.259336e+02 2.766873e-16
3.000000e+01 6.161604e+09 5.471174e+06 7.107919e+08 1.696713e+06 2.333551e+07 1.701901e-06 4.494523e-15 2.220447e-16 4.097864e-13 5.525424e-06 2.202420e-13 7.309754e+00 1.929264e+02 4.692014e-16
3.100000e+01 5.206971e+09 5.203978e+06 6.708981e+08 1.738791e+06 1.980035e+07 1.701168e-06 4.494360e-15 2.220446e-16 3.710262e-13 5.524635e-06 3.575645e-13 1.838309e+03 2.379183e+02 3.680867e-16
3.200000e+01 5.144858e+09 4.987568e+06 6.590306e+08 1.811212e+06 1.863340e+07 1.701062e-06 4.494618e-15 2.220447e-16 3.710320e-13 5.525202e-06 3.575700e-13 6.214968e+02 2.009201e+02 4.684054e-16
3.300000e+01 5.083485e+09 4.780158e+06 6.473731e+08 2.351665e+06 1.753522e+07 1.700895e-06 4.494876e-15 2.220447e-16 3.710378e-13 5.524619e-06 3.575754e-13 9.372276e+02 1.696754e+02 5.960651e-16
3.400000e+01 4.416917e+09 4.193712e+06 6.104446e+08 1.970231e+06 1.652006e+07 1.701333e-06 4.495563e-15 2.220448e-16 4.098117e-13 5.525312e-06 3.897918e-13 5.415068e-06 8.770128e+01 4.115075e-15
3.500000e+01 4.883744e+09 4.364964e+06 6.227270e+08 4.783762e+06 1.553096e+07 1.700707e-06 4.495517e-15 2.220448e-16 3.710534e-13 5.523860e-06 3.575894e-13 4.678989e-04 1.173531e+02 2.406113e-15
3.600000e+01 4.037457e+09 3.573264e+06 5.075398e+08 1.858745e+06 1.342295e+07 1.701351e-06 4.496333e-15 2.220451e-16 4.098335e-13 5.525206e-06 3.898105e-13 6.419338e+03 5.701536e+01 3.892553e-13
3.700000e+01 4.521873e+09 3.921956e+06 5.887543e+08 3.988200e+06 1.363692e+07 1.700932e-06 4.496430e-15 2.220451e-16 3.710770e-13 5.523876e-06 3.576095e-13 5.274885e-04 7.616881e+01 3.358995e-13
3.800000e+01 4.300189e+09 3.481796e+06 5.737196e+08 1.997183e+06 1.350630e+07 1.701801e-06 4.497401e-15 2.220461e-16 2.146558e-13 5.525426e-06 2.199644e-13 6.073508e-04 4.532604e+02 2.626502e-06
3.900000e+01 4.099827e+09 3.473741e+06 5.492010e+08 2.062242e+06 1.194340e+07 1.701643e-06 4.497670e-15 2.220461e-16 3.710825e-13 5.525414e-06 3.576154e-13 1.096106e+04 5.434089e+01 2.508718e-06
4.000000e+01 3.895215e+09 3.109551e+06 5.433899e+08 1.723848e+06 1.111371e+07 1.701339e-06 4.491952e-15 2.220491e-16 4.098464e-13 5.525204e-06 3.898239e-13 6.258969e+02 2.907294e+01 8.050520e-07
4.100000e+01 3.715469e+09 3.054200e+06 5.136234e+08 1.744830e+06 1.051594e+07 1.702220e-06 4.497597e-15 2.220491e-16 3.710701e-13 5.525446e-06 3.576071e-13 2.803583e+04 4.261268e+01 8.727957e+00
4.200000e+01 4.085219e+09 2.782095e+06 6.190900e+08 1.723895e+06 9.792818e+06 1.701555e-06 4.497254e-15 2.220577e-16 4.098376e-13 5.525655e-06 2.225150e-13 1.823563e+03 2.240284e+01 2.771332e-02
4.300000e+01 3.431474e+09 2.671652e+06 4.895098e+08 1.706794e+06 9.243549e+06 1.702024e-06 4.496206e-15 2.220577e-16 3.710656e-13 5.525459e-06 3.575849e-13 2.453344e+04 3.132318e+01 9.031167e+00
4.400000e+01 3.423030e+09 2.422121e+06 5.224749e+08 1.714169e+06 6.181779e+06 1.702423e-06 4.496030e-15 2.220829e-16 2.150124e-13 5.525440e-06 3.897759e-13 2.813117e+02 1.633900e+01 7.889791e-07
4.500000e+01 3.242599e+09 2.327981e+06 4.775096e+08 1.965354e+06 7.835739e+06 1.701845e-06 4.495130e-15 2.220829e-16 3.710432e-13 5.527028e-06 3.575489e-13 3.845578e+03 2.164476e+01 2.610616e-06
4.600000e+01 3.222870e+09 1.973804e+06 4.827327e+08 1.795922e+06 4.800150e+06 1.701124e-06 4.495084e-15 2.221565e-16 4.097893e-13 5.525423e-06 3.897403e-13 9.345492e-05 1.052099e+01 2.614973e-06
4.700000e+01 3.083813e+09 2.011683e+06 4.694361e+08 2.428599e+06 6.154674e+06 1.701590e-06 4.494300e-15 2.221565e-16 3.710029e-13 5.525511e-06 3.575190e-13 2.503654e-05 1.405536e+01 3.329781e-13
4.800000e+01 2.819621e+09 1.628606e+06 4.779611e+08 1.783632e+06 3.349141e+06 1.701893e-06 4.494358e-15 2.223721e-16 4.097500e-13 5.525445e-06 3.897116e-13 1.008612e-04 8.360111e+01 3.347407e-13
4.900000e+01 2.915271e+09 1.712291e+06 4.631056e+08 2.535181e+06 4.422367e+06 1.701176e-06 4.493666e-15 2.223721e-16 3.709705e-13 5.523912e-06 3.574953e-13 2.113972e-13 9.985906e+00 2.242830e-15
