long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Gardnerella_vaginalis g_Megasphaera g_Gemella g_Parvimonas Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister g_Mobiluncus
2.900000e+01 1.923173e+01 1.114947e-07 8.245396e-11 6.995510e+07 1.030663e+07 3.259490e+05 1.675476e+07 2.829964e+07 8.125071e-13 1.553603e-15 1.902821e+05 6.105807e+07
3.000000e+01 1.980365e+01 1.114946e-07 8.245286e-11 6.300551e+07 7.479201e+06 3.014317e+05 1.394742e+07 2.481581e+07 8.124948e-13 1.688267e-15 1.668854e+05 4.292888e+07
3.100000e+01 4.702612e+01 1.114950e-07 8.245578e-11 6.595529e+07 9.043410e+06 3.306778e+05 1.573446e+07 2.653382e+07 8.109742e-13 1.741440e-15 1.758123e+05 9.990930e+07
3.200000e+01 2.034899e+01 1.114946e-07 8.245295e-11 5.372068e+07 5.371491e+06 2.730990e+05 1.147121e+07 2.076390e+07 8.124738e-13 2.013249e-15 1.301480e+05 7.048603e+06
3.300000e+01 3.380345e+01 1.114949e-07 8.245578e-11 6.550195e+07 8.176024e+06 3.299395e+05 1.591688e+07 2.636694e+07 8.039229e-13 2.210238e-15 1.459467e+05 7.631208e+07
3.400000e+01 2.829258e+01 1.114946e-07 8.245258e-11 6.032383e+07 5.687389e+06 3.131206e+05 1.337923e+07 2.400712e+07 8.124479e-13 2.440351e-15 1.232286e+05 1.477139e+07
3.500000e+01 2.448094e+01 1.114949e-07 8.245551e-11 6.256336e+07 6.372157e+06 3.273509e+05 1.448372e+07 2.537964e+07 8.124325e-13 2.710490e-15 1.232133e+05 1.437438e+07
3.600000e+01 2.440645e+02 1.114946e-07 8.245256e-11 5.574894e+07 4.170231e+06 3.052488e+05 1.177770e+07 2.205422e+07 8.124190e-13 7.641109e-16 1.012521e+05 6.510827e+06
3.700000e+01 1.998310e+01 1.114949e-07 8.245555e-11 5.828170e+07 4.502696e+06 3.178040e+05 1.278880e+07 2.356120e+07 8.124072e-13 3.004102e-15 9.702750e+04 1.305072e+07
3.800000e+01 1.917497e+01 1.114946e-07 8.245248e-11 5.395330e+07 3.011965e+06 3.007021e+05 1.083173e+07 2.124020e+07 8.123973e-13 2.998463e-15 7.868790e+04 7.590988e+06
3.900000e+01 1.819670e+01 1.114948e-07 8.245434e-11 5.616966e+07 3.047390e+06 3.173531e+05 1.199294e+07 2.287282e+07 8.123891e-13 3.012267e-15 7.416072e+04 1.742272e+07
