long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Parvimonas Atopobium_vaginae Prevotella_bivia g_Dialister
3.500000e+01 4.198917e-15 6.520031e+08 2.659233e-16 1.410713e-15 2.494913e-04 1.388966e-15 2.630333e-16 2.672073e-16 2.223428e-09 1.726846e-12
3.600000e+01 1.185798e-14 1.500017e+08 6.692406e-16 1.743824e-15 5.026206e-05 1.709870e-15 6.315891e-16 6.914945e-16 2.288023e-09 1.728485e-12
3.700000e+01 1.841407e-15 5.646283e+08 3.615429e-16 1.591875e-15 2.294437e-04 1.562962e-15 3.515962e-16 3.664996e-16 2.224619e-09 1.726967e-12
3.800000e+01 1.772219e-15 4.205506e+08 4.231312e-16 1.699094e-15 2.102153e-04 1.665578e-15 4.078764e-16 4.308492e-16 2.225390e-09 1.727032e-12
3.900000e+01 1.705631e-15 5.027349e+08 3.615429e-16 1.813532e-15 1.925982e-04 1.774931e-15 3.515962e-16 3.664996e-16 2.226162e-09 1.727098e-12
4.000000e+01 7.847972e-15 1.583085e+08 6.692404e-16 2.310878e-15 1.550215e-03 2.250140e-15 6.315891e-16 6.914939e-16 2.291208e-09 1.728747e-12
4.100000e+01 3.164074e-15 5.829670e+08 2.659233e-16 2.088600e-15 1.829559e-04 2.036700e-15 2.630333e-16 2.672071e-16 2.228059e-09 1.727239e-12
4.200000e+01 6.327088e-14 4.017044e+08 4.231313e-16 2.727156e-15 3.602041e-05 2.643468e-15 4.078764e-16 4.308496e-16 2.104416e-09 1.720259e-12
4.300000e+01 3.713153e-14 6.209201e+08 2.659233e-16 2.460059e-15 1.790450e-04 2.387862e-15 2.630333e-16 2.672072e-16 2.229597e-09 1.727345e-12
4.400000e+01 1.395237e-10 7.587846e+07 1.062961e-15 3.309351e-15 1.561956e-03 3.189369e-15 9.902522e-16 1.118016e-15 2.098446e-09 1.720102e-12
