long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Gemella g_Parvimonas Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister g_Mobiluncus
0.000000e+00 2.524909e+07 6.766880e+04 3.212791e-16 3.656085e+08 1.425822e+08 1.256119e+07 5.289117e+07 5.602722e+07 4.620345e+03 7.540221e-02 2.412156e+06 1.884038e+08
1.000000e+00 2.377373e+07 6.702656e+04 3.213361e-16 4.128682e+08 1.151133e+08 1.466005e+07 7.704731e+07 5.602723e+07 3.342587e+05 1.414993e-02 1.024022e+06 1.665545e+08
2.000000e+00 2.620397e+07 6.929243e+04 3.221315e-16 4.391385e+08 1.212798e+08 1.315593e+07 7.563139e+07 5.602723e+07 6.635904e+03 1.426077e-02 1.034266e+06 1.628048e+08
3.000000e+00 1.991902e+07 6.734244e+04 3.236610e-16 3.690272e+08 1.101975e+08 1.319177e+07 6.066211e+07 5.602722e+07 6.858653e+03 1.395585e-02 1.005163e+06 1.577548e+08
4.000000e+00 2.469683e+07 7.240303e+04 3.166625e-16 4.046508e+08 1.233740e+08 1.377520e+07 6.486437e+07 5.602722e+07 1.255407e+04 2.560124e-02 1.097430e+06 1.706483e+08
5.000000e+00 2.319561e+07 6.936841e+04 3.281900e-16 4.394444e+08 1.331553e+08 1.340685e+07 7.387434e+07 5.602722e+07 1.006833e+04 1.418413e-02 1.046124e+06 1.849953e+08
6.000000e+00 2.357684e+07 7.168963e+04 3.219357e-16 3.988899e+08 1.252764e+08 1.308082e+07 6.282429e+07 5.602723e+07 1.514440e+04 2.559896e-02 1.097930e+06 1.703227e+08
7.000000e+00 1.807958e+07 6.606612e+04 3.342531e-16 3.375927e+08 1.018302e+08 1.054189e+07 4.834677e+07 5.602722e+07 9.536478e+03 1.233464e-02 9.952453e+05 1.304836e+08
8.000000e+00 2.193323e+07 7.078548e+04 3.285981e-16 3.908830e+08 1.250182e+08 1.217960e+07 5.946845e+07 5.602723e+07 1.736362e+04 2.559516e-02 1.098364e+06 1.649161e+08
9.000000e+00 1.978481e+07 6.656964e+04 3.419808e-16 4.033764e+08 1.330628e+08 1.301396e+07 6.687818e+07 5.602722e+07 1.346048e+04 1.346938e-02 1.042364e+06 1.707206e+08
1.000000e+01 1.984776e+07 6.966880e+04 3.368056e-16 3.796343e+08 1.227643e+08 1.125559e+07 5.523399e+07 5.602722e+07 1.890662e+04 2.558980e-02 1.098729e+06 1.546771e+08
1.100000e+01 1.698629e+07 6.551415e+04 3.515560e-16 3.688330e+08 1.171131e+08 1.061910e+07 5.262902e+07 5.602722e+07 1.376208e+04 1.308766e-02 1.031671e+06 1.386551e+08
1.200000e+01 1.768007e+07 6.838868e+04 3.467579e-16 3.696624e+08 1.210187e+08 1.049848e+07 5.296027e+07 5.602722e+07 1.974672e+04 2.558294e-02 1.099042e+06 1.447710e+08
1.300000e+01 1.631237e+07 6.479272e+04 3.632227e-16 3.612292e+08 1.137984e+08 1.004425e+07 5.164924e+07 5.602722e+07 1.428782e+04 7.530370e-02 1.020883e+06 1.352601e+08
1.400000e+01 1.555906e+07 6.697056e+04 3.587082e-16 3.591620e+08 1.178874e+08 9.756357e+06 5.042258e+07 5.602722e+07 1.972095e+04 2.557655e-02 1.099292e+06 1.329460e+08
1.500000e+01 1.563330e+07 6.301325e+04 3.772984e-16 3.647689e+08 1.178733e+08 9.685029e+06 5.451434e+07 5.602722e+07 1.485912e+04 7.528476e-02 1.042297e+06 1.288089e+08
1.600000e+01 1.376810e+07 6.542778e+04 3.729765e-16 3.496363e+08 1.143240e+08 9.089803e+06 4.913388e+07 5.602722e+07 1.891104e+04 2.557263e-02 1.099484e+06 1.217864e+08
1.700000e+01 1.360102e+07 6.246475e+04 3.941924e-16 3.450026e+08 1.084593e+08 8.824230e+06 5.161254e+07 5.602722e+07 1.344285e+04 7.527384e-02 1.035033e+06 1.070596e+08
1.800000e+01 1.233204e+07 6.378583e+04 3.899667e-16 3.412569e+08 1.105470e+08 8.502160e+06 4.957544e+07 5.602722e+07 1.742364e+04 2.557118e-02 1.099625e+06 1.101477e+08
1.900000e+01 1.198092e+07 6.075682e+04 4.144313e-16 3.477071e+08 1.063618e+08 8.188782e+06 5.042543e+07 5.602722e+07 1.195995e+04 1.451131e-02 1.039507e+06 1.048713e+08
2.000000e+01 1.112750e+07 6.207615e+04 4.101912e-16 3.339946e+08 1.060920e+08 7.952135e+06 5.067721e+07 5.602723e+07 1.535800e+04 2.557031e-02 1.099712e+06 9.827693e+07
2.100000e+01 1.095561e+07 5.684705e+04 4.386948e-16 3.257786e+08 9.116889e+07 7.320296e+06 4.490373e+07 5.602722e+07 9.844327e+03 7.526455e-02 1.015781e+06 7.681231e+07
2.200000e+01 1.010369e+07 6.024334e+04 4.343027e-16 3.273496e+08 9.984814e+07 7.390795e+06 5.034612e+07 5.602723e+07 1.289167e+04 2.557002e-02 1.099737e+06 8.495013e+07
2.300000e+01 1.088731e+07 5.511333e+04 4.678658e-16 3.266076e+08 8.724424e+07 8.482742e+06 4.899170e+07 5.602722e+07 8.157816e+03 1.412882e-02 1.021032e+06 6.417932e+07
2.400000e+01 9.328294e+06 5.824367e+04 4.631385e-16 3.206252e+08 9.124037e+07 6.973305e+06 4.843744e+07 5.602723e+07 1.027970e+04 2.557029e-02 1.099693e+06 6.872019e+07
2.500000e+01 8.940543e+06 5.454601e+04 5.031016e-16 3.000190e+08 7.470525e+07 8.378316e+06 4.197928e+07 5.602722e+07 5.807044e+03 1.310022e-02 1.001718e+06 4.869708e+07
2.600000e+01 8.716402e+06 5.613502e+04 4.977826e-16 3.126570e+08 8.078082e+07 6.878124e+06 4.525307e+07 5.602724e+07 7.745971e+03 2.556912e-02 1.099571e+06 5.178039e+07
2.700000e+01 6.290308e+06 5.124642e+04 5.459370e-16 2.665269e+08 6.053186e+07 5.530213e+06 3.283601e+07 5.602722e+07 3.775126e+03 7.525807e-02 9.991467e+05 4.096470e+07
2.800000e+01 7.892960e+06 5.393515e+04 5.396519e-16 2.993494e+08 6.826322e+07 6.770860e+06 3.875503e+07 5.602724e+07 5.439108e+03 2.556842e-02 1.099364e+06 3.710281e+07
2.900000e+01 7.291358e+06 5.163850e+04 5.984342e-16 2.878902e+08 5.763290e+07 6.598151e+06 3.717601e+07 5.602722e+07 2.846640e+03 1.425842e-02 1.033431e+06 3.124657e+07
3.000000e+01 6.922854e+06 5.169421e+04 5.906192e-16 2.825995e+08 5.563071e+07 6.493597e+06 3.170587e+07 5.602723e+07 3.560173e+03 2.556829e-02 1.099085e+06 2.626368e+07
3.100000e+01 5.835049e+06 1.080971e+05 6.634072e-16 2.562237e+08 4.223593e+07 5.411469e+06 2.354967e+07 5.602722e+07 1.624940e+03 1.381829e-02 1.020532e+06 1.909056e+07
3.200000e+01 6.000642e+06 5.049675e+04 6.531904e-16 2.649474e+08 4.405208e+07 6.116807e+06 2.524526e+07 5.602723e+07 2.175762e+03 2.556678e-02 1.098744e+06 1.817725e+07
3.300000e+01 5.357286e+06 4.736685e+04 7.447635e-16 2.434062e+08 3.317014e+07 5.420070e+06 1.884671e+07 5.602722e+07 9.508903e+02 7.525279e-02 1.024120e+06 1.376937e+07
3.400000e+01 5.129801e+06 5.022199e+04 7.307650e-16 2.458967e+08 3.359377e+07 5.614649e+06 1.873729e+07 5.602720e+07 1.234134e+03 2.556581e-02 1.098338e+06 1.215220e+07
3.500000e+01 5.611511e+06 4.917531e+04 8.480365e-16 3.490338e+08 4.226467e+07 8.209786e+06 3.730105e+07 5.602722e+07 1.356296e+04 7.525532e-02 1.114092e+06 1.625305e+07
3.600000e+01 4.437643e+06 4.984533e+04 8.280221e-16 2.344954e+08 2.618423e+07 5.327523e+06 1.551539e+07 5.602720e+07 8.010852e+02 2.556730e-02 1.097906e+06 8.575303e+06
3.700000e+01 4.159212e+06 4.964639e+04 8.843500e-16 2.326067e+08 2.357860e+07 5.298775e+06 1.513223e+07 5.602722e+07 7.033231e+02 2.556866e-02 1.097693e+06 7.445230e+06
3.800000e+01 3.898252e+06 4.944787e+04 9.445096e-16 2.307331e+08 2.123227e+07 5.270183e+06 1.475854e+07 5.602722e+07 6.174917e+02 2.557002e-02 1.097481e+06 6.464080e+06
3.900000e+01 3.653665e+06 4.924976e+04 1.008762e-15 2.288747e+08 1.911943e+07 5.241744e+06 1.439407e+07 5.602722e+07 5.421349e+02 2.557138e-02 1.097269e+06 5.612229e+06
4.000000e+01 3.424424e+06 4.905204e+04 1.077385e-15 2.270312e+08 1.721685e+07 5.213459e+06 1.403861e+07 5.602722e+07 4.759744e+02 2.557275e-02 1.097056e+06 4.872636e+06
4.100000e+01 3.209566e+06 4.885470e+04 1.150676e-15 2.252026e+08 1.550360e+07 5.185327e+06 1.369192e+07 5.602722e+07 4.178879e+02 2.557411e-02 1.096844e+06 4.230509e+06
4.200000e+01 3.008189e+06 4.865773e+04 1.228953e-15 2.233887e+08 1.396084e+07 5.157346e+06 1.335379e+07 5.602722e+07 3.668901e+02 2.557547e-02 1.096632e+06 3.673003e+06
4.300000e+01 2.819447e+06 4.846111e+04 1.312555e-15 2.215894e+08 1.257160e+07 5.129517e+06 1.302402e+07 5.602722e+07 3.221159e+02 2.557683e-02 1.096419e+06 3.188966e+06
4.400000e+01 2.642547e+06 4.826484e+04 1.401844e-15 2.198047e+08 1.132061e+07 5.101837e+06 1.270239e+07 5.602722e+07 2.828059e+02 2.557819e-02 1.096207e+06 2.768717e+06
4.500000e+01 2.476747e+06 4.806889e+04 1.497208e-15 2.180342e+08 1.019411e+07 5.074307e+06 1.238870e+07 5.602722e+07 2.482931e+02 2.557956e-02 1.095995e+06 2.403849e+06
4.600000e+01 2.321349e+06 4.787326e+04 1.599058e-15 2.162781e+08 9.179703e+06 5.046926e+06 1.208276e+07 5.602722e+07 2.179921e+02 2.558092e-02 1.095783e+06 2.087064e+06
4.700000e+01 2.175701e+06 4.767793e+04 1.707838e-15 2.145361e+08 8.266244e+06 5.019692e+06 1.178437e+07 5.602722e+07 1.913890e+02 2.558228e-02 1.095571e+06 1.812026e+06
4.800000e+01 2.039192e+06 4.748289e+04 1.824017e-15 2.128081e+08 7.443684e+06 4.992605e+06 1.149335e+07 5.602721e+07 1.680325e+02 2.558364e-02 1.095359e+06 1.573233e+06
4.900000e+01 1.605161e+06 4.549862e+04 2.305959e-15 2.201464e+08 5.968344e+06 5.809690e+06 1.257279e+07 5.602722e+07 8.789211e+01 7.532907e-02 1.079166e+06 1.103070e+06
5.000000e+01 1.764949e+06 4.704821e+04 2.104897e-15 2.100515e+08 5.965376e+06 5.011199e+06 1.113757e+07 5.602721e+07 1.256722e+02 2.558760e-02 1.094928e+06 1.153408e+06
5.100000e+01 1.306001e+06 4.480663e+04 2.718760e-15 2.166933e+08 4.364500e+06 5.314988e+06 1.096776e+07 5.602722e+07 5.184090e+01 1.444823e-02 1.035139e+06 6.850366e+05
5.200000e+01 1.476216e+06 4.651955e+04 2.488095e-15 2.085531e+08 4.627462e+06 5.127962e+06 1.097705e+07 5.602722e+07 8.741061e+01 2.559214e-02 1.094466e+06 7.825714e+05
5.300000e+01 1.199536e+06 4.319582e+04 3.298332e-15 2.073485e+08 3.036251e+06 5.208804e+06 1.009279e+07 5.602722e+07 3.768252e+01 7.536269e-02 1.062368e+06 4.307996e+05
5.400000e+01 1.199436e+06 4.586674e+04 3.017959e-15 2.075771e+08 3.408353e+06 5.273469e+06 1.063990e+07 5.602723e+07 5.614921e+01 2.559726e-02 1.093965e+06 4.775685e+05
5.500000e+01 6.764830e+05 4.319898e+04 4.127717e-15 1.863017e+08 1.965657e+06 4.213285e+06 8.580936e+06 5.602722e+07 2.148325e+01 1.443125e-02 1.045605e+06 2.608647e+05
5.600000e+01 9.263414e+05 4.508611e+04 3.764136e-15 2.048991e+08 2.333353e+06 5.298208e+06 9.763924e+06 5.602723e+07 3.334599e+01 2.560296e-02 1.093430e+06 2.619325e+05
5.700000e+01 5.953815e+05 4.392650e+04 5.345013e-15 2.184984e+08 1.543157e+06 5.186272e+06 1.107783e+07 5.602722e+07 4.185704e+02 1.558034e-02 1.079202e+06 1.902841e+05
5.800000e+01 6.693147e+05 4.424071e+04 4.838916e-15 2.017604e+08 1.497850e+06 5.193542e+06 8.960441e+06 5.602722e+07 2.224225e+01 2.560744e-02 1.092870e+06 1.367199e+05
5.900000e+01 3.843466e+05 4.249296e+04 7.188379e-15 2.101713e+08 9.201162e+05 5.195415e+06 1.124437e+07 5.602722e+07 3.520250e+02 1.556692e-02 1.091986e+06 8.843030e+04
6.000000e+01 4.565023e+05 4.335780e+04 6.428754e-15 2.004407e+08 9.151677e+05 5.090279e+06 9.015086e+06 5.602722e+07 2.030720e+01 2.561079e-02 1.092303e+06 7.023660e+04
6.100000e+01 2.096941e+05 4.156227e+04 1.008623e-14 1.972137e+08 4.213335e+05 4.619097e+06 9.674865e+06 5.602722e+07 9.623354e+00 1.458619e-02 1.061479e+06 3.671375e+04
6.200000e+01 2.878796e+05 4.242477e+04 8.853591e-15 1.995874e+08 5.162150e+05 4.954814e+06 9.637081e+06 5.602721e+07 2.081942e+01 2.561292e-02 1.091724e+06 3.392720e+04
6.300000e+01 1.613451e+05 3.981668e+04 1.484755e-14 2.223650e+08 2.373572e+05 5.809403e+06 1.170889e+07 5.602722e+07 8.602421e+00 1.468023e-02 1.060544e+06 1.014730e+04
6.400000e+01 1.690949e+05 4.142430e+04 1.268267e-14 1.999742e+08 2.642003e+05 4.857147e+06 1.070529e+07 5.602722e+07 1.962861e+01 2.561377e-02 1.091120e+06 1.401197e+04
6.500000e+01 6.424617e+04 9.253562e+04 2.308793e-14 1.847538e+08 7.516382e+04 4.674526e+06 9.382301e+06 5.602722e+07 6.089869e+00 1.410015e-02 1.036623e+06 2.349990e+03
6.600000e+01 9.229794e+04 4.118906e+04 1.897003e-14 2.007909e+08 1.195002e+05 4.819787e+06 1.183992e+07 5.602723e+07 1.682437e+01 2.561330e-02 1.090480e+06 4.413942e+03
6.700000e+01 3.424216e+04 3.790514e+04 2.220563e-16 1.883472e+08 2.492384e+04 4.627174e+06 1.045820e+07 5.602722e+07 4.595183e+00 1.437269e-02 1.033482e+06 3.986956e+02
6.800000e+01 2.159089e+07 3.775073e+04 3.814052e-14 2.157637e+08 6.236168e+07 5.353280e+06 1.143104e+07 5.602723e+07 5.438487e+02 7.545611e-02 2.399856e+06 5.789314e+06
