"Var.prop" "Mean.Ret" "Var.Ret" "React"
"woman1" 0.609829229492861 0.972854722339716 0.946446310778686 -0.0183670388988885
"woman2" 0.675982656127041 0.962365554951709 0.926147461357515 -0.0340795013666879
"woman3" 0.167196581792741 0.953750509644027 0.909640034646242 -0.719478656305431
"woman4" 0.126659324041002 0.919312675550334 0.845135795427515 -0.0769755671701261
"woman5" 0.76650119797739 0.997930112644708 0.995864509723078 -0.560763610443013
"woman6" 0.13388816781882 0.996732329918064 0.993475337503893 -0.0641085138963431
"woman7" 0.919712501143791 1.00429229884599 1.00860302152136 2.79338169780377
"woman8" 0.739099766619045 0.926662226993418 0.859709117445588 -0.115071267877954
"woman10" 0.597581089872384 0.879036743776551 0.773033692585507 -0.147311614271268
"woman11" 0.84154199118843 0.996532462871091 0.993076949555922 -7.61255089425949
"woman13" 0.691469174760794 0.989087367554932 0.978293820656744 -0.0157504020950687
"woman14" 0.0124074417041823 0.782088384502356 0.611662241173505 -0.0105208325142135
"woman15" 0.307027683431978 0.935422612991645 0.875015464896116 -0.21499185418229
"woman16" 0.331650927391457 0.897305779038226 0.805157661095397 -0.0390478429592286
"woman17" 0.345740718768412 0.991697736395842 0.983464400372637 -0.184151915506105
"woman18" 0.60707810078134 0.994533299362077 0.989096483540018 -16.0150468291033
"woman19" 0.568837002271771 0.997763660908807 0.995532323030144 -36.7404183783105
"woman21" 0.700074302105668 0.995279905766346 0.990582090822269 -2.03979269101884
"woman22" 0.909662054301264 0.993753916589259 0.987546846736491 -6.35974294977789
"woman23" 0.461063444921036 0.965255534677747 0.931718247226023 -0.160239908860207
"woman26" 0.479522858999042 0.968060300226278 0.937140744874192 -0.300370127490257
"woman27" 0.0455081810957789 0.973830865890377 0.948346555360801 -0.951430818716687
"woman28" 0.501326859417639 0.997914631321136 0.9958336114048 -20.549773428578
"woman29" 0.541369492003052 0.949410669810437 0.901380619949898 -0.382062717408571
"woman30" 0.00143771308558373 0.348179558410164 0.121229004894697 -2.88148730015234
"woman31" 0.00746362075032144 0.587839735279423 0.345555554373382 -0.0339979175141099
"woman35" 0.533890918824158 0.956839400177784 0.915541637732581 -0.84242750119761
"woman36" 0.153428998121736 0.97372810458133 0.948146421651549 -0.00218057359381208
"woman38" 0.052537952026957 0.994922487416494 0.989870755967024 -3.38918895459456
"woman39" 0.554752090211918 0.995715505192375 0.991449367280506 -184.750206452383
"woman41" 0.656993975576432 0.997349301076528 0.994705628357839 -0.159484272797282
"woman42" 0.529801738636396 0.904788696969874 0.818642586164443 -0.0298679216760603
"woman43" 0.486330985338559 0.985590609973599 0.971388850468132 -0.00240157272227513
"woman44" 0.23180420193359 0.870156642711913 0.75717258285567 -0.063079057218654
"woman46" 0.410415073247539 0.946123976989761 0.895150579834922 -1.74151117438864
"woman47" 0.290572731470755 0.752475798208304 0.566219826889224 -0.0397315340302544
"woman48" 0.623509139075847 0.96693363056939 0.934960645926102 -0.92574673710121
"woman49" 0.717951058303339 0.939963918470612 0.883532168026625 -0.426952753801972
"woman50" 0.00177928047410798 0.753217224093755 0.567336186671503 -0.0789161697360573
"woman52" 0.197332304298574 0.905581555636681 0.820077953909352 -0.16677413150341
"woman53" 0.760755501899926 0.932383990435991 0.872212991132284 -0.487762777715456
"woman55" 0.3691378134703 0.945051876523743 0.893123049321048 -0.0479337750776004
"woman56" 0.116237581983406 0.885517648195663 0.784141505265978 -0.00598775073425508
"woman58" 0.560285583822897 0.924792593283311 0.855241340591671 -0.00753828125499458
"woman59" 0.512715631039483 0.831631032492376 0.7160416405765 -0.140961768439795
"woman60" 0.421243064919958 0.847481631882913 0.718225116378926 -0.0865882222116385
"woman61" 0.304689301962511 0.920501792860065 0.847323550658593 -0.45194880788386
"woman62" 0.414392990761078 0.98559188210563 0.971391358072519 -0.00180565004539799
"woman65" 0.00131262981517266 0.865080211865693 0.748363772961593 -2.61957156960993
"woman66" 0.0838630839872936 0.983728153011792 0.967721079027992 -0.0188101903025988
"woman69" 0.290047558216076 0.819486420638192 0.671557993610395 -0.180512501048886
"woman70" 0.509557651905114 0.925202708732712 0.856000052246347 -0.229862514766181
"woman71" 0.401654880737386 0.962465809770463 0.926340434977115 -0.890026669646778
"woman75" 0.499333256926908 0.90797411835344 0.824416999599707 -0.0619317064136918
"woman76" 0.522856220878696 0.916794335461015 0.840511853533405 -0.0203286124118507
"woman77" 0.812000690591023 0.948537014965028 0.901110809274322 -0.0417988184622591
"woman79" 0.740969248514431 1.00298100622682 1.00597089885177 0.0234806282350206
"woman82" 0.446144311113637 0.988576284591542 0.977283070456818 -0.0463213569839524
"woman83" 0.107220246007843 0.761554685131907 0.579965538446357 -0.109710979679722
"woman87" 0.68640090629135 0.996606208860483 0.993223935539265 -0.232076616523525
"woman88" 0.142291684418788 0.796685683294485 0.6347080779664 -0.0735152609503288
"woman90" 0.847914318705797 1.01030399212311 1.0207141564999 -0.00828076772348728
"woman92" 0.478208920667075 0.936443831229756 0.876927049048264 -0.012108399537151
"woman93" 0.329956229082477 0.757506964384036 0.574418165696801 -0.0688742856994593
"woman96" 0.758704663035307 0.958715527755959 0.919135463160387 -0.0259999708434767
"woman97" 0.609280436313635 0.928388919600052 0.86190598603615 -0.0525552581373383
"woman101" 0.000706317295761115 0.933629445342998 0.871663941211474 -0.0262210029223591
"woman102" 0.0152894263380523 0.982728492724735 0.96575529041303 -0.030757671692402
"woman103" 0.325149686467263 0.899246275211661 0.808643863482049 -0.0344575040098986
"woman112" 0.527003771219981 0.932305163282217 0.86919291748268 -0.662231265029479
"woman114" 0.126102254229628 0.934851554023544 0.873947428060235 -0.21815017463038
"woman115" 0.136198017782547 0.793648610381426 0.629878116760368 -4.95864981830954
"woman116" 0.239255414000224 0.956754701096335 0.915379558069937 -0.868277327941379
"woman117" 0.807636479563115 0.996264848124975 0.99254364760948 -0.0819755486597594
"woman118" 0.555720932755109 0.928437228834157 0.861995687885249 -0.117981512012705
"woman119" 0.307459140198174 0.970574220783742 0.942014318049968 -0.0250314495864312
"woman120" 0.486362885928437 0.960841309099604 0.92321602127224 -0.00648460724501251
"woman121" 0.572499479991032 0.959632412619934 0.920894367350756 -0.104753366199828
"woman122" 0.328885534838921 0.99616480689054 0.992344322487267 -5.52601263454703
"woman124" 0.692455710228659 0.976781583144295 0.954102261169885 -0.0278192218156393
"woman125" 0.810598945626988 0.997215150230172 0.994438055848584 -0.188027075707451
"woman126" 0.000945362324440881 0.828283613227252 0.686053743940792 -0.0204797053633447
"woman128" 0.711299766728111 0.997953102777004 0.99591039534225 -0.792889356416766
"woman129" 0.522321431836196 0.849637414480254 0.722718086003246 -0.0101610003793563
"woman130" 0.74397901732786 0.970247201347748 0.941379631723136 -0.303467860040882
"woman131" 0.0984783970138293 0.791506413553064 0.626482402695634 -0.170568826796446
"woman134" 0.0294103462106732 0.894203845408665 0.799600517143644 -1.00484400890783
"woman135" 0.79268084084496 0.999922433165067 0.999844872346747 -0.00550716851698722
