long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Gemella g_Leptotrichia Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister
2.900000e+01 2.768656e+07 3.453181e-14 3.364561e-15 1.112323e-15 5.093401e-16 4.161782e-12 7.458341e-13 5.570292e-16 3.491401e-15 2.043421e-12 5.891201e-06 3.427436e-05
3.000000e+01 2.768646e+07 8.182201e-14 3.885911e-15 1.157359e-15 5.794383e-16 4.300464e-12 7.458007e-13 5.570350e-16 4.258356e-15 2.110370e-12 5.900761e-06 1.596901e-02
3.100000e+01 2.768624e+07 2.275159e-13 4.534487e-15 1.208478e-15 6.737173e-16 2.129624e-12 7.458065e-13 5.570449e-16 5.284388e-15 5.947153e-13 5.891551e-06 4.021306e-04
3.200000e+01 2.768624e+07 3.568770e-13 4.787931e-15 1.226096e-15 7.198939e-16 3.920129e-12 7.455803e-13 5.570338e-16 5.766389e-15 1.706863e-12 5.896283e-06 9.896182e-03
3.300000e+01 2.768558e+07 2.518371e-12 6.306723e-15 1.327196e-15 9.558529e-16 4.660662e-12 7.458971e-13 5.570600e-16 9.986825e-16 2.133680e-12 5.901062e-06 4.098649e-03
3.400000e+01 2.768521e+07 3.802144e-12 6.655025e-15 1.349321e-15 1.016416e-15 4.108667e-12 7.457114e-13 5.570415e-16 7.019508e-15 1.671247e-12 5.897249e-06 4.795772e-02
3.500000e+01 2.768367e+07 4.340718e-11 8.974320e-15 1.469353e-15 1.437975e-15 4.906996e-12 7.460694e-13 5.570622e-16 7.980260e-15 5.836476e-13 5.893518e-06 1.261787e-02
3.600000e+01 2.768374e+07 6.647744e-11 9.474423e-15 1.497839e-15 1.531942e-15 4.338904e-12 7.459256e-13 5.570388e-16 6.789628e-15 1.559547e-12 5.898792e-06 8.240292e-02
3.700000e+01 2.768171e+07 1.294875e-09 1.309458e-14 1.641847e-15 2.323891e-15 2.425560e-12 7.463269e-13 5.570539e-16 7.848996e-15 4.850140e-13 5.893365e-06 1.156509e-02
3.800000e+01 2.768242e+07 9.983137e-11 1.604312e-14 1.744372e-15 3.097680e-15 5.281708e-12 7.464987e-13 5.570505e-16 7.941850e-15 1.616105e-12 5.893167e-06 6.401811e-03
3.900000e+01 2.767940e+07 3.301950e-08 1.995847e-14 1.863011e-15 4.371180e-15 2.480942e-12 7.450391e-13 5.570553e-16 8.204507e-15 3.874536e-13 5.891028e-06 1.882086e-03
4.000000e+01 2.767888e+07 1.001807e-09 2.523216e-14 2.000695e-15 6.577817e-15 5.394140e-12 7.467338e-13 5.570695e-16 8.655164e-15 1.189118e-12 5.898737e-06 5.794981e-02
4.100000e+01 2.767566e+07 3.201340e-07 3.244492e-14 2.161046e-15 1.064858e-14 2.503381e-12 7.451327e-13 5.570969e-16 9.326488e-15 1.001043e-12 5.886221e-06 1.206649e-04
4.200000e+01 2.767569e+07 6.642064e-09 7.116048e-15 2.348576e-15 1.873877e-14 5.383630e-12 7.466699e-13 5.571446e-16 1.026996e-14 8.544033e-13 5.894048e-06 4.177885e-03
4.300000e+01 2.767129e+07 1.206109e-06 4.716729e-14 2.568940e-15 3.628699e-14 2.550215e-12 7.465852e-13 5.572252e-16 1.156315e-14 7.391660e-13 5.882245e-06 1.597661e-05
