long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Gemella g_Leptotrichia g_Parvimonas Atopobium_vaginae Prevotella_bivia g_Dialister g_Mobiluncus
2.700000e+01 2.042344e+09 4.415971e+07 1.890202e+07 2.857224e+03 9.279641e+08 7.303719e+02 1.049894e+06 2.220446e-16 2.582784e+01 1.001296e+07 9.796374e+02 1.506654e+00 1.772959e-13
2.800000e+01 2.354644e+09 2.124443e+07 9.484130e+06 3.011149e+06 8.306409e+08 7.303364e+02 1.050424e+06 2.220446e-16 1.927480e-01 1.616379e+07 2.220824e+03 3.913890e+04 1.772960e-13
2.900000e+01 1.433619e+09 1.460074e+07 8.262222e+06 2.140013e+03 5.294744e+08 7.303344e+02 1.050341e+06 2.220446e-16 1.076388e+03 7.958337e+06 1.214521e+03 4.095519e+01 1.772962e-13
3.000000e+01 1.346770e+09 9.282393e+06 1.121596e+07 7.797125e+05 6.754316e+08 7.303710e+02 1.050405e+06 2.220446e-16 1.234855e-03 5.484171e+06 8.270587e+02 8.217450e+02 1.772965e-13
3.100000e+01 1.385699e+09 2.944584e+07 3.510817e+07 4.003131e+06 7.987796e+08 7.303352e+02 1.050646e+06 2.220446e-16 6.415174e-04 1.054577e+07 4.993348e+02 9.614888e+03 1.772954e-13
3.200000e+01 1.283662e+09 2.955906e+07 3.744142e+07 5.451801e+06 8.068356e+08 7.303353e+02 1.050431e+06 2.220446e-16 5.211002e-07 1.194216e+07 1.685072e+02 4.533211e+04 1.772965e-13
3.300000e+01 1.083395e+09 4.854373e+07 4.601139e+07 6.909058e+06 7.162024e+08 7.303334e+02 1.050167e+06 2.220446e-16 4.346124e-06 1.169472e+07 2.916665e+01 1.101020e+05 1.772963e-13
3.400000e+01 1.055856e+09 1.234060e+08 7.027606e+07 1.075241e+07 1.023730e+09 7.303339e+02 1.050108e+06 2.220446e-16 1.864745e-09 1.714154e+07 4.438414e+00 2.860706e+05 1.772961e-13
3.500000e+01 9.878850e+08 2.306319e+08 8.884974e+07 1.236899e+07 9.019437e+08 7.303703e+02 1.049850e+06 2.220446e-16 1.278329e-10 1.875906e+07 6.341985e-01 4.897239e+05 1.772960e-13
3.600000e+01 8.646521e+08 2.508984e+07 8.429870e+06 4.684783e+06 2.538649e+08 7.303328e+02 1.049576e+06 2.220446e-16 5.964154e-10 1.535412e+07 2.434564e-02 5.839753e+05 1.772960e-13
3.700000e+01 1.402612e+09 4.431358e+08 1.143315e+08 2.028844e+07 1.643563e+09 7.303365e+02 1.056989e+06 2.220446e-16 2.717207e-14 1.000648e+08 1.763088e-01 2.968213e+06 1.772961e-13
3.800000e+01 7.146158e+08 1.940280e+07 8.918255e+06 5.554634e+06 2.686141e+08 7.303702e+02 1.050120e+06 2.220446e-16 6.971144e-10 3.528834e+07 1.667007e-02 1.114992e+06 1.772963e-13
3.900000e+01 7.123951e+08 3.268503e+08 8.354700e+07 1.702324e+07 1.301722e+09 7.303331e+02 1.051176e+06 2.220446e-16 1.835347e-10 1.272734e+08 2.065162e-05 2.347173e+06 1.772965e-13
4.000000e+01 7.371898e+08 2.260163e+09 6.454946e+08 5.437544e+07 6.990778e+09 7.303340e+02 1.052104e+06 2.220446e-16 3.690111e-09 4.715668e+08 2.990367e-06 3.140203e+06 1.772953e-13
4.100000e+01 4.440753e+08 7.278893e+08 1.117232e+08 2.061861e+07 1.897988e+09 7.303266e+02 1.051494e+06 2.220446e-16 1.473746e-05 1.469451e+08 3.314336e-05 7.339690e+05 1.772965e-13
4.200000e+01 5.677676e+08 1.030623e+10 1.417873e+09 7.911747e+07 1.265548e+10 7.303316e+02 1.052865e+06 2.220446e-16 1.094795e-06 7.203911e+08 1.172621e-08 8.977825e+05 1.772962e-13
4.300000e+01 4.454950e+08 1.080107e+09 1.165880e+08 2.204375e+07 2.584835e+09 7.303309e+02 1.053080e+06 2.220446e-16 7.714265e-04 3.422533e+08 1.381159e-07 1.382912e+05 1.772960e-13
4.400000e+01 4.415838e+08 9.650212e+07 1.393642e+07 8.789565e+06 5.655219e+08 7.303332e+02 1.053588e+06 2.220446e-16 1.856843e-03 2.106635e+08 1.024784e-08 1.846179e+04 1.772959e-13
4.500000e+01 6.010466e+08 5.330136e+08 5.042345e+07 2.087933e+07 2.391491e+09 7.303370e+02 1.055213e+06 2.220446e-16 2.157139e-05 1.129265e+09 1.571222e-09 7.581115e+07 1.772958e-13
4.600000e+01 3.332776e+08 3.244297e+07 4.337206e+06 5.368869e+06 3.092358e+08 7.303702e+02 1.053953e+06 2.220446e-16 3.074912e-03 1.341723e+08 4.631508e-10 9.902476e+03 1.772958e-13
4.700000e+01 3.334278e+08 2.171639e+08 4.587969e+07 1.077272e+07 1.134883e+09 7.303327e+02 1.054129e+06 2.220446e-16 7.142535e-04 2.033854e+08 2.517669e-10 6.506619e+04 1.772959e-13
4.800000e+01 2.936826e+08 3.444172e+08 4.855929e+07 1.693248e+07 1.710580e+09 7.303382e+02 1.054858e+06 2.220446e-16 3.510305e-06 3.955820e+08 4.591669e-11 8.287194e+05 1.772958e-13
4.900000e+01 2.815437e+08 4.488400e+08 6.806699e+07 2.279046e+07 1.981329e+09 7.303383e+02 1.054989e+06 2.220446e-16 2.072971e-04 4.763133e+08 4.139016e-11 2.083244e+06 1.772958e-13
5.000000e+01 2.670226e+08 3.453783e+08 5.554182e+07 2.120762e+07 1.772282e+09 7.303322e+02 1.054391e+06 2.220446e-16 1.790071e-06 3.594125e+08 1.787917e-10 2.055891e+06 1.772960e-13
5.100000e+01 2.599830e+08 6.182480e+08 7.197388e+07 3.424286e+07 2.414178e+09 7.303324e+02 1.054569e+06 2.220446e-16 4.311776e+02 3.985444e+08 2.592476e-10 5.270126e+06 1.772961e-13
5.200000e+01 2.366704e+08 2.592866e+08 3.969465e+07 2.084009e+07 1.415775e+09 7.303704e+02 1.054432e+06 2.220446e-16 4.128208e-02 2.640127e+08 6.799284e-10 5.959819e+06 1.772963e-13
5.300000e+01 2.287689e+08 3.150621e+08 3.625491e+07 2.734523e+07 2.074352e+09 7.303337e+02 1.054639e+06 2.220446e-16 1.917685e+01 3.402346e+08 9.866387e-12 9.693238e+06 1.772965e-13
5.400000e+01 2.354988e+08 9.240231e+07 2.656294e+07 9.775924e+06 1.030920e+09 7.303337e+02 1.054268e+06 2.220446e-16 1.435830e+02 1.307468e+08 3.569186e-09 4.672513e+06 1.772969e-13
5.500000e+01 2.099372e+08 8.203261e+07 2.624095e+07 9.971355e+06 1.141550e+09 7.303341e+02 1.054150e+06 2.220446e-16 1.354536e+02 1.090124e+08 7.673969e-09 4.379936e+06 1.772959e-13
5.600000e+01 2.060122e+08 7.982812e+07 2.871331e+07 8.479719e+06 1.173532e+09 7.303350e+02 1.054226e+06 2.220446e-16 1.653769e+01 7.084436e+07 3.447372e-08 2.692935e+06 1.772972e-13
5.700000e+01 1.936666e+08 3.157172e+07 1.710298e+07 5.826682e+06 9.691368e+08 7.303389e+02 1.053811e+06 2.220446e-16 5.161081e+00 4.391194e+07 3.134735e-08 1.612709e+06 1.772970e-13
5.800000e+01 2.397951e+08 8.696715e+07 4.408071e+07 9.984618e+06 1.163811e+09 7.303354e+02 1.053513e+06 2.220446e-16 4.597887e-04 2.996620e+07 5.201825e-09 3.655842e+05 1.772973e-13
5.900000e+01 1.948114e+08 5.072347e+07 2.483735e+07 8.836827e+06 1.129596e+09 7.303352e+02 1.053401e+06 2.220446e-16 2.090915e+00 2.537044e+07 1.739175e-08 1.134248e+05 1.772975e-13
6.000000e+01 1.766836e+08 1.588088e+08 5.170576e+07 1.224746e+07 1.210166e+09 7.303711e+02 1.053151e+06 2.220446e-16 3.563847e+00 2.268636e+07 1.133668e-08 2.011166e+04 1.772963e-13
6.100000e+01 1.684093e+08 1.804681e+08 5.703183e+07 1.425341e+07 1.336037e+09 7.303341e+02 1.052828e+06 2.220446e-16 1.391821e-02 1.725816e+07 7.814828e-07 1.808172e+03 1.772976e-13
6.200000e+01 1.627858e+08 3.780188e+08 7.215103e+07 1.456433e+07 1.272894e+09 7.303341e+02 1.052754e+06 2.220446e-16 1.716299e+01 1.622966e+07 9.546183e-10 6.247841e+01 1.772976e-13
6.300000e+01 1.506398e+08 2.793560e+08 4.269026e+07 1.092293e+07 1.031204e+09 7.303344e+02 1.052467e+06 2.220446e-16 9.544151e+02 1.633956e+07 4.562996e-08 4.607414e-01 1.772961e-13
6.400000e+01 1.565842e+08 3.688587e+08 6.091288e+07 1.256287e+07 1.054835e+09 7.303344e+02 1.052402e+06 2.220446e-16 7.419182e+03 1.907493e+07 1.280316e-08 3.905055e+01 1.772972e-13
6.500000e+01 1.491038e+08 2.549693e+08 4.176625e+07 8.861372e+06 8.126152e+08 7.303360e+02 1.052337e+06 2.220446e-16 2.705245e+04 1.139372e+07 7.797955e-09 1.030867e-04 1.772968e-13
6.600000e+01 1.389677e+08 2.014743e+08 3.476975e+07 6.624977e+06 4.949061e+08 7.303356e+02 1.052271e+06 2.220446e-16 2.478575e+04 9.800891e+06 1.047479e-08 1.878516e-01 1.772965e-13
6.700000e+01 1.251244e+08 2.851868e+07 5.454134e+06 3.185888e+06 1.699071e+08 7.303362e+02 1.052412e+06 2.220446e-16 2.314123e+04 5.923422e+06 5.196278e-12 1.768139e-07 1.772964e-13
6.800000e+01 2.643860e+08 1.825630e+08 3.747355e+07 7.874196e+06 7.589969e+08 7.303383e+02 1.052438e+06 2.220446e-16 6.603837e+04 2.700385e+07 2.948818e-08 1.555031e-01 1.772963e-13
