long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Gemella g_Parvimonas Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister g_Mobiluncus
2.900000e+01 1.659180e+00 5.786014e+08 2.235017e-16 4.552251e-12 1.715884e-11 2.497220e-16 7.657937e-16 7.983281e-16 2.333379e-16 2.518584e-09 2.460209e-16 2.252559e-16
3.000000e+01 1.595438e+00 5.289269e+08 2.235688e-16 1.042317e-13 3.760530e-07 3.478200e-16 7.997695e-16 8.010577e-16 2.693380e-16 7.987315e-11 3.314693e-16 2.280804e-16
3.100000e+01 1.662774e+00 6.555726e+08 2.227306e-16 1.746884e-12 9.490521e-09 2.490913e-16 7.809450e-16 7.808638e-16 2.333379e-16 7.944374e-09 2.460209e-16 2.280804e-16
3.200000e+01 1.601296e+00 6.121879e+08 2.228949e-16 1.755948e-12 1.708994e-15 3.469716e-16 8.165393e-16 7.844454e-16 2.693380e-16 1.006109e-10 3.314693e-16 2.334510e-16
3.300000e+01 1.664593e+00 6.512198e+08 2.225543e-16 4.334496e-13 2.560186e-09 2.490912e-16 7.974882e-16 7.658801e-16 2.333379e-16 3.375564e-09 2.460209e-16 2.334510e-16
3.400000e+01 1.854859e+00 6.914808e+08 2.229576e-16 4.355690e-13 2.571073e-09 3.469715e-16 8.348836e-16 7.702088e-16 2.693380e-16 1.269267e-08 3.314693e-16 2.438233e-16
3.500000e+01 1.668000e+00 6.592356e+08 2.228188e-16 1.337170e-13 7.353549e-14 2.490912e-16 8.155178e-16 7.530513e-16 2.333379e-16 8.793813e-10 2.460209e-16 2.438233e-16
3.600000e+01 1.606691e+00 6.857080e+08 2.238120e-16 1.343904e-13 7.441600e-14 3.469715e-16 8.549153e-16 7.580430e-16 2.693380e-16 4.841480e-09 3.314693e-16 2.644467e-16
3.700000e+01 1.672988e+00 7.139250e+08 2.237552e-16 4.958244e-14 1.785902e-15 2.490912e-16 8.351388e-16 7.421091e-16 2.333379e-16 6.091845e-10 2.460209e-16 2.644467e-16
3.800000e+01 1.611920e+00 8.140498e+08 2.262134e-16 4.985581e-14 1.846536e-15 3.469715e-16 8.767608e-16 7.476970e-16 2.693380e-16 5.481318e-09 3.314693e-16 3.077531e-16
