long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Gemella g_Leptotrichia g_Parvimonas Atopobium_vaginae Prevotella_bivia g_Dialister
2.900000e+01 6.432829e+08 1.398318e-13 1.004447e+07 3.864420e-01 1.123377e-14 6.448440e-16 3.612045e-06 2.183494e-14 2.332868e-16 2.209855e-05 2.432897e-16 6.902791e-16
3.000000e+01 5.809998e+08 1.721479e-13 7.679417e+06 1.387034e-01 1.982184e-14 7.847065e-16 2.396744e-05 2.183573e-14 2.340571e-16 3.323387e-05 3.168988e-16 9.555952e-15
3.100000e+01 4.585278e+08 1.398318e-13 4.171658e+06 2.449591e-01 2.369436e-15 6.572388e-16 1.241822e-09 2.183523e-14 2.274993e-16 3.307008e-13 2.432897e-16 6.902839e-16
3.200000e+01 3.204232e+08 1.721479e-13 1.133685e+06 5.888660e-02 1.075231e-14 8.640198e-16 4.644629e-08 2.183605e-14 2.295091e-16 1.769612e-12 4.392498e-16 8.270393e-14
3.300000e+01 6.325900e+08 1.398318e-13 1.406824e+06 1.247932e-01 3.264291e-15 7.428009e-16 9.043635e-11 2.183558e-14 2.262343e-16 3.358122e-15 2.900775e-16 3.883389e-15
3.400000e+01 5.273531e+08 1.398318e-13 7.113020e+05 8.367679e-02 5.820013e-15 8.096412e-16 7.545879e-11 2.183578e-14 2.264181e-16 1.638996e-15 3.168988e-16 9.555899e-15
3.500000e+01 7.057546e+08 1.398318e-13 3.596403e+05 5.610727e-02 1.037670e-14 8.792944e-16 6.296174e-11 2.183597e-14 2.266020e-16 7.999434e-16 2.900775e-16 3.883389e-15
3.600000e+01 4.149340e+08 1.721479e-13 2.101242e+04 9.406107e-03 7.568974e-13 1.303983e-15 1.613661e-08 2.183682e-14 2.308921e-16 9.720961e-16 4.392498e-16 8.270393e-14
3.700000e+01 9.458833e+08 1.398318e-13 4.729425e+04 2.177908e-02 1.903657e-13 1.110802e-15 3.698699e-10 2.183638e-14 2.289098e-16 3.200773e-16 2.432897e-16 6.902839e-16
3.800000e+01 3.592857e+08 2.940417e-14 5.321228e+02 3.491326e-03 1.249987e-09 1.856559e-15 2.192319e-06 2.183726e-14 2.377525e-16 3.261311e-16 3.168988e-16 9.555952e-15
3.900000e+01 3.421004e+08 1.398318e-13 1.122706e+03 6.373833e-03 7.381243e-10 1.649321e-15 3.031638e-07 2.183685e-14 2.369822e-16 2.508032e-16 2.432897e-16 6.902791e-16
4.000000e+01 1.327316e+08 3.348642e-14 1.028126e+07 3.184204e-02 4.496971e-16 3.294613e-15 1.261379e-09 2.183084e-14 2.588955e-16 2.644068e-16 3.168988e-16 9.555899e-15
4.100000e+01 1.600666e+07 1.398318e-13 4.926557e+02 2.069118e-03 9.356294e-10 3.007359e-15 4.956212e-05 2.183707e-14 2.585469e-16 2.458226e-16 2.432897e-16 6.902791e-16
4.200000e+01 3.593230e+08 3.706329e-14 6.173547e+02 1.277238e-02 2.239469e-09 7.768055e-15 1.947407e-09 2.183771e-14 3.190896e-16 2.964890e-16 3.168988e-16 9.555899e-15
4.300000e+01 4.426747e+07 1.398318e-13 7.141776e+03 1.076177e-03 4.678818e-13 7.198126e-15 1.023759e-06 2.183706e-14 3.188586e-16 2.904765e-16 2.432897e-16 6.902791e-16
4.400000e+01 1.483224e+08 1.721479e-13 1.682857e+03 1.595189e-04 3.670153e-12 2.691176e-14 2.029757e-05 2.183772e-14 5.276082e-16 5.660500e-16 3.168988e-16 9.555899e-15
4.500000e+01 1.230295e+09 1.398318e-13 2.703694e+04 5.957077e-04 1.008681e-13 2.491489e-14 4.956445e-09 2.183710e-14 5.262946e-16 5.623769e-16 2.432897e-16 6.902791e-16
4.600000e+01 4.323964e+08 1.721479e-13 2.856622e+03 6.479900e-05 1.476570e-11 1.599025e-13 1.141135e-06 2.183780e-14 1.795732e-15 6.225575e-15 3.168990e-16 9.556206e-15
4.700000e+01 6.892406e+08 1.398318e-13 1.873889e+04 2.329182e-04 2.778030e-12 1.431293e-13 8.190869e-09 2.183720e-14 1.740633e-15 6.007441e-15 2.432899e-16 6.903070e-16
4.800000e+01 4.544497e+08 1.721479e-13 5.180410e+02 1.345726e-03 1.723525e-06 2.081597e-12 2.855625e-04 2.183793e-14 4.761262e-14 1.569033e-10 1.897268e-09 1.810368e-10
4.900000e+01 3.463402e+08 1.398318e-13 2.291835e+03 9.443634e-05 1.353672e-07 1.656775e-12 5.493873e-06 2.183737e-14 3.022811e-14 2.752051e-11 5.600607e-11 1.727330e-11
5.000000e+01 3.529956e+08 1.398318e-13 5.077735e+02 6.692452e-05 3.473124e-04 6.909917e-12 7.339091e-04 2.183747e-14 2.259586e-13 1.982957e-08 1.548697e-05 8.424155e-07
5.100000e+01 3.826078e+08 1.398318e-13 1.125011e+02 4.742762e-05 8.911013e-01 2.882948e-11 9.804059e-02 2.183757e-14 1.689066e-12 1.428796e-05 6.204558e+00 1.757544e-01
5.200000e+01 2.337622e+08 1.721479e-13 4.505262e-01 3.711469e-04 8.169773e-02 2.537609e-09 4.752762e-02 2.183833e-14 1.491971e-07 3.007372e-16 7.169831e-03 4.720217e-05
5.300000e+01 1.652713e+08 1.398318e-13 1.690584e+00 2.918495e-05 4.857863e+04 1.035335e-09 2.274158e+02 2.183780e-14 7.755406e-09 1.548969e-07 9.032539e+05 2.571686e+04
5.400000e+01 3.287926e+08 1.721479e-13 8.398295e-04 2.529600e-06 4.386796e+04 8.665905e-12 8.684686e+01 2.183154e-14 5.438751e-14 5.055020e-07 1.548698e-05 8.424130e-07
5.500000e+01 1.264710e+08 1.398318e-13 1.748286e-03 1.828026e-05 4.051243e+06 1.492638e-08 1.558750e+04 2.183778e-14 1.567565e-07 1.737606e-13 8.153322e-06 2.527706e-06
5.600000e+01 2.412781e+08 1.721479e-13 1.980804e-01 1.774326e-04 2.855602e+06 2.425936e-06 1.183920e+04 2.183829e-14 1.399770e-02 9.899390e-12 1.781162e+05 2.197405e-01
5.700000e+01 3.035134e+08 1.398318e-13 4.884406e-06 1.156896e-05 2.837829e+07 1.161519e-07 1.365446e+05 2.183752e-14 1.570476e-07 4.053139e-14 2.256670e-10 3.938264e-11
5.800000e+01 3.936102e+08 1.398318e-13 8.950114e-07 1.014997e-05 5.064683e+07 5.409824e-07 3.030172e+05 2.183740e-14 4.781413e-06 1.268056e-13 2.593568e-04 5.069558e-06
5.900000e+01 6.070116e+08 1.398318e-13 1.640006e-07 8.905021e-06 9.038959e+07 2.533097e-06 6.724503e+05 2.183728e-14 1.455731e-04 3.967211e-13 4.598031e+02 3.841636e+00
6.000000e+01 3.361246e+08 3.104016e-14 8.620820e-05 2.437096e-07 3.498393e+07 3.033617e-09 1.156618e+05 2.183783e-14 1.080637e-13 2.665176e-04 1.759662e-06 1.201521e-08
6.100000e+01 6.484423e+08 1.398318e-13 3.415048e-08 5.477452e-06 1.674006e+08 1.195927e-05 1.608604e+06 2.183708e-14 2.247568e-05 1.078477e-08 7.815163e+07 1.506483e+04
6.200000e+01 4.806550e+08 1.398318e-13 3.880891e-08 3.840184e-06 1.737120e+08 1.206663e-05 1.733984e+06 2.183700e-14 1.139776e-07 9.371078e-05 9.794965e+06 3.396959e+02
6.300000e+01 5.200629e+08 1.398318e-13 4.410279e-08 2.692312e-06 1.802612e+08 1.225670e-05 1.869137e+06 2.183692e-14 5.779975e-10 8.142696e-01 3.255723e+06 1.112385e+03
6.400000e+01 3.352764e+08 1.721479e-13 1.022532e-03 5.112217e-05 2.658987e+07 2.974001e-09 6.608398e+05 2.183749e-14 3.183960e-07 6.683013e-06 2.661889e-05 3.355978e-08
6.500000e+01 4.551033e+08 1.398318e-13 3.712819e-07 1.585031e-06 1.023775e+08 3.417755e-06 1.656270e+06 2.183678e-14 6.783627e-13 1.472942e+04 4.184993e+00 1.097090e-01
6.600000e+01 3.209907e+08 1.398318e-13 2.750469e-06 1.330996e-06 5.603173e+07 9.377266e-07 1.361523e+06 2.183673e-14 1.569970e-13 3.066369e+04 1.196814e-05 6.403996e-07
6.700000e+01 2.183962e+08 1.398318e-13 2.037557e-05 1.117675e-06 3.066645e+07 2.587193e-07 1.119228e+06 2.183667e-14 3.633465e-14 6.383562e+04 4.930387e-11 1.523024e-11
6.800000e+01 3.391766e+08 1.721479e-13 4.770321e-12 4.557604e-05 5.374459e+08 6.382274e-04 3.764821e+06 2.183728e-14 3.687528e-11 3.683967e+03 1.388811e-02 1.859007e-07
