long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Gemella g_Parvimonas Atopobium_vaginae Prevotella_bivia g_Dialister
3.200000e+01 6.091153e+07 2.595984e+07 1.538105e+06 1.616150e+02 2.951308e+05 3.724253e-15 3.796401e-15 3.533890e-07 1.153984e-06 5.369490e-07 9.805647e-09
3.300000e+01 3.606950e+08 3.976464e+07 3.765474e+06 1.616156e+02 1.236370e+06 3.700736e-15 4.968397e-15 5.129301e+02 5.759067e+02 5.366566e+07 2.637199e-07
3.400000e+01 3.267376e+08 3.881510e+07 3.840447e+06 1.616129e+02 1.283099e+06 4.998957e-15 4.968386e-15 5.494353e+03 1.875922e+03 4.934793e+07 1.941241e-07
3.500000e+01 1.097482e+08 2.561636e+07 2.089809e+06 1.616153e+02 5.609282e+05 1.014998e-14 5.051274e-15 1.309442e+02 4.517663e+01 2.780608e+05 1.226925e-06
3.600000e+01 3.699256e+08 3.636280e+07 3.825075e+06 1.616129e+02 1.360997e+06 1.547537e-14 5.051305e-15 1.046508e+03 1.680144e+03 3.834441e+06 1.072843e-08
3.700000e+01 1.351697e+08 3.206358e+07 3.028864e+06 1.616157e+02 9.692256e+05 1.576102e-14 4.968476e-15 8.859593e+01 1.963241e+03 3.123900e+04 1.028649e-07
3.800000e+01 9.396804e+07 3.107333e+07 2.613552e+06 1.616150e+02 4.300362e+05 4.429430e-14 3.958734e-15 8.574094e-06 3.717889e+00 3.935972e-06 4.071020e-09
3.900000e+01 9.227009e+07 2.755009e+07 2.396495e+06 1.616158e+02 6.289491e+05 4.482279e-14 4.968049e-15 5.082788e-06 1.316637e+02 3.634828e-06 2.836449e-08
4.000000e+01 8.155848e+07 2.674606e+07 2.158576e+06 1.616150e+02 4.450473e+05 1.623807e-13 5.050440e-15 1.308435e-05 7.916666e-05 3.716181e-06 7.846612e-08
4.100000e+01 5.988023e+07 2.401709e+07 1.887244e+06 1.616157e+02 3.403905e+05 1.630247e-13 4.967095e-15 7.167696e-13 4.843552e-05 4.626289e-16 6.639219e-09
